decile,mean_forward_return_20d,sd_across_dates,observations
1,0.0059679687557702785,0.10651507689210957,739613.0
2,0.007897682186189739,0.08288892035478376,739172.0
3,0.008743928764263859,0.07241113418529338,738725.0
4,0.009845382424865295,0.06603091384791075,738241.0
5,0.009286564960867456,0.06120062263137304,737794.0
6,0.008889795370951173,0.057380905150697256,737337.0
7,0.008728296439633305,0.053279949910799596,736899.0
8,0.009002516707859957,0.049654198441730274,736430.0
9,0.008577548442582057,0.04651128344045755,735985.0
10,0.006677820816037102,0.04415350029492518,735528.0
