,value
factor,dd_252
hypothesised_sign,1
first_date,2006-01-03
last_date,2023-11-30
dates,4509
mean_names_per_date,1635.7782213351077
mean_coverage,0.997614051004435
min_coverage,0.9937456567060459
mean_ic_pearson,0.01593577467284515
sd_ic_pearson,0.19265937234694866
icir_pearson_daily,0.08271476481376351
ic_pearson_nw_tstat,1.5037589106465648
mean_ic_spearman,0.01501738499711243
sd_ic_spearman,0.19712818020595393
icir_spearman_daily,0.0761808128164258
ic_spearman_nw_tstat,1.39135783087939
share_ic_spearman_positive,0.5708582834331337
mean_rank_autocorr_1d,0.9833511070425768
mean_rank_autocorr_20d,0.8066768398674813
mean_ic_spearman_signed,0.01501738499711243
decile_spread_20d,0.0007098520602668232
decile_spread_signed,0.0007098520602668232
rebalances,225.45
mean_turnover,0.9991942573128967
gross_return_mean_period_return,0.0007094456980405923
gross_return_annualised_return,0.008939015795311464
gross_return_annualised_volatility,0.29565719893689024
gross_return_sharpe,0.03174206251710276
gross_return_hit_rate,0.5662015732546706
gross_return_max_drawdown,-0.8403126690404827
net_return_1bp_mean_period_return,0.0005096068465780131
net_return_1bp_annualised_return,0.006421046266882964
net_return_1bp_annualised_volatility,0.29563855828604835
net_return_1bp_sharpe,0.02321265497089723
net_return_1bp_hit_rate,0.564424778761062
net_return_1bp_max_drawdown,-0.8446591716527261
net_return_5bp_mean_period_return,-0.0002897485592723046
net_return_5bp_annualised_return,-0.0036508318468310382
net_return_5bp_annualised_volatility,0.2955644028282342
net_return_5bp_sharpe,-0.010915867442576159
net_return_5bp_hit_rate,0.5570983284169125
net_return_5bp_max_drawdown,-0.862884318183627
net_return_10bp_mean_period_return,-0.0012889428165852013
net_return_10bp_annualised_return,-0.016240679488973536
net_return_10bp_annualised_volatility,0.29547262515819717
net_return_10bp_sharpe,-0.05360077875084592
net_return_10bp_hit_rate,0.5475634218289087
net_return_10bp_max_drawdown,-0.8831749768650308
net_return_20bp_mean_period_return,-0.0032873313312109945
net_return_20bp_annualised_return,-0.041420374773258536
net_return_20bp_annualised_volatility,0.29529212893013973
net_return_20bp_sharpe,-0.13904987770347105
net_return_20bp_hit_rate,0.5300432645034415
net_return_20bp_max_drawdown,-0.915273025085208
gross_return_sharpe_sd_across_offsets,0.05142099955481084
gross_return_sharpe_min_offset,-0.07527950149403781
gross_return_sharpe_max_offset,0.1219692532904457
