decile,mean_forward_return_20d,sd_across_dates,observations
1,0.005423997360409707,0.09209915796636861,740538.0
2,0.008617460153161182,0.07152139593724073,740099.0
3,0.009910360679099305,0.06386853519371756,739667.0
4,0.009150359599806802,0.059379220853086334,739231.0
5,0.009335735035653889,0.057500065770302464,738749.0
6,0.00896926824071622,0.05594769412632474,738260.0
7,0.008358917647799587,0.05537487360312499,737809.0
8,0.007784600030562314,0.056130547530684693,737353.0
9,0.007839487319400795,0.059583671681590546,736909.0
10,0.008092084660317085,0.07113463344305361,736467.0
