offset,rebalances,mean_turnover,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,0.8954257493456749,0.003378738524397508,0.0425721054074086,0.22614772743328151,0.18824909668821813,0.584070796460177,-0.6953303967455715,0.003199653374528372,0.04031563251905749,0.22615048746357838,0.1782690498314771,0.584070796460177,-0.6974957901498426,0.002483312775051832,0.03128974096565308,0.22616179511697543,0.13835113463557983,0.584070796460177,-0.7060088379024911,0.0015878870257061567,0.020007376523897575,0.22617653155524511,0.08845911813361874,0.5707964601769911,-0.7163233606910869,-0.00020296447298519298,-0.0025573523596134316,0.22620801016678502,-0.011305313006943808,0.5530973451327433,-0.7359084617768068
1,226,0.893361763901399,0.002936397133534981,0.03699860388254076,0.21361338266420335,0.17320358594153226,0.5796460176991151,-0.6798905235131084,0.0027577247807547014,0.03474733223750923,0.21361684670702336,0.16266194718792656,0.5796460176991151,-0.6817415050467504,0.0020430353696335828,0.02574224565738314,0.2136309862861701,0.12049865099110683,0.5796460176991151,-0.6905989899158972,0.0011496736057321837,0.014485887432225515,0.21364929832145216,0.06780217649219873,0.5663716814159292,-0.7040653148277878,-0.0006370499220706144,-0.00802682901808974,0.21368804689642576,-0.03756330377234592,0.5486725663716814,-0.7293013286024101
2,226,0.8955476044771266,0.0036489107320487307,0.045976275223814006,0.2225350634307713,0.20660238667564773,0.6194690265486725,-0.6305294857460988,0.0034698012111533064,0.04371949526053166,0.22254100923408116,0.19645590451396328,0.6194690265486725,-0.6313710480528196,0.0027533631275716017,0.03469237540740218,0.22256506155115477,0.1558752086496219,0.6017699115044248,-0.6381743157036732,0.001857815523094477,0.02340847559099041,0.22259573226683013,0.10516138540756112,0.584070796460177,-0.6539545469811778,6.672031414022362e-05,0.0008406759581668176,0.22265909036618212,0.0037756192966757096,0.5707964601769911,-0.683522955393334
3,226,0.8982351103827638,0.003104688200309128,0.03911907132389501,0.2220743852150262,0.1761530096594324,0.6061946902654868,-0.62980040586978,0.0029250411782325765,0.03685551884573046,0.22207975218654927,0.165956231862018,0.6061946902654868,-0.6306655853799895,0.002206453089926363,0.027801308933072172,0.22210149598851062,0.12517389317589445,0.6017699115044248,-0.6422730075492948,0.001308217979543599,0.016483546542249348,0.22212929639897183,0.07420699029561076,0.5973451327433629,-0.6579656847105232,-0.00048825224122192763,-0.006151978239396288,0.22218696508894004,-0.02768829502186904,0.5752212389380531,-0.6873587739920654
4,226,0.8991232633599143,0.0031706288254423516,0.03994992320057363,0.21403869777543633,0.18664813239747902,0.6061946902654868,-0.6171767662129093,0.002990804172770368,0.037684132576906636,0.21404116146036475,0.1760602134645248,0.6061946902654868,-0.6199011240886285,0.0022715055620824384,0.028620970082238722,0.21405131431951155,0.1337107888042051,0.5973451327433629,-0.6306114611063558,0.001372382298722523,0.01729201696390379,0.214064676081701,0.08077940405872491,0.584070796460177,-0.6445884681355707,-0.0004258642279973064,-0.00536588927276606,0.21409363469452464,-0.025063282616609676,0.5619469026548672,-0.6749767400584614
5,226,0.89688413084657,0.0025122904099421535,0.03165485916527113,0.21482689406132005,0.14735054148404525,0.5973451327433629,-0.5850844235625128,0.0023329135837728385,0.029394711155537764,0.21482648273821153,0.13683001639680656,0.5929203539823009,-0.586015477736219,0.001615406279095583,0.020354119116604345,0.214825109244789,0.09474739330127015,0.588495575221239,-0.5897208492076782,0.0007185221482490129,0.009053379067937562,0.2148240039347865,0.042143237730015826,0.5663716814159292,-0.5999079986704298,-0.001075246113444127,-0.013548101029395998,0.21482383186987472,-0.06306609891216582,0.5309734513274337,-0.637258592462162
6,226,0.8964657482662992,0.0018453596778946835,0.023251531941473013,0.2163473730195265,0.10747314199823652,0.5575221238938053,-0.6028053241730711,0.0016660665282414234,0.020992438255841933,0.21634998605797623,0.09702999587999281,0.5575221238938053,-0.6037076456838817,0.0009488939296283831,0.011956063513317627,0.21636071800863213,0.05525986243418095,0.5575221238938053,-0.6142280032309638,5.24281813620838e-05,0.0006605950851622559,0.21637476241100526,0.003053013566838499,0.5442477876106194,-0.6309482169181806,-0.0017405033151705138,-0.021930341771148474,0.21640494890408032,-0.10133937270015445,0.5265486725663717,-0.6743074953741595
7,226,0.8944893523310935,0.0016549677891103472,0.020852594142790375,0.22801749893819478,0.09145172734502527,0.588495575221239,-0.6622835711562729,0.0014760699186441289,0.018598480974916023,0.22802506216107452,0.08156331939415612,0.588495575221239,-0.6653077731791426,0.0007604784367792542,0.009582028303418604,0.22805559448460114,0.04201619488911773,0.5707964601769911,-0.6771421113376745,-0.00013401091555183866,-0.001688537535953167,0.22809438839985785,-0.007402801742728975,0.5707964601769911,-0.6913611066724477,-0.0019229896202140266,-0.024229669214696735,0.2281740699056785,-0.1061894071693277,0.5530973451327433,-0.7417434862013561
8,226,0.8957695558604131,0.0009754236375065872,0.012290337832583,0.2233996529825972,0.055015026516359075,0.5663716814159292,-0.6617365956388781,0.0007962697263345057,0.010032998551814772,0.2234088387793121,0.04490869119876487,0.5663716814159292,-0.664768502705259,7.965408164617414e-05,0.001003641428741794,0.22344585657006305,0.004491653790980435,0.5619469026548672,-0.676632670724062,-0.0008161154742142382,-0.0102830549750994,0.2234927464106533,-0.04601068777509656,0.5442477876106194,-0.6955484646300701,-0.0026076545859350644,-0.03285644778278181,0.223588583117878,-0.14695047182019838,0.5353982300884956,-0.7685728658655746
9,225,0.8975336310256345,0.0019662300344195703,0.024774498433686586,0.22226102209459145,0.11146578109023038,0.5822222222222222,-0.5978154300058387,0.0017867233082144445,0.022512713683501998,0.22226189614899491,0.1012891281572188,0.5822222222222222,-0.6006430165757396,0.0010686964033939366,0.0134655746827636,0.22226565144706686,0.06058324619704212,0.5688888888888889,-0.6239594222721577,0.00017116277236830168,0.002156650931840601,0.2222709284753863,0.009702802551074164,0.56,-0.6721503821587871,-0.0016239044896829674,-0.020461196570005388,0.22228342536938528,-0.09205003268238944,0.5422222222222223,-0.7514323283358693
