,value
factor,mom_120_20
hypothesised_sign,1
first_date,2006-01-03
last_date,2023-11-30
dates,4509
mean_names_per_date,1637.853626081171
mean_coverage,0.998914154774209
min_coverage,0.9957317073170732
mean_ic_pearson,0.005629937212335586
sd_ic_pearson,0.14385084637099677
icir_pearson_daily,0.03913732421021539
ic_pearson_nw_tstat,0.7330337697242687
mean_ic_spearman,-1.6568739800939508e-05
sd_ic_spearman,0.14846853350672812
icir_spearman_daily,-0.00011159765244255386
ic_spearman_nw_tstat,-0.0021200087263336955
share_ic_spearman_positive,0.5278332224440009
mean_rank_autocorr_1d,0.9867285450815978
mean_rank_autocorr_20d,0.7681332504313302
decile_spread_20d,0.002668087299907377
rebalances,226
mean_turnover,0.8954257493456749
gross_return_mean_period_return,0.0033787385243975072
gross_return_annualised_return,0.04257210540740859
gross_return_annualised_volatility,0.22614772743328151
gross_return_sharpe,0.18824909668821807
gross_return_hit_rate,0.584070796460177
gross_return_max_drawdown,-0.6953303967455715
net_return_1bp_mean_period_return,0.003199653374528372
net_return_1bp_annualised_return,0.04031563251905749
net_return_1bp_annualised_volatility,0.22615048746357838
net_return_1bp_sharpe,0.1782690498314771
net_return_1bp_hit_rate,0.584070796460177
net_return_1bp_max_drawdown,-0.6974957901498426
net_return_5bp_mean_period_return,0.002483312775051832
net_return_5bp_annualised_return,0.03128974096565308
net_return_5bp_annualised_volatility,0.22616179511697543
net_return_5bp_sharpe,0.13835113463557983
net_return_5bp_hit_rate,0.584070796460177
net_return_5bp_max_drawdown,-0.7060088379024911
net_return_10bp_mean_period_return,0.0015878870257061565
net_return_10bp_annualised_return,0.02000737652389757
net_return_10bp_annualised_volatility,0.22617653155524511
net_return_10bp_sharpe,0.08845911813361873
net_return_10bp_hit_rate,0.5707964601769911
net_return_10bp_max_drawdown,-0.7163233606910869
net_return_20bp_mean_period_return,-0.00020296447298519298
net_return_20bp_annualised_return,-0.0025573523596134316
net_return_20bp_annualised_volatility,0.22620801016678502
net_return_20bp_sharpe,-0.011305313006943808
net_return_20bp_hit_rate,0.5530973451327433
net_return_20bp_max_drawdown,-0.7359084617768068
