date,n_eligible,n_factor,n_used,ic_pearson,ic_spearman,coverage,rank_autocorr_1d,rank_autocorr_20d
2006-01-03,1606,1606,1596,0.09407529560349867,0.08849711010902658,1.0,0.47307479560896276,0.013643475904435884
2006-01-04,1618,1618,1608,-0.0595783420422474,-0.0673440346960269,1.0,0.6987111502529962,0.004464608606727609
2006-01-05,1633,1633,1624,-0.16882288094847805,-0.16882658084741067,1.0,0.7911369204914187,0.06375267056366929
2006-01-06,1635,1635,1626,-0.0996834156863464,-0.09988226233722805,1.0,0.8369925731118723,-0.0014111272603050994
2006-01-09,1633,1633,1625,-0.05295619719838355,-0.047399652086447204,1.0,0.8642364109266615,-0.03329016076200706
2006-01-10,1637,1637,1629,-0.015478492030140657,-0.039985265085270436,1.0,0.7896941112405144,-0.1676962573067457
2006-01-11,1648,1648,1640,0.006418477350038705,-0.010562120854724567,1.0,0.8182074950503403,-0.09243869685253127
2006-01-12,1653,1653,1644,0.05281556332062907,0.006777846161559679,1.0,0.7699605663612549,-0.012191699609720087
2006-01-13,1662,1662,1652,0.04975607908890011,0.021400473569859604,1.0,0.8210327998262714,-0.14931041414619034
2006-01-17,1652,1652,1642,0.0688214676617219,0.05516996236741584,1.0,0.7291105546528983,-0.14061404891244275
2006-01-18,1645,1645,1633,0.12572704630660111,0.12676776690537456,1.0,0.7528943088430456,-0.23076504838775413
2006-01-19,1633,1633,1620,0.07557676223043193,0.10365549537434646,1.0,0.7442402665228558,-0.1513409416450396
2006-01-20,1631,1631,1618,0.09647595145029741,0.09985182789969008,1.0,0.8110812367750122,-0.12005593042806548
2006-01-23,1638,1638,1625,0.11601266622924605,0.11270869402795392,1.0,0.8250733834236644,-0.03282531078182734
2006-01-24,1640,1640,1626,0.15303306160252497,0.15255418810388538,1.0,0.7555845712509982,0.07692303027902408
2006-01-25,1647,1647,1633,0.027368590884999093,0.04140950018393606,1.0,0.7979967115242368,-0.0032375216949677805
2006-01-26,1665,1665,1653,0.04498606795319528,0.035773339522825374,1.0,0.7280729294362126,0.012924185705058011
2006-01-27,1684,1684,1672,-0.05222837690654518,-0.06058745470022182,1.0,0.7896668917392817,0.02295635557589705
2006-01-30,1703,1703,1691,-0.04261305554569087,-0.028877925177681965,1.0,0.8476072250353488,0.055602081187801224
2006-01-31,1717,1717,1706,-0.034394141073881515,-0.027110902476712183,1.0,0.7946520954705865,0.002325878260360556
