decile,mean_forward_return_20d,sd_across_dates,observations
1,0.005735555522657,0.07263752570112195,741284.0
2,0.007340977554194849,0.061750776152124764,740860.0
3,0.008068848587630023,0.05823695424243919,740411.0
4,0.008404277542086107,0.05686370785611043,739953.0
5,0.008769823428205916,0.05640065633784636,739525.0
6,0.009110575723649206,0.057496509372150104,739065.0
7,0.009244332774298666,0.05890454044616618,738582.0
8,0.009472976969751372,0.06211621336541208,738141.0
9,0.009610713606931859,0.0681091767810375,737665.0
10,0.007805954074886059,0.08263836926206486,737218.0
