,value
factor,rev_5
hypothesised_sign,1
first_date,2006-01-03
last_date,2023-11-30
dates,4509
mean_names_per_date,1639.544023064981
mean_coverage,0.9999766637718304
min_coverage,0.9986091794158554
mean_ic_pearson,0.006309155184155646
sd_ic_pearson,0.10914889709585482
icir_pearson_daily,0.057803196844169034
ic_pearson_nw_tstat,1.8090380889236384
mean_ic_spearman,0.007715156728115419
sd_ic_spearman,0.11652011117740955
icir_spearman_daily,0.06621309102914075
ic_spearman_nw_tstat,2.119755524934055
share_ic_spearman_positive,0.5174096251940563
mean_rank_autocorr_1d,0.7585389369343055
mean_rank_autocorr_20d,-0.003066880295944618
mean_ic_spearman_signed,0.007715156728115419
decile_spread_20d,0.0020703985522290587
decile_spread_signed,0.0020703985522290587
rebalances,225.45
mean_turnover,1.7360079126217236
gross_return_mean_period_return,0.002070072221891224
gross_return_annualised_return,0.026082909995829424
gross_return_annualised_volatility,0.17124660464324887
gross_return_sharpe,0.14861894534328848
gross_return_hit_rate,0.5060983284169126
gross_return_max_drawdown,-0.46606424369596083
net_return_1bp_mean_period_return,0.0017228706393668791
net_return_1bp_annualised_return,0.02170817005602268
net_return_1bp_annualised_volatility,0.17124412596905372
net_return_1bp_sharpe,0.12293919398500808
net_return_1bp_hit_rate,0.5012173058013766
net_return_1bp_max_drawdown,-0.47553712114419494
net_return_5bp_mean_period_return,0.00033406430926950033
net_return_5bp_annualised_return,0.004209210296795702
net_return_5bp_annualised_volatility,0.171234454572006
net_return_5bp_sharpe,0.020213984013157014
net_return_5bp_hit_rate,0.4823647984267453
net_return_5bp_max_drawdown,-0.5241247398743171
net_return_10bp_mean_period_return,-0.0014019436033522238
net_return_10bp_annualised_return,-0.017664489402238016
net_return_10bp_annualised_volatility,0.17122291282315066
net_return_10bp_sharpe,-0.10820566671767588
net_return_10bp_hit_rate,0.4632949852507375
net_return_10bp_max_drawdown,-0.5992047348265817
net_return_20bp_mean_period_return,-0.004873959428595672
net_return_20bp_annualised_return,-0.06141188880030546
net_return_20bp_annualised_volatility,0.171201654755286
net_return_20bp_sharpe,-0.36508355354064664
net_return_20bp_hit_rate,0.42181710914454273
net_return_20bp_max_drawdown,-0.7621310247129062
gross_return_sharpe_sd_across_offsets,0.2331764730310088
gross_return_sharpe_min_offset,-0.31533353931101465
gross_return_sharpe_max_offset,0.5471956211733006
