date,n_eligible,n_factor,n_used,ic_pearson,ic_spearman,coverage,rank_autocorr_1d,rank_autocorr_20d
2006-01-03,1606,0,0,,,0.0,,
2006-01-04,1618,0,0,,,0.0,,
2006-01-05,1633,0,0,,,0.0,,
2006-01-06,1635,0,0,,,0.0,,
2006-01-09,1633,0,0,,,0.0,,
2006-01-10,1637,0,0,,,0.0,,
2006-01-11,1648,0,0,,,0.0,,
2006-01-12,1653,0,0,,,0.0,,
2006-01-13,1662,0,0,,,0.0,,
2006-01-17,1652,0,0,,,0.0,,
2006-01-18,1645,0,0,,,0.0,,
2006-01-19,1633,0,0,,,0.0,,
2006-01-20,1631,0,0,,,0.0,,
2006-01-23,1638,0,0,,,0.0,,
2006-01-24,1640,0,0,,,0.0,,
2006-01-25,1647,0,0,,,0.0,,
2006-01-26,1665,0,0,,,0.0,,
2006-01-27,1684,0,0,,,0.0,,
2006-01-30,1703,0,0,,,0.0,,
2006-01-31,1717,0,0,,,0.0,,
2006-02-01,1736,1729,1721,0.10226441725038737,0.12109184197777745,0.9959677419354839,0.979306092142131,0.7031289044313515
2006-02-02,1734,1726,1719,0.10895448816437764,0.12808652636740317,0.9953863898500577,0.9863496719711538,0.6964004492428402
2006-02-03,1744,1735,1726,0.12266203085291712,0.14157779130524625,0.9948394495412844,0.9831170332960644,0.6894911774166681
2006-02-06,1747,1738,1728,0.11842460716667601,0.1359448602576324,0.994848311390956,0.9813234348359084,0.6811610106835787
2006-02-07,1744,1735,1725,0.09142926893538401,0.10510292148879438,0.9948394495412844,0.9856176424772637,0.6887290589340581
2006-02-08,1741,1732,1722,0.06931334032995999,0.09232543934225804,0.9948305571510626,0.9774586226931216,0.6925955417008233
2006-02-09,1745,1736,1725,0.05429716048329662,0.08424575615502478,0.9948424068767908,0.9799283567851621,0.6783859500024323
2006-02-10,1747,1737,1726,0.05879444461651587,0.08167635654985585,0.9942759015455066,0.986606967456278,0.6820014646680962
2006-02-13,1751,1740,1729,0.04647994570034996,0.07940645345763957,0.9937178754997145,0.9830749255358965,0.6833265200610057
2006-02-14,1754,1742,1730,0.04761716384038493,0.0685530291819234,0.9931584948688712,0.9847223067838905,0.6611501147982215
2006-02-15,1751,1739,1729,0.03968194919344204,0.059035160619052084,0.9931467732724157,0.9846563522584987,0.6404888298658692
2006-02-16,1747,1734,1725,0.04411127411895252,0.05742275058361298,0.9925586720091586,0.9816499017902216,0.6721600614760478
2006-02-17,1764,1750,1741,0.05867070968570115,0.07139198159792794,0.9920634920634921,0.9837222987894298,0.6854528795557808
2006-02-21,1760,1744,1735,0.0386083128644743,0.04464880057639562,0.990909090909091,0.9844801425100479,0.6706360238934134
