decile,mean_forward_return_20d,sd_across_dates,observations
1,0.006634058811414222,0.08352374103263271,733733.0
2,0.008814520424268986,0.06696375182243783,733288.0
3,0.00908452973295455,0.060976304238969055,732845.0
4,0.009063743955490191,0.05771195945723731,732372.0
5,0.009027375595808207,0.05654466399920866,731946.0
6,0.008703178266787895,0.05613700459946247,731492.0
7,0.008318833817874665,0.05707508009434313,731022.0
8,0.008119574155692368,0.0587140878032455,730565.0
9,0.008552503959502137,0.062055773796314835,730135.0
10,0.007349341718039945,0.07401136663851274,729659.0
