,value
factor,rmom_120_20
hypothesised_sign,1
first_date,2006-01-03
last_date,2023-11-30
dates,4509
mean_names_per_date,1622.767132401863
mean_coverage,0.9897535809882244
min_coverage,0.0
mean_ic_pearson,0.0021267374845954797
sd_ic_pearson,0.10400478928690315
icir_pearson_daily,0.020448457221799207
ic_pearson_nw_tstat,0.38513559815128656
mean_ic_spearman,-0.0035721810646810338
sd_ic_spearman,0.10712236083902837
icir_spearman_daily,-0.03334673579542288
ic_spearman_nw_tstat,-0.6318845315262113
share_ic_spearman_positive,0.4825903748059437
mean_rank_autocorr_1d,0.9828679424302434
mean_rank_autocorr_20d,0.7083506628876113
mean_ic_spearman_signed,-0.0035721810646810338
decile_spread_20d,0.0007152829066257227
decile_spread_signed,0.0007152829066257227
rebalances,224.45
mean_turnover,0.9773510289924854
gross_return_mean_period_return,0.0007151630640066616
gross_return_annualised_return,0.009011054606483937
gross_return_annualised_volatility,0.15709085291904715
gross_return_sharpe,0.05905329803251558
gross_return_hit_rate,0.5257430555555556
gross_return_max_drawdown,-0.45218081346235506
net_return_1bp_mean_period_return,0.0005196928582081646
net_return_1bp_annualised_return,0.006548130013422875
net_return_1bp_annualised_volatility,0.15708868111809762
net_return_1bp_sharpe,0.043273595934851375
net_return_1bp_hit_rate,0.522626984126984
net_return_1bp_max_drawdown,-0.4589979680562994
net_return_5bp_mean_period_return,-0.0002621879649858239
net_return_5bp_annualised_return,-0.003303568358821381
net_return_5bp_annualised_volatility,0.15708027555784043
net_return_5bp_sharpe,-0.019849366190338197
net_return_5bp_hit_rate,0.5121577380952381
net_return_5bp_max_drawdown,-0.4906656821611959
net_return_10bp_mean_period_return,-0.0012395389939783095
net_return_10bp_annualised_return,-0.015618191324126698
net_return_10bp_annualised_volatility,0.1570704023846486
net_return_10bp_sharpe,-0.09876176636606235
net_return_10bp_hit_rate,0.49745138888888885
net_return_10bp_max_drawdown,-0.5418558385237425
net_return_20bp_mean_period_return,-0.00319424105196328
net_return_20bp_annualised_return,-0.040247437254737325
net_return_20bp_annualised_volatility,0.15705276909354549
net_return_20bp_sharpe,-0.25661144926527574
net_return_20bp_hit_rate,0.4738382936507938
net_return_20bp_max_drawdown,-0.656119686457161
gross_return_sharpe_sd_across_offsets,0.08254163822510653
gross_return_sharpe_min_offset,-0.09492629954852602
gross_return_sharpe_max_offset,0.1842948757514196
