decile,mean_forward_return_20d,sd_across_dates,observations
1,0.00789031607850881,0.03647355121654622,741247.0
2,0.009037014629015834,0.04543292028196188,740811.0
3,0.00922018171796678,0.050974484564765034,740369.0
4,0.009300952070020635,0.05510262668519479,739920.0
5,0.009325209354259999,0.059837885084897784,739486.0
6,0.009350374832040617,0.0637810005319821,739018.0
7,0.008769232847563925,0.06868731881018011,738537.0
8,0.008371373400395241,0.07445562223197182,738095.0
9,0.007783859971776212,0.08404353341200871,737622.0
10,0.004485199637597826,0.09740647012616363,737183.0
