,value
factor,rvol_20
hypothesised_sign,-1
first_date,2006-01-03
last_date,2023-11-30
dates,4509
mean_names_per_date,1639.451763140386
mean_coverage,0.999919134673783
min_coverage,0.9985724482512491
mean_ic_pearson,-0.020165687432048725
sd_ic_pearson,0.1678388009239616
icir_pearson_daily,-0.12014913906102483
ic_pearson_nw_tstat,-2.246642055079132
mean_ic_spearman,-0.028584764779739716
sd_ic_spearman,0.18797457152151897
icir_spearman_daily,-0.1520671894520977
ic_spearman_nw_tstat,-2.8453385339860677
share_ic_spearman_positive,0.4337990685296075
mean_rank_autocorr_1d,0.9828423835198924
mean_rank_autocorr_20d,0.6577238595792033
mean_ic_spearman_signed,0.028584764779739716
decile_spread_20d,-0.0034051164409109845
decile_spread_signed,0.0034051164409109845
rebalances,225.45
mean_turnover,1.218351278164684
gross_return_mean_period_return,0.003406202506538698
gross_return_annualised_return,0.0429181515823876
gross_return_annualised_volatility,0.2706756823030183
gross_return_sharpe,0.16064219676664243
gross_return_hit_rate,0.5449233038348082
gross_return_max_drawdown,-0.7207284472123607
net_return_1bp_mean_period_return,0.003162532250905762
net_return_1bp_annualised_return,0.0398479063614126
net_return_1bp_annualised_volatility,0.27067169807019514
net_return_1bp_sharpe,0.1492769420970978
net_return_1bp_hit_rate,0.5429282202556539
net_return_1bp_max_drawdown,-0.7307782411573095
net_return_5bp_mean_period_return,0.0021878512283740143
net_return_5bp_annualised_return,0.027566925477512577
net_return_5bp_annualised_volatility,0.270656051451693
net_return_5bp_sharpe,0.10381232711587021
net_return_5bp_hit_rate,0.5358318584070796
net_return_5bp_max_drawdown,-0.7683887698680406
net_return_10bp_mean_period_return,0.0009694999502093311
net_return_10bp_annualised_return,0.012215699372637568
net_return_10bp_annualised_volatility,0.27063714647742293
net_return_10bp_sharpe,0.04697374094377228
net_return_10bp_hit_rate,0.5269567354965585
net_return_10bp_max_drawdown,-0.808158099298368
net_return_20bp_mean_period_return,-0.0014672026061200367
net_return_20bp_annualised_return,-0.018486752837112465
net_return_20bp_annualised_volatility,0.2706015147718682
net_return_20bp_sharpe,-0.06672775114362711
net_return_20bp_hit_rate,0.5120953785644051
net_return_20bp_max_drawdown,-0.8684853811981041
gross_return_sharpe_sd_across_offsets,0.05350055527558829
gross_return_sharpe_min_offset,0.051542805145018515
gross_return_sharpe_max_offset,0.266427703746063
