,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
factor,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
hypothesised_sign,1,1,-1,1,1,1
first_date,2006-01-03,2006-01-03,2006-01-03,2006-01-03,2006-01-03,2006-01-03
last_date,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30
dates,4509,4509,4509,4509,4509,4509
mean_names_per_date,1637.853626081171,1639.544023064981,1639.451763140386,1639.4437791084497,1622.767132401863,1635.7782213351077
mean_coverage,0.998914154774209,0.9999766637718304,0.999919134673783,0.9999085367998162,0.9897535809882244,0.997614051004435
min_coverage,0.9957317073170732,0.9986091794158554,0.9985724482512491,0.9978991596638656,0.0,0.9937456567060459
mean_ic_pearson,0.005629937212335586,0.006309155184155646,-0.020165687432048725,0.00458118742602045,0.0021267374845954797,0.01593577467284515
sd_ic_pearson,0.14385084637099674,0.10914889709585482,0.1678388009239616,0.04715997691747674,0.10400478928690314,0.19265937234694866
icir_pearson_daily,0.039137324210215395,0.057803196844169034,-0.12014913906102483,0.09714142638442927,0.02044845722179921,0.08271476481376351
ic_pearson_nw_tstat,0.7330337697242687,1.8090380889236384,-2.246642055079132,3.1162246443111563,0.3851355981512867,1.5037589106465648
mean_ic_spearman,-1.656873980093084e-05,0.007715156728115419,-0.028584764779739716,0.005571062334649915,-0.0035721810646810316,0.01501738499711243
sd_ic_spearman,0.14846853350672812,0.11652011117740955,0.18797457152151897,0.04999566993014927,0.10712236083902837,0.19712818020595393
icir_spearman_daily,-0.00011159765244249549,0.06621309102914075,-0.1520671894520977,0.11143089676432869,-0.03334673579542286,0.0761808128164258
ic_spearman_nw_tstat,-0.0021200087263325866,2.119755524934055,-2.8453385339860677,3.427975251388422,-0.6318845315262113,1.39135783087939
share_ic_spearman_positive,0.5278332224440009,0.5174096251940563,0.4337990685296075,0.555777334220448,0.4825903748059437,0.5708582834331337
mean_rank_autocorr_1d,0.9867285450815978,0.7585389369343055,0.9828423835198924,0.47943382835782544,0.9828679424302434,0.9833511070425768
mean_rank_autocorr_20d,0.7681332504313302,-0.003066880295944618,0.6577238595792033,-0.08685173018277753,0.7083506628876113,0.8066768398674813
mean_ic_spearman_signed,-1.656873980093084e-05,0.007715156728115419,0.028584764779739716,0.005571062334649915,-0.0035721810646810316,0.01501738499711243
decile_spread_20d,0.0026680872999073806,0.0020703985522290587,-0.0034051164409109845,0.002046020563698352,0.0007152829066257227,0.0007098520602668232
decile_spread_signed,0.0026680872999073806,0.0020703985522290587,0.0034051164409109845,0.002046020563698352,0.0007152829066257227,0.0007098520602668232
rebalances,225.45,225.45,225.45,225.45,224.45,225.45
mean_turnover,0.8963351415993841,1.7360079126217236,1.218351278164684,1.8406953269113973,0.9773510289924854,0.9991942573128967
gross_return_mean_period_return,0.0026682618289671526,0.002070072221891224,0.003406202506538698,0.002046223700251859,0.0007151630640066615,0.0007094456980405923
gross_return_annualised_return,0.03362009904498611,0.026082909995829424,0.0429181515823876,0.02578241862317342,0.009011054606483935,0.008939015795311464
gross_return_annualised_volatility,0.2296299587528703,0.17124660464324887,0.2706756823030183,0.07541144918898421,0.15709085291904715,0.29565719893689024
gross_return_sharpe,0.14695490312915216,0.14861894534328848,0.16064219676664243,0.3442330075761835,0.05905329803251558,0.03174206251710276
gross_return_hit_rate,0.5839321533923304,0.5060983284169126,0.5449233038348082,0.5393579154375615,0.5257430555555556,0.5662015732546706
gross_return_max_drawdown,-0.6428222662757825,-0.46606424369596083,-0.7207284472123607,-0.23583985871930252,-0.45218081346235506,-0.8403126690404827
net_return_1bp_mean_period_return,0.002488994800647275,0.0017228706393668791,0.003162532250905762,0.0016780846348695793,0.0005196928582081647,0.0005096068465780131
net_return_1bp_annualised_return,0.03136133448815567,0.02170817005602268,0.0398479063614126,0.021143866399356694,0.006548130013422875,0.006421046266882964
net_return_1bp_annualised_volatility,0.22963175583431833,0.17124412596905372,0.27067169807019514,0.07541287971778372,0.15708868111809762,0.29563855828604835
net_return_1bp_sharpe,0.13709285855748357,0.12293919398500808,0.1492769420970978,0.2824755259168481,0.043273595934851375,0.02321265497089723
net_return_1bp_hit_rate,0.5825998033431662,0.5012173058013766,0.5429282202556539,0.534253687315634,0.522626984126984,0.564424778761062
net_return_1bp_max_drawdown,-0.6453334321194542,-0.47553712114419494,-0.7307782411573095,-0.2530755264406808,-0.4589979680562994,-0.8446591716527261
net_return_5bp_mean_period_return,0.001771926687367768,0.00033406430926950033,0.0021878512283740143,0.00020552837334046143,-0.0002621879649858239,-0.0002897485592723046
net_return_5bp_annualised_return,0.022326276260833878,0.004209210296795702,0.027566925477512577,0.0025896575040898137,-0.003303568358821381,-0.0036508318468310382
net_return_5bp_annualised_volatility,0.2296392100949151,0.171234454572006,0.270656051451693,0.07541889035677757,0.15708027555784043,0.2955644028282342
net_return_5bp_sharpe,0.0976462520255459,0.020213984013157014,0.10381232711587021,0.03546793100930119,-0.0198493661903382,-0.010915867442576159
