date,n_eligible,n_factor,n_used,ic_pearson,ic_spearman,coverage,rank_autocorr_1d,rank_autocorr_20d
2006-01-03,1606,1606,1596,-0.04482577124083997,-0.04662485354231608,1.0,0.30363997711664736,-0.08410633488259357
2006-01-04,1618,1618,1608,0.006946220491655236,-0.008975413858027241,1.0,0.48123124784080346,-0.037015920873555784
2006-01-05,1633,1633,1624,0.036269858116143576,0.029130165392005476,1.0,0.49521300380614075,-0.07337892971110162
2006-01-06,1635,1635,1626,0.018955928728008452,0.014945656089817546,1.0,0.49691772407408985,-0.06276611419127369
2006-01-09,1633,1633,1625,0.02450125524122537,0.021050160171930475,1.0,0.4524521671660424,-0.11372129968673475
2006-01-10,1637,1637,1629,-0.0034788528660444954,0.030804529852085098,1.0,0.425442211526888,-0.09742174805193518
2006-01-11,1648,1648,1640,0.011458417528388616,0.012905013793922884,1.0,0.4627896894008486,-0.08575301129279314
2006-01-12,1653,1653,1644,0.028012518784231673,0.02823037366893298,1.0,0.46835595394792123,-0.11015064236198013
2006-01-13,1662,1662,1652,-0.003860418941491216,0.0006806962114099264,1.0,0.45948725380854616,-0.07127887386602375
2006-01-17,1652,1652,1642,0.016595332860166255,0.003863065972652048,1.0,0.38015613247241015,-0.03296820030974736
2006-01-18,1645,1645,1633,-0.026991139550239716,-0.03096722011281932,1.0,0.4997117399368905,-0.024148400303308115
2006-01-19,1633,1633,1620,0.01883226555728842,0.01952432340311615,1.0,0.49207204474736,-0.031135538813060422
2006-01-20,1631,1631,1618,0.03846720272491881,0.03793193640590244,1.0,0.4659935064504513,-0.06268449019184603
2006-01-23,1638,1638,1625,-0.02103148083665729,-0.027951586268421435,1.0,0.4402246195650023,-0.03905293056602326
2006-01-24,1640,1640,1626,-0.018417871154184324,-0.029334432208678988,1.0,0.4587742438059607,-0.06483404401760834
2006-01-25,1647,1647,1633,0.06025877006704209,0.03404350076895609,1.0,0.4890565088731512,-0.08285460916510483
2006-01-26,1665,1665,1653,0.01440608677667093,-0.023753922674965997,1.0,0.47807530480109267,-0.08300530234472067
2006-01-27,1684,1684,1672,0.060179344514004696,0.0040874732795984125,1.0,0.521181952355298,-0.10010085860576357
2006-01-30,1703,1703,1691,0.004325212588851374,-0.012076290961233787,1.0,0.44639428991472835,-0.13186390445114757
2006-01-31,1717,1717,1706,-0.006165434675073806,-0.03378399877462351,1.0,0.44636813467662273,-0.09596076799119564
2006-02-01,1736,1736,1728,0.05187231567376314,0.029137661701356198,1.0,0.43325318725365214,-0.1113879441201022
2006-02-02,1734,1734,1727,0.041643413814181074,0.008218118255869902,1.0,0.44238530897390904,-0.07791235849356541
2006-02-03,1744,1744,1735,-0.010522768417385194,-0.033370186795331276,1.0,0.4989085525827464,-0.08414692546022425
2006-02-06,1747,1747,1737,-0.0026599159613877247,-0.01600279096433716,1.0,0.48557492604581615,-0.09685352961819238
2006-02-07,1744,1744,1734,-0.05384330335053069,-0.0951550792733786,1.0,0.47072838949541634,-0.0758835859001409
2006-02-08,1741,1741,1731,-0.0625047478316387,-0.09081236475647063,1.0,0.5413892398294914,-0.02075331365245626
2006-02-09,1745,1745,1734,-0.0646251413231633,-0.08420040759549498,1.0,0.5244958902237541,-0.10296930714234767
2006-02-10,1747,1747,1736,-0.03838213431233369,-0.060176593390342516,1.0,0.5526245306543395,-0.10336695576852764
