decile,mean_forward_return_20d,sd_across_dates,observations
1,0.006468827220175747,0.06538229798979,741239.0
2,0.008142813255818195,0.06332583974726042,740803.0
3,0.008611107070634155,0.06191599167702068,740360.0
4,0.008601477152576784,0.06177404991065837,739904.0
5,0.008876834755738146,0.06108030474417212,739477.0
6,0.00890999034942131,0.06079061388220169,739005.0
7,0.008772603382577062,0.0607001941750918,738528.0
8,0.008548475529602343,0.06127161462436311,738084.0
9,0.008638929807855331,0.06185403845415724,737610.0
10,0.007972654321851739,0.06371213376245223,737176.0
