offset,rebalances,mean_turnover,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,1.8442194857133003,0.0012819532971983937,0.01615261154469976,0.07313772211512212,0.22085199097771754,0.5575221238938053,-0.3266900592207598,0.0009131094000557337,0.011505178440702245,0.07313595325512484,0.1573122100503427,0.5486725663716814,-0.33098787091515613,-0.0005622661885149067,-0.007084553975287824,0.07312916917021273,-0.09687726601676659,0.504424778761062,-0.4352099232211104,-0.002406485674228207,-0.030321719495275408,0.07312134476243595,-0.4146767211925285,0.45132743362831856,-0.57188946506708,-0.006094924645654807,-0.07679605053525057,0.07310788247216472,-1.0504482955649836,0.3495575221238938,-0.7771636415137513
1,226,1.841825201518104,0.001322465665945565,0.01666306739091412,0.06923484731808191,0.2406745740964791,0.5132743362831859,-0.22097240122238315,0.0009541006256419438,0.012021667883088491,0.06923761122933085,0.1736291542940436,0.5132743362831859,-0.25076778788949206,-0.0005193595355725391,-0.006543930148213992,0.0692489867281806,-0.09449856896679999,0.4778761061946903,-0.3731118471898469,-0.002361184737090643,-0.0297509276873421,0.06926392547410495,-0.42952991017618253,0.4336283185840708,-0.5320221179735665,-0.006044835140126852,-0.07616492276559833,0.0692961988779376,-1.0991212216381407,0.37610619469026546,-0.7718562564479613
2,226,1.84323656041307,0.0033836629612948857,0.042634153312315556,0.07184167106248003,0.5934460137381415,0.5663716814159292,-0.22809602651999283,0.003015015649212272,0.037989197180074624,0.07184190021835983,0.528788869233809,0.5663716814159292,-0.24152021032165005,0.0015404264008818155,0.019409372651110875,0.07184311344030332,0.2701633005818815,0.5088495575221239,-0.31051652714919853,-0.00030281015953125505,-0.0038154080100938135,0.07184529728325907,-0.05310588381381582,0.4911504424778761,-0.47009710234962054,-0.003989283280357394,-0.050264969332503164,0.07185188907118352,-0.6995636437993407,0.40707964601769914,-0.687461994471332
3,226,1.8399127278751302,0.0030511938903151673,0.03844504301797111,0.07413452853186228,0.518584845406386,0.5619469026548672,-0.23042846805856065,0.002683211344740141,0.033808462943725776,0.07413525929060899,0.4560375625206511,0.5619469026548672,-0.2403702457969622,0.0012112811624400365,0.01526214264674446,0.07413847878401514,0.20585993801150265,0.5309734513274337,-0.2935022427134246,-0.0006286315654350937,-0.00792075772448218,0.07414317010713817,-0.10683057809689751,0.4911504424778761,-0.4452856477406618,-0.004308457021185355,-0.05428655846693547,0.0741547753814799,-0.7320709716625142,0.39823008849557523,-0.7225153053195899
4,226,1.8381404533101908,0.0017632558507259817,0.02221702371914737,0.0703374652475499,0.3158632976174994,0.5265486725663717,-0.2765898634693219,0.0013956277600639432,0.017584909776805685,0.07033650476697725,0.2500111405174876,0.5176991150442478,-0.2938643782876217,-7.488460258420917e-05,-0.0009435459925610355,0.07033296434579046,-0.013415416246670801,0.4911504424778761,-0.36249291917817594,-0.0019130250558944005,-0.024104115704269447,0.07032921727925735,-0.34273260298858227,0.4557522123893805,-0.5447017535435091,-0.005589305962514782,-0.07042525512768626,0.07032398510962631,-1.00144004947817,0.37168141592920356,-0.7790016272607503
5,226,1.841473334262302,0.0009094292624844502,0.011458808707304072,0.07421696034633805,0.15439609293928008,0.5221238938053098,-0.32627410175678107,0.0005411345956319899,0.006818295904963073,0.07421876596609084,0.09186754611466089,0.5176991150442478,-0.3445653724980995,-0.0009320440717778519,-0.011743755304400933,0.07422628098642284,-0.15821559625961934,0.4690265486725664,-0.4393906456579191,-0.002773517406040154,-0.03494631931610594,0.07423633281063523,-0.47074414903074885,0.3893805309734513,-0.5859899238359332,-0.006456464074564758,-0.08135144733951595,0.0742586288021465,-1.0955150755108534,0.33185840707964603,-0.7994895059282314
6,226,1.8420254064950787,0.002343921108442209,0.029533405966371832,0.06758769232079387,0.4369642600933374,0.5752212389380531,-0.23748192320523343,0.001975516027143194,0.024891501942004245,0.06758801581356338,0.3682827738376821,0.5663716814159292,-0.25216572075238264,0.0005018957019471304,0.0063238858445338435,0.06758963016879944,0.09356295971350145,0.5132743362831859,-0.3081775680688572,-0.0013401297045479482,-0.01688563427730415,0.06759236893074066,-0.24981568991325362,0.4690265486725664,-0.4112907753364565,-0.005024180517538106,-0.06330467452098013,0.06760024877858344,-0.9364562359574602,0.36283185840707965,-0.7262961136698961
7,226,1.8429063046214242,0.0015566966710695198,0.01961437805547595,0.06778610374337085,0.2893569178977061,0.5176991150442478,-0.20277007689145055,0.0011881154101452348,0.014970254167829959,0.06778736178615691,0.2208413747544175,0.5176991150442478,-0.2358240753198665,-0.0002862096335519043,-0.003606241382753994,0.06779270308776117,-0.05319512600176936,0.4911504424778761,-0.3611940443205711,-0.002129115938173328,-0.026826860820983935,0.06780007511814262,-0.3956759749047141,0.4646017699115044,-0.5235905855732617,-0.005814928547416177,-0.07326809969744383,0.0678171362025339,-1.0803773765767812,0.34513274336283184,-0.752640348173855
8,226,1.8369344650321233,0.0018874918750240613,0.02378239762530317,0.07680456011881034,0.3096482499022683,0.5486725663716814,-0.16576380904728327,0.0015201049820176367,0.019153322773422223,0.07680843934692919,0.24936482157787754,0.5486725663716814,-0.1826057595273265,5.0557409991937885e-05,0.0006370233658984174,0.07682424333361092,0.00829195756777102,0.5132743362831859,-0.24669845941855795,-0.001786377055040185,-0.02250835089350633,0.0768446438994132,-0.2929072183998788,0.4690265486725664,-0.40851711963943016,-0.005460245985104432,-0.06879909941231584,0.07688759477992972,-0.8948010353196112,0.3893805309734513,-0.725239040892561
9,225,1.8378177474384831,0.001275994412338496,0.01607752959546505,0.07412639590402839,0.21689344800036772,0.5644444444444444,-0.17131184603569083,0.0009084308628507993,0.01144622887192007,0.07412927349158029,0.15440902537942922,0.5644444444444444,-0.18434610154543807,-0.000561823335099987,-0.0070789740222598355,0.07414108842598871,-0.0954797693498446,0.5244444444444445,-0.35571827515857257,-0.00239964108253847,-0.03023547763998472,0.07415654213266838,-0.40772502021322016,0.48444444444444446,-0.5406372093827796,-0.006075276577415437,-0.0765484848754345,0.07418973117410105,-1.0317935334716088,0.3688888888888889,-0.7741578966686516
