,value
factor,vs_20
hypothesised_sign,1
first_date,2006-01-03
last_date,2023-11-30
dates,4509
mean_names_per_date,1639.4437791084497
mean_coverage,0.9999085367998162
min_coverage,0.9978991596638656
mean_ic_pearson,0.00458118742602045
sd_ic_pearson,0.04715997691747674
icir_pearson_daily,0.09714142638442927
ic_pearson_nw_tstat,3.1162246443111563
mean_ic_spearman,0.005571062334649915
sd_ic_spearman,0.04999566993014927
icir_spearman_daily,0.11143089676432869
ic_spearman_nw_tstat,3.427975251388422
share_ic_spearman_positive,0.555777334220448
mean_rank_autocorr_1d,0.47943382835782544
mean_rank_autocorr_20d,-0.08685173018277753
mean_ic_spearman_signed,0.005571062334649915
decile_spread_20d,0.002046020563698352
decile_spread_signed,0.002046020563698352
rebalances,225.45
mean_turnover,1.8406953269113973
gross_return_mean_period_return,0.002046223700251859
gross_return_annualised_return,0.02578241862317342
gross_return_annualised_volatility,0.07541144918898421
gross_return_sharpe,0.3442330075761835
gross_return_hit_rate,0.5393579154375615
gross_return_max_drawdown,-0.23583985871930252
net_return_1bp_mean_period_return,0.0016780846348695793
net_return_1bp_annualised_return,0.021143866399356694
net_return_1bp_annualised_volatility,0.07541287971778372
net_return_1bp_sharpe,0.2824755259168481
net_return_1bp_hit_rate,0.534253687315634
net_return_1bp_max_drawdown,-0.2530755264406808
net_return_5bp_mean_period_return,0.00020552837334046143
net_return_5bp_annualised_return,0.0025896575040898137
net_return_5bp_annualised_volatility,0.07541889035677757
net_return_5bp_sharpe,0.03546793100930119
net_return_5bp_hit_rate,0.4969999999999999
net_return_5bp_max_drawdown,-0.3524807571152301
net_return_10bp_mean_period_return,-0.0016351669535709362
net_return_10bp_annualised_return,-0.020603103614993793
net_return_10bp_annualised_volatility,0.07542705270590405
net_return_10bp_sharpe,-0.2732359504949766
net_return_10bp_hit_rate,0.4550855457227139
net_return_10bp_max_drawdown,-0.5050241917000431
net_return_20bp_mean_period_return,-0.00531655760739373
net_return_20bp_annualised_return,-0.06698862585316101
net_return_20bp_annualised_volatility,0.07544554001492845
net_return_20bp_sharpe,-0.8904243984280056
net_return_20bp_hit_rate,0.3717040314650934
net_return_20bp_max_drawdown,-0.7468691679893592
gross_return_sharpe_sd_across_offsets,0.17246814076018185
gross_return_sharpe_min_offset,0.06535559114596907
gross_return_sharpe_max_offset,0.6298674059460666
