decile,mean_forward_return_20d,sd_across_dates,observations
1,0.0059193012919841375,0.10630966780079414,742954.0
2,0.007774756173013803,0.08268948096320676,742478.0
3,0.008809348712480763,0.07235731500912772,742021.0
4,0.0098802324397508,0.06599689533294908,741537.0
5,0.00924620032076109,0.06116318858063854,741049.0
6,0.008935913673137076,0.057402930995243996,740603.0
7,0.008701051595758513,0.053234984413187865,740185.0
8,0.008923331234545357,0.04970031099434575,739781.0
9,0.008481387563536235,0.04648927537193319,739368.0
10,0.0068646167810045905,0.044395330692799995,738909.0
