,value
factor,dd_252
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1643.4971162377994
mean_complete_pairs_per_date,1636.1084738243123
mean_coverage,0.9977226689982429
min_coverage,0.9939024390243902
mean_target_coverage,0.9955194986982788
min_target_coverage,0.9878892733564014
mean_ic_pearson,0.016327501279011693
sd_ic_pearson,0.19242725495513885
icir_pearson_daily,0.08485025306221915
ic_pearson_nw_tstat,1.5414248597370865
mean_ic_spearman,0.015309194960588005
sd_ic_spearman,0.1963873048909351
icir_spearman_daily,0.07795409672274928
ic_spearman_nw_tstat,1.42317406615417
share_ic_spearman_positive,0.5703194321206744
mean_rank_autocorr_1d,0.9833335386094525
mean_rank_autocorr_20d,0.8069195891860795
mean_ic_spearman_signed,0.015309194960588005
decile_spread_20d,0.000945315489020453
decile_spread_signed,0.000945315489020453
rebalances,225.4
mean_turnover,1.072798194002874
mean_names_without_target,3.597062930186824
mean_names_without_any_return,0.006209439528023599
gross_return_mean_period_return,0.0010648144456015557
gross_return_annualised_return,0.0134166620145796
gross_return_annualised_volatility,0.2962938033403525
gross_return_sharpe,0.04675367997607576
gross_return_hit_rate,0.5672359882005901
gross_return_max_drawdown,-0.8360792651259784
net_return_1bp_mean_period_return,0.000850254806800981
net_return_1bp_annualised_return,0.01071321056569236
net_return_1bp_annualised_volatility,0.296285765586466
net_return_1bp_sharpe,0.03761572477909758
net_return_1bp_hit_rate,0.5652379547689281
net_return_1bp_max_drawdown,-0.8409751083214797
net_return_5bp_mean_period_return,-7.983748401317797e-06
net_return_5bp_annualised_return,-0.00010059522985660426
net_return_5bp_annualised_volatility,0.2962541750748724
net_return_5bp_sharpe,0.0010589703129496946
net_return_5bp_hit_rate,0.5581356932153393
net_return_5bp_max_drawdown,-0.8600809802711666
net_return_10bp_mean_period_return,-0.0010807819424041916
net_return_10bp_annualised_return,-0.013617852474292817
net_return_10bp_annualised_volatility,0.2962159483959068
net_return_10bp_sharpe,-0.044647687910944284
net_return_10bp_hit_rate,0.5505889872173058
net_return_10bp_max_drawdown,-0.8820820362813606
net_return_20bp_mean_period_return,-0.003226378330409939
net_return_20bp_annualised_return,-0.04065236696316524
net_return_20bp_annualised_volatility,0.29614370190045547
net_return_20bp_sharpe,-0.13609427544814334
net_return_20bp_hit_rate,0.5332772861356934
net_return_20bp_max_drawdown,-0.9167641333585145
gross_return_sharpe_sd_across_offsets,0.05089238700839429
gross_return_sharpe_min_offset,-0.029689510239537885
gross_return_sharpe_max_offset,0.14153949843779848
