decile,mean_forward_return_20d,sd_across_dates,observations
1,0.005497558383622564,0.09208122834083082,743883.0
2,0.008628617438089271,0.07151144665134519,743435.0
3,0.009910038016362319,0.06381709900608404,742968.0
4,0.009133782598907566,0.0594079163120632,742497.0
5,0.009336660685304634,0.05752462795022306,742038.0
6,0.008965606591633164,0.0559391281419278,741571.0
7,0.008343716672668191,0.05542310911460789,741118.0
8,0.007775612956123648,0.056159626428665316,740679.0
9,0.007789109239204476,0.05960910534954308,740265.0
10,0.008044489753464116,0.07118474276753442,739812.0
