,value
factor,mom_120_20
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1645.578083407276
mean_complete_pairs_per_date,1638.1705856255546
mean_coverage,0.9990155191640583
min_coverage,0.9957317073170732
mean_target_coverage,0.9955136843113012
min_target_coverage,0.9879101899827288
mean_ic_pearson,0.005322772235978125
sd_ic_pearson,0.14375594003084965
icir_pearson_daily,0.03702645076673612
ic_pearson_nw_tstat,0.6934590189944829
mean_ic_spearman,-0.0001650896557513604
sd_ic_spearman,0.14842551564922726
icir_spearman_daily,-0.0011122727452166335
ic_spearman_nw_tstat,-0.02112570742732126
share_ic_spearman_positive,0.5279503105590062
mean_rank_autocorr_1d,0.9865927469611858
mean_rank_autocorr_20d,0.7682796012401744
mean_ic_spearman_signed,-0.0001650896557513604
decile_spread_20d,0.002546931369841552
decile_spread_signed,0.002546931369841552
rebalances,225.4
mean_turnover,0.9609994770741158
mean_names_without_target,2.8917295968534904
mean_names_without_any_return,0.003329400196656834
gross_return_mean_period_return,0.002574203433318596
gross_return_annualised_return,0.032434963259814306
gross_return_annualised_volatility,0.22964046547807043
gross_return_sharpe,0.14212703278345562
gross_return_hit_rate,0.5800668633235005
gross_return_max_drawdown,-0.6426832066110558
net_return_1bp_mean_period_return,0.0023820035379037733
net_return_1bp_annualised_return,0.030013244577587538
net_return_1bp_annualised_volatility,0.22964516553999412
net_return_1bp_sharpe,0.13155286872094277
net_return_1bp_hit_rate,0.5771819075712881
net_return_1bp_max_drawdown,-0.6456899596582522
net_return_5bp_mean_period_return,0.0016132039562444804
net_return_5bp_annualised_return,0.020326369848680453
net_return_5bp_annualised_volatility,0.22966440786738357
net_return_5bp_sharpe,0.08926072098506166
net_return_5bp_hit_rate,0.5705250737463128
net_return_5bp_max_drawdown,-0.659334140182597
net_return_10bp_mean_period_return,0.0006522044791703638
net_return_10bp_annualised_return,0.008217776437546585
net_return_10bp_annualised_volatility,0.22968945519551204
net_return_10bp_sharpe,0.036406130227004424
net_return_10bp_hit_rate,0.5594375614552606
net_return_10bp_max_drawdown,-0.6823554958978912
net_return_20bp_mean_period_return,-0.0012697944749778675
net_return_20bp_annualised_return,-0.01599941038472113
net_return_20bp_annualised_volatility,0.22974286287366258
net_return_20bp_sharpe,-0.06926489465531013
net_return_20bp_hit_rate,0.5388131760078663
net_return_20bp_max_drawdown,-0.7313022687384528
gross_return_sharpe_sd_across_offsets,0.0428823302401139
gross_return_sharpe_min_offset,0.0562360269425809
gross_return_sharpe_max_offset,0.2093436514496891
