decile,mean_forward_return_20d,sd_across_dates,observations
1,0.005842160425437794,0.07254785189790404,744582.0
2,0.007357614921174152,0.061734269212505966,744157.0
3,0.008040129953194043,0.05822284691850841,743709.0
4,0.00838008887267773,0.0568328986227306,743233.0
5,0.008761901153950197,0.05636127436759283,742775.0
6,0.009115163927384873,0.05748077715055069,742315.0
7,0.009214432256360016,0.0588950738786822,741831.0
8,0.009428698120911032,0.062156350392657045,741392.0
9,0.009512021520724386,0.06805293482654391,740938.0
10,0.007819444417772303,0.08279965906594416,740496.0
