,value
factor,rev_5
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1647.1668145519077
mean_complete_pairs_per_date,1639.7344720496894
mean_coverage,1.0
min_coverage,1.0
mean_target_coverage,0.9955023678043315
min_target_coverage,0.9879101899827288
mean_ic_pearson,0.005932009200891397
sd_ic_pearson,0.10928481790756195
icir_pearson_daily,0.054280267968318884
ic_pearson_nw_tstat,1.7005879975243976
mean_ic_spearman,0.007436327436962727
sd_ic_spearman,0.1166545038047628
icir_spearman_daily,0.06374659523997833
ic_spearman_nw_tstat,2.041187880355536
share_ic_spearman_positive,0.5148624667258208
mean_rank_autocorr_1d,0.7579829457682735
mean_rank_autocorr_20d,-0.0031161915334516985
mean_ic_spearman_signed,0.007436327436962727
decile_spread_20d,0.0019772839923345087
decile_spread_signed,0.0019772839923345087
rebalances,225.4
mean_turnover,1.754273620730953
mean_names_without_target,0.8442763028515241
mean_names_without_any_return,0.00731858407079646
gross_return_mean_period_return,0.0020167379066238014
gross_return_annualised_return,0.0254108976234599
gross_return_annualised_volatility,0.17198630413708957
gross_return_sharpe,0.14343939655140342
gross_return_hit_rate,0.5059714847590954
gross_return_max_drawdown,-0.465051866210604
net_return_1bp_mean_period_return,0.0016658831824776104
net_return_1bp_annualised_return,0.02099012809921789
net_return_1bp_annualised_volatility,0.1719861540706282
net_return_1bp_sharpe,0.11758641573239484
net_return_1bp_hit_rate,0.5028682399213373
net_return_1bp_max_drawdown,-0.47486362787161196
net_return_5bp_mean_period_return,0.0002624642858928483
net_return_5bp_annualised_return,0.0033070500022498875
net_return_5bp_annualised_volatility,0.17198586591146373
net_return_5bp_sharpe,0.014174828079627808
net_return_5bp_hit_rate,0.48535201573254677
net_return_5bp_max_drawdown,-0.5255661204039725
net_return_10bp_mean_period_return,-0.001491809334838105
net_return_10bp_annualised_return,-0.018796797618960123
net_return_10bp_annualised_volatility,0.17198620794468855
net_return_10bp_sharpe,-0.11508784315174432
net_return_10bp_hit_rate,0.46649754178957714
net_return_10bp_max_drawdown,-0.6054538598213239
net_return_20bp_mean_period_return,-0.005000356576300011
net_return_20bp_annualised_return,-0.06300449286138014
net_return_20bp_annualised_volatility,0.1719892326955108
net_return_20bp_sharpe,-0.3736004406709195
net_return_20bp_hit_rate,0.4203441494591937
net_return_20bp_max_drawdown,-0.7693022403843004
gross_return_sharpe_sd_across_offsets,0.2307869654921492
gross_return_sharpe_min_offset,-0.3157257436842558
gross_return_sharpe_max_offset,0.5402932873695837
