decile,mean_forward_return_20d,sd_across_dates,observations
1,0.006675450991295433,0.08356020668468438,737310.0
2,0.008820128575257878,0.06700998644527506,736885.0
3,0.009072830286037411,0.06099223286116978,736427.0
4,0.00908161779873439,0.05765575607714023,735974.0
5,0.009036116050930942,0.056547996980642196,735509.0
6,0.008675807912186924,0.05615884971938226,735054.0
7,0.008326838869358357,0.0570111917754081,734592.0
8,0.008119027980451325,0.05874564031602519,734168.0
9,0.00853425211884671,0.06212040120548922,733711.0
10,0.007309133803966766,0.07414857613119281,733272.0
