offset,rebalances,mean_turnover,mean_names_without_target,mean_names_without_any_return,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,225,1.0293977485114214,3.031111111111111,0.013333333333333334,0.00103958865490592,0.013098817051814591,0.1488935662676299,0.08797436571752217,0.5422222222222223,-0.4569553065149532,0.0008337091052036348,0.010504734725565798,0.14889521143395418,0.07055119250913863,0.5377777777777778,-0.4612881607572127,1.0190906394497773e-05,0.00012840542057067193,0.14890225082864564,0.0008623470757231123,0.5288888888888889,-0.47889286030484934,-0.0010192068421169232,-0.012842006210673232,0.14891208208798923,-0.08623884664432495,0.5155555555555555,-0.5025166021920666,-0.003078002339139765,-0.03878282947316104,0.1489351837668466,-0.26040072259805547,0.48,-0.6183402753144105
1,225,1.0307741067662368,3.031111111111111,0.0044444444444444444,0.0009027697758994985,0.011374899176333681,0.14777557597195415,0.07697414881666566,0.5333333333333333,-0.4545053708189769,0.0006966149545462505,0.008777348427282757,0.14777687742484252,0.05939595273791604,0.5333333333333333,-0.45989299612511647,-0.00012800433086673904,-0.0016128545689209118,0.1477825297448333,-0.01091370253104833,0.5155555555555555,-0.48092802770975474,-0.0011587784376329764,-0.014600608314175503,0.14779059968971303,-0.0987925371764479,0.5066666666666667,-0.5063141968658003,-0.0032203266511654505,-0.040576115804684676,0.14781008733891707,-0.27451520079036823,0.47555555555555556,-0.6344195087303142
2,225,1.0287886737424,2.942222222222222,0.0044444444444444444,0.0013936574792486956,0.017560084238533565,0.1450570357534596,0.12105641168883986,0.5466666666666666,-0.37998519495549476,0.001187899744500215,0.014967536780702709,0.14505474018330952,0.10318543717901145,0.5466666666666666,-0.3857712558836174,0.000364868805506295,0.004597346949379317,0.14504598167083024,0.031695789820724664,0.5377777777777778,-0.4083926820396422,-0.000663919868236105,-0.008365390339774922,0.1450359871496656,-0.05767803221928987,0.5333333333333333,-0.44287765640701104,-0.0027214972157209054,-0.034290864918083405,0.14501917764478817,-0.23645744980071462,0.49777777777777776,-0.5993629892264518
3,225,1.0309366748015933,2.951111111111111,0.0,0.0012660574553663804,0.01595232393761639,0.14517591119015225,0.10988271956992884,0.5333333333333333,-0.3754333307110377,0.0010598701204060615,0.013354363517116375,0.1451691065555435,0.091991773139465,0.5333333333333333,-0.38183664584389165,0.00023512078056478665,0.0029625218351163117,0.14514230864659933,0.02041115276958717,0.5244444444444445,-0.4072836164093122,-0.0007958158942368063,-0.010027280267383759,0.14510975811097485,-0.06910135057709385,0.5066666666666667,-0.46295393727132017,-0.002857689243839994,-0.03600688447238392,0.1450478158736253,-0.24824147992518114,0.4666666666666667,-0.6179071340187242
4,225,1.0301170384650882,2.951111111111111,0.0,0.0018795601716919492,0.02368245816331856,0.14068028920172007,0.16834240459486485,0.52,-0.43198551232631976,0.0016735367639989325,0.021086563226386548,0.14067852388476146,0.1498918430766296,0.5155555555555555,-0.43637416590579403,0.0008494431332268615,0.010702983478658454,0.14067189052128512,0.07608473476112829,0.5155555555555555,-0.4536017041975816,-0.00018067390523822632,-0.0022764912060016518,0.14066456171232325,-0.016183828949450415,0.5022222222222222,-0.4752579021358464,-0.0022409079821684025,-0.02823544057532187,0.1406531143533603,-0.20074522135632547,0.48,-0.5675404441504611
5,225,1.030245482837614,3.057777777777778,0.0,0.0007043732255969963,0.008875102642522153,0.13701491300834767,0.06477472012102388,0.49333333333333335,-0.3814645243151906,0.0004983241290294724,0.006278884025771352,0.13701311531812374,0.04582688315051251,0.4888888888888889,-0.39178492510793017,-0.0003258722572406182,-0.004105990441231789,0.13700633331569212,-0.029969347707238487,0.48,-0.43139346311277604,-0.0013561177400782322,-0.017087083524985724,0.13699877563027538,-0.12472435207084909,0.4622222222222222,-0.47733907291061217,-0.003416608705753461,-0.04304926969249361,0.1369867269349049,-0.3142586924713539,0.44,-0.63406839323739
6,225,1.0306313269848557,2.968888888888889,0.008888888888888889,-0.0003519430050386178,-0.004434481863486584,0.13971611354972638,-0.03173923000590986,0.4888888888888889,-0.35800498827569005,-0.00055806927043559,-0.007031672807488433,0.13971066197652077,-0.050330251879202675,0.4888888888888889,-0.3772866365890808,-0.0013825743320234742,-0.017420436583495773,0.1396892523955666,-0.12470849607073034,0.4666666666666667,-0.46773673987973896,-0.0024132056590083304,-0.030406391303504962,0.13966338336061768,-0.2177119769825007,0.4666666666666667,-0.5660733496468926,-0.004474468312978042,-0.056378300743523325,0.1396146238331465,-0.4038137209100751,0.4622222222222222,-0.7121017381144883
7,225,1.033237767992093,2.982222222222222,0.0044444444444444444,-0.0004418453808392946,-0.005567251798575112,0.14934236419735858,-0.03727844961137679,0.47555555555555556,-0.490898533983105,-0.0006484929344377132,-0.008171010973915186,0.14933935081105795,-0.05471438659361145,0.47555555555555556,-0.49871446820473586,-0.0014750831488313874,-0.01858604767527548,0.1493277337572419,-0.12446480775962436,0.4711111111111111,-0.5312760009072945,-0.002508320916823481,-0.03160484355197586,0.14931419473374713,-0.21166670461795495,0.4488888888888889,-0.6151362709148008,-0.004574796452807668,-0.05764243530537661,0.14929039210044265,-0.3861094776051948,0.4311111111111111,-0.7406921132905682
8,225,1.032682598984564,2.9066666666666667,0.0044444444444444444,-0.0006827067906209671,-0.008602105561824185,0.155406322557101,-0.055352352595973126,0.4666666666666667,-0.5020499732582201,-0.0008892433104178796,-0.011204465711265283,0.15540284986022854,-0.07209948672976547,0.4666666666666667,-0.5097187095620861,-0.0017153893896055315,-0.021613906309029696,0.15538935033300758,-0.13909515846941864,0.4577777777777778,-0.548697637535028,-0.0027480719885900964,-0.034625707056235216,0.1553733564485882,-0.22285485650618986,0.4488888888888889,-0.6306929681097417,-0.004813437186559225,-0.060649308550646236,0.1553443048890177,-0.39041861620852975,0.4266666666666667,-0.7538456812067671
9,224,1.0298964828686634,2.875,0.0,0.0007256717165948842,0.00914346362909554,0.16420759887177871,0.055682341693792166,0.5,-0.42791677247603377,0.0005196924200211518,0.006548124492266513,0.16420133836546258,0.039878630451186496,0.4955357142857143,-0.43716961909446617,-0.00030422476627377834,-0.003833232055049607,0.1641766555164204,-0.0233482162429982,0.49107142857142855,-0.47295068952110164,-0.001334121249142443,-0.01680992773919478,0.1641466104036537,-0.10240801011886515,0.47767857142857145,-0.5147600115045976,-0.0033939142148797685,-0.042763319107485084,0.16408921686478678,-0.26061017246930385,0.45982142857142855,-0.643110993045934
