,value
factor,rmom_120_20
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1631.078527062999
mean_complete_pairs_per_date,1623.7777284826975
mean_coverage,0.9902656951353462
min_coverage,0.0
mean_target_coverage,0.9955391745979127
min_target_coverage,0.9878542510121457
mean_ic_pearson,0.0019818980970553457
sd_ic_pearson,0.10395896475420317
icir_pearson_daily,0.01906423464047833
ic_pearson_nw_tstat,0.35920291903841534
mean_ic_spearman,-0.0036645525539593738
sd_ic_spearman,0.10715191589302887
icir_spearman_daily,-0.034199598984471204
ic_spearman_nw_tstat,-0.6480204614772028
share_ic_spearman_positive,0.4849157054125998
mean_rank_autocorr_1d,0.9827896274134037
mean_rank_autocorr_20d,0.7086814415286261
mean_ic_spearman_signed,-0.0036645525539593738
decile_spread_20d,0.000633682812671333
decile_spread_signed,0.000633682812671333
rebalances,224.45
mean_turnover,1.0315886305532966
mean_names_without_target,2.958075396825397
mean_names_without_any_return,0.0037857142857142855
gross_return_mean_period_return,0.0005583914971446764
gross_return_annualised_return,0.007035732864022924
gross_return_annualised_volatility,0.15728851769001082
gross_return_sharpe,0.046230094414084856
gross_return_hit_rate,0.5224107142857142
gross_return_max_drawdown,-0.45740868165236054
net_return_1bp_mean_period_return,0.00035207377103401696
net_return_1bp_annualised_return,0.004436129515028615
net_return_1bp_annualised_volatility,0.15728474465580836
net_return_1bp_sharpe,0.02960095228059026
net_return_1bp_hit_rate,0.5199583333333333
net_return_1bp_max_drawdown,-0.465905626542545
net_return_5bp_mean_period_return,-0.00047319713340861994
net_return_5bp_annualised_return,-0.005962283880948613
net_return_5bp_annualised_volatility,0.1572700544927954
net_return_5bp_sharpe,-0.036922983074792644
net_return_5bp_hit_rate,0.5094871031746031
net_return_5bp_max_drawdown,-0.5028437912229956
net_return_10bp_mean_period_return,-0.0015047857639619168
net_return_10bp_annualised_return,-0.018960300625920152
net_return_10bp_annualised_volatility,0.15725259640770375
net_return_10bp_sharpe,-0.120093512768045
net_return_10bp_hit_rate,0.4958948412698413
net_return_10bp_max_drawdown,-0.5560667649198912
net_return_20bp_mean_period_return,-0.0035679630250685093
net_return_20bp_annualised_return,-0.04495633411586322
net_return_20bp_annualised_volatility,0.15722069668490915
net_return_20bp_sharpe,-0.2864804901383619
net_return_20bp_hit_rate,0.4716160714285714
net_return_20bp_max_drawdown,-0.6799084878522244
gross_return_sharpe_sd_across_offsets,0.08618189217605678
gross_return_sharpe_min_offset,-0.10902074506636909
gross_return_sharpe_max_offset,0.18133049598394008
