date,n_eligible,n_factor,n_used,ic_pearson,ic_spearman,coverage,target_coverage,rank_autocorr_1d,rank_autocorr_20d
2006-01-04,1605,1605,1596,0.12995918773542078,0.19921136041266,1.0,0.994392523364486,0.977606066976501,0.5931879476070362
2006-01-05,1617,1617,1608,0.1145786864266519,0.1842842022659496,1.0,0.9944341372912802,0.9753136036576805,0.584486028491377
2006-01-06,1633,1633,1624,0.09179533586535069,0.1670564649831652,1.0,0.994488671157379,0.9808437132048614,0.5806546020661657
2006-01-09,1634,1634,1626,0.017351266056422298,0.07871403531207075,1.0,0.9951040391676866,0.976123080148391,0.577780385309548
2006-01-10,1633,1633,1625,-0.011050618129978523,0.05740336340081856,1.0,0.9951010410287814,0.9767846571309787,0.5992552536892718
2006-01-11,1637,1637,1629,-0.03236533520622635,0.00910790371184225,1.0,0.9951130116065975,0.9888057137023599,0.6035172734098054
2006-01-12,1648,1648,1640,-0.06527404276002809,-0.013839978629872645,1.0,0.9951456310679612,0.9820322035089173,0.6089606910804951
2006-01-13,1653,1653,1644,-0.09937225480083615,-0.054125011162321025,1.0,0.9945553539019963,0.9841176602484935,0.6066305050211503
2006-01-17,1662,1662,1652,-0.09614199143867193,-0.053109324192098836,1.0,0.9939831528279182,0.9787750150205364,0.6140821326430045
2006-01-18,1652,1652,1642,-0.08472110279081292,-0.03492455791902004,1.0,0.9939467312348669,0.9820077395446375,0.6281707935604584
2006-01-19,1645,1645,1633,-0.12196164024522767,-0.07292383179611844,1.0,0.9927051671732523,0.9764869857431463,0.6204859904709986
2006-01-20,1633,1633,1620,-0.09873643504092575,-0.05402520306130623,1.0,0.9920391916717698,0.9853245143713301,0.6245175896596863
2006-01-23,1631,1631,1618,-0.07374141232033364,-0.03761733510641634,1.0,0.9920294297976702,0.9824077928735454,0.6132433167948336
2006-01-24,1638,1638,1625,-0.13246810499628203,-0.10089909378063086,1.0,0.9920634920634921,0.9774609999243842,0.606270947212829
2006-01-25,1640,1640,1626,-0.10987339058967056,-0.09589658894461382,1.0,0.9914634146341463,0.9851923504540524,0.6166177842630145
2006-01-26,1646,1646,1633,-0.1484564896867343,-0.1380864574638822,1.0,0.9921020656136087,0.9667892219224944,0.6169497764910171
2006-01-27,1665,1665,1653,-0.11344586169968165,-0.11873405975126776,1.0,0.9927927927927928,0.9850570615421994,0.599500463968222
2006-01-30,1684,1684,1672,-0.15181184125392666,-0.1603145255214948,1.0,0.9928741092636579,0.993434917313502,0.5791698510543825
2006-01-31,1701,1701,1691,-0.11434954590215549,-0.10397715945707096,1.0,0.9941211052322163,0.9858608244011154,0.574698991027202
2006-02-01,1713,1713,1706,-0.08598010333064482,-0.08064038021606325,1.0,0.9959136018680678,0.9730299538921969,0.5796041880178165
2006-02-02,1735,1735,1728,-0.06382824857001848,-0.043883252461026624,1.0,0.9959654178674352,0.9785034283882956,0.5761766300330493
2006-02-03,1734,1734,1726,-0.04236503722195793,-0.06716991339039394,1.0,0.9953863898500577,0.9820780640876774,0.5772936657577583
2006-02-06,1744,1744,1734,-0.12408448857937933,-0.16230540622548284,1.0,0.9942660550458715,0.985801270387778,0.5606185387148622
2006-02-07,1747,1747,1737,-0.09980228056507745,-0.14450011602915286,1.0,0.9942759015455066,0.9799047557653249,0.5590582093191134
2006-02-08,1744,1744,1734,-0.10447899545435908,-0.15676246838872424,1.0,0.9942660550458715,0.9715352352039857,0.5643548321749379
2006-02-09,1741,1741,1731,-0.08644680663168934,-0.14229248183347498,1.0,0.9942561746122918,0.9813931203637325,0.5779295953286167
2006-02-10,1745,1745,1734,-0.04721084742096147,-0.09149569499620169,1.0,0.9936962750716333,0.9903610099909824,0.5850046678125069
2006-02-13,1746,1746,1736,-0.0017043895854027486,-0.019868165878066057,1.0,0.9942726231386025,0.9923741783393266,0.576884253619242
2006-02-14,1751,1751,1740,0.022864808794568005,0.007248812194654559,1.0,0.9937178754997145,0.99005917807565,0.5716582449868884
2006-02-15,1752,1752,1742,-0.0022557059634100343,-0.014005865745658172,1.0,0.9942922374429224,0.9835818443692083,0.5687124912033571
2006-02-16,1750,1750,1741,-0.025940016106162832,-0.04529818922033212,1.0,0.9948571428571429,0.9754811480515415,0.5798018055689673
2006-02-17,1747,1747,1738,0.0029351491653338523,-0.03489955352547086,1.0,0.994848311390956,0.9846381009093624,0.5892702062656582
2006-02-21,1764,1764,1755,-0.02842168881873984,-0.05552302611650197,1.0,0.9948979591836735,0.9864586807220208,0.5919296433490701
2006-02-22,1760,1760,1751,0.005395714425929343,-0.009972207103349342,1.0,0.9948863636363636,0.9755019921978161,0.5948726103456726
2006-02-23,1760,1760,1751,0.02916238915957691,0.021592731466838638,1.0,0.9948863636363636,0.9794613470316541,0.6010346447410975
2006-02-24,1761,1761,1750,0.04856641016113311,0.031755501634449505,1.0,0.9937535491198183,0.9618891054310456,0.6076907773440968
