decile,mean_forward_return_20d,sd_across_dates,observations
1,0.007870373976509323,0.03631622480705682,744582.0
2,0.009050472409680523,0.04532997749071314,744157.0
3,0.009227748915167963,0.05091855770461832,743709.0
4,0.009282754591013109,0.05505473523115964,743233.0
5,0.009364082137256558,0.059771285167037745,742775.0
6,0.009296221051031136,0.06377505376243174,742315.0
7,0.008807271121078814,0.06872465799842192,741831.0
8,0.008324412722573662,0.07444543445985162,741392.0
9,0.007730539590428824,0.08409938077698317,740938.0
10,0.004516676902123588,0.09745305873470339,740496.0
