,value
factor,rvol_20
hypothesised_sign,-1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1647.1668145519077
mean_complete_pairs_per_date,1639.7344720496894
mean_coverage,1.0
min_coverage,1.0
mean_target_coverage,0.9955023678043315
min_target_coverage,0.9879101899827288
mean_ic_pearson,-0.02009539097373654
sd_ic_pearson,0.16815378113107254
icir_pearson_daily,-0.11950603095908133
ic_pearson_nw_tstat,-2.2338203869376314
mean_ic_spearman,-0.028626337751875633
sd_ic_spearman,0.18806632025760428
icir_spearman_daily,-0.152214057852914
ic_spearman_nw_tstat,-2.846477785809864
share_ic_spearman_positive,0.43456078083407274
mean_rank_autocorr_1d,0.9825527039860429
mean_rank_autocorr_20d,0.6561728163753651
mean_ic_spearman_signed,0.028626337751875633
decile_spread_20d,-0.0033536970743857347
decile_spread_signed,0.0033536970743857347
rebalances,225.4
mean_turnover,1.2656177872019674
mean_names_without_target,5.578249754178958
mean_names_without_any_return,0.006431661750245822
gross_return_mean_period_return,0.003529401644909276
gross_return_annualised_return,0.04447046072585688
gross_return_annualised_volatility,0.27146287558973003
gross_return_sharpe,0.1659296143583559
gross_return_hit_rate,0.5412792527040314
gross_return_max_drawdown,-0.7211752217522251
net_return_1bp_mean_period_return,0.0032762780874688825
net_return_1bp_annualised_return,0.041281103902107916
net_return_1bp_annualised_volatility,0.2714639358997438
net_return_1bp_sharpe,0.15415587728945562
net_return_1bp_hit_rate,0.5399478859390364
net_return_1bp_max_drawdown,-0.7316026020755682
net_return_5bp_mean_period_return,0.002263783857707309
net_return_5bp_annualised_return,0.02852367660711209
net_return_5bp_annualised_volatility,0.2714685714916164
net_return_5bp_sharpe,0.10706158486042572
net_return_5bp_hit_rate,0.5324001966568338
net_return_5bp_max_drawdown,-0.7706440071967255
net_return_10bp_mean_period_return,0.000998166070505341
net_return_10bp_annualised_return,0.012576892488367297
net_return_10bp_annualised_volatility,0.27147525323178234
net_return_10bp_sharpe,0.04819557856796704
net_return_10bp_hit_rate,0.5239695181907571
net_return_10bp_max_drawdown,-0.8116260771089662
net_return_20bp_mean_period_return,-0.001533069503898594
net_return_20bp_annualised_return,-0.019316675749122283
net_return_20bp_annualised_volatility,0.27149157391126266
net_return_20bp_sharpe,-0.0695278077759782
net_return_20bp_hit_rate,0.5071091445427729
net_return_20bp_max_drawdown,-0.8731260113237294
gross_return_sharpe_sd_across_offsets,0.054062789582236724
gross_return_sharpe_min_offset,0.06525196082598027
gross_return_sharpe_max_offset,0.26637396645047234
