,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
factor,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
hypothesised_sign,1,1,-1,1,1,1
first_date,2006-01-04,2006-01-04,2006-01-04,2006-01-04,2006-01-04,2006-01-04
last_date,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30
dates,4508,4508,4508,4508,4508,4508
mean_names_per_date,1645.578083407276,1647.1668145519077,1647.1668145519077,1647.1548358473824,1631.078527062999,1643.4971162377994
mean_complete_pairs_per_date,1638.1705856255546,1639.7344720496894,1639.7344720496894,1639.7227151730258,1623.7777284826975,1636.1084738243123
mean_coverage,0.9990155191640583,1.0,1.0,0.9999928684545624,0.9902656951353462,0.9977226689982429
min_coverage,0.9957317073170732,1.0,1.0,0.9989065062875888,0.0,0.9939024390243902
mean_target_coverage,0.9955136843113012,0.9955023678043315,0.9955023678043315,0.9955024693152537,0.9955391745979127,0.9955194986982788
min_target_coverage,0.9879101899827288,0.9879101899827288,0.9879101899827288,0.9879101899827288,0.9878542510121457,0.9878892733564014
mean_ic_pearson,0.005322772235978125,0.005932009200891397,-0.02009539097373654,0.003810656425631237,0.0019818980970553457,0.016327501279011693
sd_ic_pearson,0.14375594003084965,0.10928481790756195,0.16815378113107254,0.04656137607426819,0.10395896475420317,0.19242725495513885
icir_pearson_daily,0.03702645076673612,0.054280267968318884,-0.11950603095908133,0.08184157657954548,0.01906423464047833,0.08485025306221915
ic_pearson_nw_tstat,0.6934590189944829,1.7005879975243976,-2.2338203869376314,2.6286904810442335,0.35920291903841534,1.5414248597370865
mean_ic_spearman,-0.0001650896557513604,0.007436327436962727,-0.028626337751875633,0.00433482093892347,-0.0036645525539593738,0.015309194960588005
sd_ic_spearman,0.14842551564922726,0.1166545038047628,0.18806632025760428,0.04937585420110335,0.10715191589302887,0.1963873048909351
icir_spearman_daily,-0.0011122727452166335,0.06374659523997833,-0.152214057852914,0.08779232296960655,-0.034199598984471204,0.07795409672274928
ic_spearman_nw_tstat,-0.02112570742732126,2.041187880355536,-2.846477785809864,2.725207533467457,-0.6480204614772028,1.42317406615417
share_ic_spearman_positive,0.5279503105590062,0.5148624667258208,0.43456078083407274,0.5368234250221828,0.4849157054125998,0.5703194321206744
mean_rank_autocorr_1d,0.9865927469611858,0.7579829457682735,0.9825527039860429,0.4797935504831415,0.9827896274134037,0.9833335386094525
mean_rank_autocorr_20d,0.7682796012401744,-0.0031161915334516985,0.6561728163753651,-0.0863481299199783,0.7086814415286261,0.8069195891860795
mean_ic_spearman_signed,-0.0001650896557513604,0.007436327436962727,0.028626337751875633,0.00433482093892347,-0.0036645525539593738,0.015309194960588005
decile_spread_20d,0.002546931369841552,0.0019772839923345087,-0.0033536970743857347,0.0017641936541283511,0.000633682812671333,0.000945315489020453
decile_spread_signed,0.002546931369841552,0.0019772839923345087,0.0033536970743857347,0.0017641936541283511,0.000633682812671333,0.000945315489020453
rebalances,225.4,225.4,225.4,225.4,224.45,225.4
mean_turnover,0.9609994770741158,1.754273620730953,1.2656177872019674,1.8510443710542437,1.0315886305532966,1.072798194002874
mean_names_without_target,2.8917295968534904,0.8442763028515241,5.578249754178958,3.317973451327434,2.958075396825397,3.597062930186824
mean_names_without_any_return,0.003329400196656834,0.00731858407079646,0.006431661750245822,0.008872173058013766,0.0037857142857142855,0.006209439528023599
gross_return_mean_period_return,0.002574203433318596,0.0020167379066238014,0.003529401644909276,0.0018421320242192328,0.0005583914971446764,0.0010648144456015557
gross_return_annualised_return,0.032434963259814306,0.0254108976234599,0.04447046072585688,0.023210863505162334,0.007035732864022924,0.0134166620145796
gross_return_annualised_volatility,0.22964046547807043,0.17198630413708957,0.27146287558973003,0.07473259945734353,0.15728851769001082,0.2962938033403525
gross_return_sharpe,0.14212703278345562,0.14343939655140342,0.1659296143583559,0.31239326035061776,0.046230094414084856,0.04675367997607576
gross_return_hit_rate,0.5800668633235005,0.5059714847590954,0.5412792527040314,0.5374955752212389,0.5224107142857142,0.5672359882005901
gross_return_max_drawdown,-0.6426832066110558,-0.465051866210604,-0.7211752217522251,-0.2532295760968432,-0.45740868165236054,-0.8360792651259784
net_return_1bp_mean_period_return,0.0023820035379037733,0.0016658831824776104,0.0032762780874688825,0.0014719231500083842,0.00035207377103401696,0.000850254806800981
net_return_1bp_annualised_return,0.030013244577587538,0.02099012809921789,0.041281103902107916,0.01854623169010564,0.004436129515028615,0.01071321056569236
net_return_1bp_annualised_volatility,0.22964516553999412,0.1719861540706282,0.2714639358997438,0.07473817189626214,0.15728474465580836,0.296285765586466
net_return_1bp_sharpe,0.13155286872094277,0.11758641573239484,0.15415587728945562,0.2496126264675455,0.02960095228059026,0.03761572477909758
net_return_1bp_hit_rate,0.5771819075712881,0.5028682399213373,0.5399478859390364,0.5301740412979351,0.5199583333333333,0.5652379547689281
net_return_1bp_max_drawdown,-0.6456899596582522,-0.47486362787161196,-0.7316026020755682,-0.2717574209800742,-0.465905626542545,-0.8409751083214797
