decile,mean_forward_return_20d,sd_across_dates,observations
1,0.006347370910630756,0.06540501514407669,744580.0
2,0.008087118581499847,0.06340528834236743,744152.0
3,0.008620207514044706,0.06197108349610499,743702.0
4,0.008568260696592616,0.06180239745332596,743228.0
5,0.008865733303449343,0.061159799629578446,742772.0
6,0.008932754090934584,0.060788504575326405,742310.0
7,0.008780300092931625,0.06074330075656747,741828.0
8,0.008529901213406828,0.06127644935719807,741387.0
9,0.008602895220878787,0.061880936252725324,740927.0
10,0.008111564564759107,0.06365899181449361,740488.0
