offset,rebalances,mean_turnover,mean_names_without_target,mean_names_without_any_return,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,1.8556046283248622,3.349557522123894,0.004424778761061947,0.0009905259722842745,0.012480627250781858,0.07153223038234724,0.1744755781285108,0.5221238938053098,-0.3454870150343039,0.000619405046619302,0.007804503587403205,0.07153596762346062,0.10909901475693011,0.5176991150442478,-0.3498275264029421,-0.0008650786560405879,-0.010899991066111408,0.07155150184943068,-0.15233769780330805,0.4778761061946903,-0.46206573607087476,-0.0027206832843654507,-0.03428060938300468,0.07157223574501197,-0.4789651884724556,0.45132743362831856,-0.5935237807505476,-0.006431892541015174,-0.0810418460167912,0.07161808565149143,-1.1315835278138788,0.336283185840708,-0.7907276397267882
1,226,1.8528185409691513,3.3584070796460175,0.004424778761061947,0.0011535182613907548,0.01453433009352351,0.0650096703778442,0.22357181645512422,0.5353982300884956,-0.2356506069907094,0.0007829545531969248,0.009865227370281253,0.0650144742280298,0.15173893948108003,0.5265486725663717,-0.26541955374164805,-0.0006993002795783962,-0.00881118352268779,0.06503431197229309,-0.13548515015337856,0.5,-0.40736799231960696,-0.0025521188205475474,-0.0321566971388991,0.06506050834474858,-0.49425831363788686,0.46017699115044247,-0.5649005046860347,-0.00625775590248585,-0.0788477243713217,0.06511755780658636,-1.2108519887296298,0.34513274336283184,-0.7858290614794532
2,226,1.8523246504092954,3.2920353982300883,0.008849557522123894,0.002634190950149789,0.03319080597188734,0.07099041298150592,0.46753927154268077,0.5619469026548672,-0.27035831620656015,0.0022637260200679306,0.028522947852855925,0.0709996215220396,0.4017338014119114,0.5619469026548672,-0.29275157949518615,0.0007818662997404937,0.00985151537673022,0.07103700592918298,0.13868145550153435,0.5309734513274337,-0.37573302856500224,-0.0010704583506688018,-0.013487775218426902,0.07108497285203492,-0.18974158218364987,0.4778761061946903,-0.519720854158265,-0.0047751076514873925,-0.06016635640874114,0.07118501743372219,-0.8452109527789312,0.3584070796460177,-0.7441816521659816
3,226,1.847696823223799,3.1283185840707963,0.01327433628318584,0.002854056458560202,0.03596111137785855,0.06874798378292767,0.5230860513874277,0.5619469026548672,-0.2381443544189652,0.002484517093915443,0.03130491538333458,0.06875642703901678,0.4553016602443606,0.5619469026548672,-0.24808888128771367,0.0010063596353364042,0.012680131405238692,0.06879076176813344,0.18432898661565084,0.5221238938053098,-0.28662103135506445,-0.0008413371878873947,-0.010600848567381173,0.06883494242892946,-0.15400388513909655,0.47345132743362833,-0.3924014241933389,-0.004536730834334992,-0.05716280851262089,0.068927500902735,-0.8293178740555893,0.38495575221238937,-0.7162079887752968
4,226,1.8484391447788997,3.15929203539823,0.01327433628318584,0.0015192159633680492,0.01914212113843742,0.07081364965738408,0.27031682777334975,0.5088495575221239,-0.2486228328280201,0.0011495281344122692,0.014484054493594592,0.07081763839482921,0.20452608731234043,0.5088495575221239,-0.2667274219862307,-0.00032922318141085017,-0.004148212085776712,0.07083415266098517,-0.05856231676307624,0.45132743362831856,-0.39136187914310006,-0.0021776623261897505,-0.027438545309990854,0.0708560532123233,-0.3872434896672842,0.4026548672566372,-0.5423573010724336,-0.0058745406157475494,-0.07401921175841912,0.07090404169554602,-1.0439350139763441,0.3274336283185841,-0.7756903522053054
5,226,1.8532048632834421,3.393805309734513,0.017699115044247787,0.00040945107089172827,0.005159083493235776,0.07172620015489731,0.07192746140314707,0.5221238938053098,-0.3200065317635169,3.8810098235039836e-05,0.000489007237761502,0.07173557302031965,0.006816802559352067,0.5,-0.3410019762679597,-0.0014437537923917142,-0.0181912977841356,0.07177365408164438,-0.2534536943520046,0.4823008849557522,-0.4483894846102444,-0.0032969586556751565,-0.04154167906150697,0.07182258023814855,-0.5783930196292519,0.42920353982300885,-0.6157254130737648,-0.00700336838224204,-0.08824244161624971,0.07192483713238788,-1.2268702319593294,0.3008849557522124,-0.8210000394105361
6,226,1.8513795623305334,3.2787610619469025,0.004424778761061947,0.002671565848766252,0.03366172969445477,0.06996789427944382,0.48110251196089526,0.5442477876106194,-0.17596263620304786,0.002301289936300146,0.02899625319738184,0.06997439538996737,0.41438376188583975,0.5398230088495575,-0.19193957644358461,0.0008201862864357186,0.010334347209090053,0.07000101866383168,0.14763138317627988,0.504424778761062,-0.25378255334040056,-0.001031193275894815,-0.012993035276274668,0.07003568879210643,-0.1855202040611484,0.47345132743362833,-0.39902851432150865,-0.004733952400555882,-0.05964780024700411,0.07010965700539493,-0.8507786629510146,0.37168141592920356,-0.7201281788110017
7,226,1.854499050368146,3.15929203539823,0.008849557522123894,0.00035828473813862,0.004514387700546612,0.06610161088686413,0.06829466997821262,0.5132743362831859,-0.28326031177206223,-1.2615071935009285e-05,-0.000158949906381117,0.06610780296168725,-0.002404404612769182,0.5,-0.31493637709707967,-0.0014962143122295255,-0.01885230033409202,0.06613316184153777,-0.2850657644233642,0.4690265486725664,-0.46435826150200754,-0.003350713362597672,-0.04221898836873066,0.06616618796254908,-0.6380749695392329,0.415929203539823,-0.6146436951311929,-0.007059711463333963,-0.08895236443800793,0.06623665677866913,-1.3429476782809813,0.3495575221238938,-0.8075763052144014
8,225,1.8484164568129013,3.3555555555555556,0.008888888888888889,0.001960121807197578,0.02469753477068948,0.07214560333941784,0.3423290350001912,0.5688888888888889,-0.1451572587413743,0.0015904385158349976,0.02003952529952097,0.07215387703887695,0.2777331741816667,0.5555555555555556,-0.1616182437470487,0.00011170535038467692,0.0014074874148469292,0.07218752175048519,0.019497655283303435,0.5066666666666667,-0.2633438297466979,-0.0017367111064282242,-0.021882559940995625,0.07223081349573673,-0.3029532533547777,0.47555555555555556,-0.4339238616885478,-0.005433544020054027,-0.06846265465268074,0.07232150704560238,-0.9466430865373364,0.38222222222222224,-0.721886330206294
9,225,1.8483478645531186,3.2577777777777777,0.008888888888888889,0.0012791554306761346,0.016117358426519297,0.07676925749731493,0.20994547755112802,0.5511111111111111,-0.18462197103420874,0.0009094858577655111,0.01145952180784544,0.07677283007146506,0.14926532989832714,0.5422222222222223,-0.1973315653153198,-0.0005691924338769841,-0.007171824666849999,0.07678766810048406,-0.093398130771011,0.5111111111111111,-0.38388635191667564,-0.002417540298430103,-0.030461007760219296,0.07680744743070934,-0.3965892472562538,0.4444444444444444,-0.5592366613198987,-0.006114236027536342,-0.0770393739469579,0.07685110797193118,-1.0024497496522171,0.3511111111111111,-0.7773900644447077
10,225,1.8495072942347666,3.408888888888889,0.013333333333333334,0.0006527359688461703,0.008224473207461745,0.08284521044411296,0.0992751803438286,0.5066666666666667,-0.41046175340574254,0.00028283450999921726,0.0035637148259901373,0.08285403308483925,0.04301196566184092,0.49777777777777776,-0.43239392213272676,-0.0011967713253885962,-0.01507931869989631,0.08288982044133328,-0.1819200309472134,0.4666666666666667,-0.5126478534353487,-0.0030462786196233634,-0.03838311060725438,0.0829356712099984,-0.4628058113868266,0.43555555555555553,-0.6535571820638257,-0.0067452932080928965,-0.08499069442197049,0.08303108678401158,-1.0236008911102952,0.3466666666666667,-0.8252669134713239
11,225,1.8504159276564593,3.16,0.0044444444444444444,0.0012925360452272251,0.016285954169863035,0.08198792672955121,0.1986384437258008,0.5333333333333333,-0.3348079541596509,0.0009224528596959328,0.011622906032168753,0.08198765097088627,0.1417641058687733,0.5155555555555555,-0.3608949891808604,-0.0005578798824292349,-0.007029286518608359,0.08198701075157529,-0.08573658746880584,0.4888888888888889,-0.4554875732861806,-0.002408295810085694,-0.030344527207079742,0.08198725182642229,-0.37011274961774626,0.4488888888888889,-0.6037812687538247,-0.006109127665398613,-0.07697500858402252,0.08199120504477601,-0.9388203105685041,0.37777777777777777,-0.7995941868638632
12,225,1.8511958542245792,3.2666666666666666,0.0044444444444444444,0.0010121288260172842,0.01275282320781778,0.07501677681491631,0.16999961540978945,0.47555555555555556,-0.21132205888624334,0.0006418896551723688,0.008087809655171847,0.07501901821797495,0.1078101239831204,0.4711111111111111,-0.23890098753934785,-0.0008390670282072948,-0.010572244555411914,0.07502857097237936,-0.14090958175524795,0.4488888888888889,-0.3961668932668342,-0.0026902628824318742,-0.03389731231864161,0.07504183255450354,-0.4517122139044472,0.4177777777777778,-0.5729515545268944,-0.006392654590881033,-0.08054744784510101,0.07507275479604336,-1.0729251652471157,0.3377777777777778,-0.7875039561798037
13,225,1.8502136903155981,3.466666666666667,0.017777777777777778,0.002890935601966585,0.03642578858477897,0.07731047436528314,0.47116239919407676,0.5244444444444445,-0.15315874379272554,0.0025208928639034655,0.031763250085183665,0.07731616674839871,0.4108228772974123,0.5244444444444445,-0.1557883323418625,0.0010407219116509866,0.013113096086802431,0.07733947869748457,0.16955242403552595,0.49777777777777776,-0.24693504297286184,-0.0008094917786646115,-0.010199596411174105,0.0773698381433781,-0.1318291036394919,0.4577777777777778,-0.43333664641805536,-0.004509919159295809,-0.05682498140712719,0.07743461592957679,-0.7338446859322824,0.38222222222222224,-0.7130986954089508
14,225,1.850362717404881,3.3022222222222224,0.008888888888888889,0.003419196956927528,0.04308188165728685,0.07727270475443976,0.5575303956836266,0.5555555555555556,-0.17369710952486472,0.003049124413446552,0.038418967609426556,0.07728103277726103,0.49713320628306684,0.5511111111111111,-0.20370103553704166,0.001568834239522647,0.01976731141798535,0.07731485675068792,0.2556728712791604,0.5244444444444445,-0.31330561391364653,-0.0002815284778822336,-0.003547258821316143,0.07735828718571436,-0.045854929709085016,0.47555555555555556,-0.4476736698808701,-0.003982253912691995,-0.050176399299919135,0.07744897470599618,-0.6478639580497174,0.39555555555555555,-0.7068930974894765
15,225,1.8482997124699203,3.44,0.0,0.0025904210462056776,0.03263930518219154,0.0826948460467411,0.39469576089110836,0.5777777777777777,-0.24159243126823293,0.0022207611037116937,0.02798158990676734,0.08270798915732845,0.3383178601228029,0.5733333333333334,-0.2699542825126452,0.000742121333735758,0.009350728805070551,0.08276100845351535,0.11298471320975514,0.52,-0.4111035364487827,-0.0011061783787341623,-0.013937847572050445,0.082828286380506,-0.1682740061531779,0.47555555555555556,-0.5690579810110818,-0.004802777803674003,-0.06051500032629243,0.08296617789513153,-0.7293936138987002,0.3466666666666667,-0.7756472973052
16,225,1.8541521886455132,3.3333333333333335,0.008888888888888889,1.789691846874161e-05,0.00022550117270614428,0.08355890787141677,0.0026987089521700426,0.5111111111111111,-0.3984585477637538,-0.0003529335192603604,-0.004446962342680541,0.08356976158906458,-0.05321257663205351,0.5066666666666667,-0.43449529833883704,-0.001836255270176772,-0.023136816404227326,0.08361370965814863,-0.27671079896851003,0.47555555555555556,-0.5662455978583876,-0.003690407458822285,-0.04649913398116079,0.0836698428580987,-0.5557454441503111,0.4222222222222222,-0.6904243354102853,-0.007398711836113312,-0.09322376913502772,0.08378609273028492,-1.11264013032716,0.35555555555555557,-0.8465627835278678
17,225,1.8504472943342165,3.4044444444444446,0.0044444444444444444,0.0029700168754449702,0.037422212630606626,0.07816526582705394,0.47875756878260817,0.5466666666666666,-0.2227644782138486,0.002599927416578127,0.0327590854488844,0.0781645308236794,0.4191042292927097,0.5288888888888889,-0.22692771501152031,0.0011195695811107534,0.014106576721995492,0.0781621506414893,0.1804783594901184,0.47555555555555556,-0.2850272210745054,-0.0007308777132234633,-0.009209059186615636,0.07816043512106932,-0.11782251688275462,0.4533333333333333,-0.4588547062738221,-0.0044317723018918965,-0.055840331003837895,0.07816120336911678,-0.7144251699929898,0.38222222222222224,-0.7074016284103489
18,225,1.8507113844178689,3.4044444444444446,0.013333333333333334,0.00216420017219395,0.02726892216964377,0.08021361535884484,0.3399537852477177,0.5422222222222223,-0.2175441478100495,0.0017940578953103768,0.022605129480910747,0.08020818561745026,0.28183070477027133,0.5377777777777778,-0.22433568635005097,0.00031348878777608157,0.003949958725978628,0.0801869876577995,0.049259347948512576,0.5111111111111111,-0.3354670815341476,-0.0015372225966417876,-0.019369004717686523,0.08016166323893802,-0.24162428691073062,0.48,-0.5105471316667247,-0.005238645365477526,-0.06600693160501682,0.0801149291277902,-0.823903014377384,0.4088888888888889,-0.7485712940629929
19,225,1.8528497723269197,3.44,0.008888888888888889,0.004002485571663137,0.05043131820295552,0.07178174759456342,0.7025646476009603,0.5866666666666667,-0.25351246211898393,0.0036319156171977524,0.04576213677669168,0.07178646164866759,0.6374758655839261,0.5822222222222222,-0.2581134688718778,0.0021496357993362166,0.02708541107163633,0.0718058729214585,0.37720328393281205,0.5555555555555556,-0.2762530277243723,0.00029678602700929747,0.003739503940317148,0.07183138503591684,0.05205947147541896,0.5111111111111111,-0.2983430472117744,-0.0034089135176445426,-0.04295231032232123,0.07188656364131273,-0.5975012317550374,0.4266666666666667,-0.6107645465077745
