,value
factor,vs_20
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1647.1548358473824
mean_complete_pairs_per_date,1639.7227151730258
mean_coverage,0.9999928684545624
min_coverage,0.9989065062875888
mean_target_coverage,0.9955024693152537
min_target_coverage,0.9879101899827288
mean_ic_pearson,0.003810656425631237
sd_ic_pearson,0.04656137607426819
icir_pearson_daily,0.08184157657954548
ic_pearson_nw_tstat,2.6286904810442335
mean_ic_spearman,0.00433482093892347
sd_ic_spearman,0.04937585420110335
icir_spearman_daily,0.08779232296960655
ic_spearman_nw_tstat,2.725207533467457
share_ic_spearman_positive,0.5368234250221828
mean_rank_autocorr_1d,0.4797935504831415
mean_rank_autocorr_20d,-0.0863481299199783
mean_ic_spearman_signed,0.00433482093892347
decile_spread_20d,0.0017641936541283511
decile_spread_signed,0.0017641936541283511
rebalances,225.4
mean_turnover,1.8510443710542437
mean_names_without_target,3.317973451327434
mean_names_without_any_return,0.008872173058013766
gross_return_mean_period_return,0.0018421320242192328
gross_return_annualised_return,0.023210863505162334
gross_return_annualised_volatility,0.07473259945734353
gross_return_sharpe,0.31239326035061776
gross_return_hit_rate,0.5374955752212389
gross_return_max_drawdown,-0.2532295760968432
net_return_1bp_mean_period_return,0.0014719231500083842
net_return_1bp_annualised_return,0.01854623169010564
net_return_1bp_annualised_volatility,0.07473817189626214
net_return_1bp_sharpe,0.2496126264675455
net_return_1bp_hit_rate,0.5301740412979351
net_return_1bp_max_drawdown,-0.2717574209800742
net_return_5bp_mean_period_return,-8.912346835010933e-06
net_return_5bp_annualised_return,-0.00011229557012113808
net_return_5bp_annualised_volatility,0.074761011278194
net_return_5bp_sharpe,-0.0014144636466633443
net_return_5bp_hit_rate,0.4960137659783677
net_return_5bp_max_drawdown,-0.3767774795042372
net_return_10bp_mean_period_return,-0.0018599567178892548
net_return_10bp_annualised_return,-0.02343545464540461
net_return_10bp_annualised_volatility,0.0747907962028422
net_return_10bp_sharpe,-0.31497323719100956
net_return_10bp_hit_rate,0.4540924287118978
net_return_10bp_max_drawdown,-0.5236994766806345
net_return_20bp_mean_period_return,-0.005562045459997741
net_return_20bp_annualised_return,-0.07008177279597154
net_return_20bp_annualised_volatility,0.07485447867240533
net_return_20bp_sharpe,-0.9412753468997218
net_return_20bp_hit_rate,0.3633834808259587
net_return_20bp_max_drawdown,-0.7590961005833684
gross_return_sharpe_sd_across_offsets,0.19217524960546115
gross_return_sharpe_min_offset,0.0026987089521700426
gross_return_sharpe_max_offset,0.7025646476009603
