,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252,composite,mom_120_20__decile,rev_5__decile,rvol_20__decile,vs_20__decile,rmom_120_20__decile,dd_252__decile,composite__decile
signal,signal_mom_120_20,signal_rev_5,signal_rvol_20,signal_vs_20,signal_rmom_120_20,signal_dd_252,signal_composite,decile_mom_120_20,decile_rev_5,decile_rvol_20,decile_vs_20,decile_rmom_120_20,decile_dd_252,decile_composite
days,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
first_date,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
mean_positions,1732.6639307897071,1732.6648181011535,1732.6625998225377,1732.663487133984,1732.662377994676,1732.6648181011535,1732.6648181011535,599.9223602484471,1303.9432120674358,656.2675244010647,1566.5778615794143,631.7823868677906,1247.92834960071,1732.079636202307
mean_gross_exposure,0.9449010613981152,0.4301854652737341,0.9257844887680803,0.3867878160490768,0.9310082152372616,0.9558273342918147,0.899791301968981,0.9884139761248664,0.6463371611902312,0.9792866290528954,0.6071926779269138,0.9861021393617351,0.9828124707524253,0.9868685593307217
mean_net_exposure,-0.0018561173744105555,1.4483694801471555e-05,-0.0026463524222258947,0.00039321337081180217,-0.0012817648228548922,-0.0023578102483906302,-0.002593928633595272,-0.003672679642969774,0.00020009011097915075,-0.006474609962942824,0.0009729474562942588,-0.0029487982765203573,-0.004645667306776121,-0.004728997785662178
max_abs_net_exposure,0.007888830646039428,0.004843554991887566,0.01073315152349142,0.0047661542819956,0.006956408519704151,0.009813686394574025,0.01065870012281574,0.017248994784174552,0.006461247086247087,0.027577037034692404,0.011099470196076835,0.015801076601859802,0.022518163734061198,0.020238514796553225
largest_position,0.0016384793638408474,0.0014730176513511283,0.0016384534954450765,0.0015655741117049052,0.0016384793638408474,0.0016333803045524883,0.00290176554083015,0.004086781265455251,0.004008349296443838,0.004086781265455251,0.003875226102574166,0.004086781265455251,0.004086781265455251,0.004089856146101529
cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
cap_binds,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mean_daily_turnover,0.021135552177100135,0.034341053649600446,0.024244803136315562,0.03598531630675255,0.02233587441931464,0.02019214763565439,0.02576488870897726,0.03030777691866161,0.046907513779814544,0.0361037770177383,0.04923073650742286,0.03158923446206104,0.03236983588698226,0.03916156365769188
annual_turnover_multiple,5.326159148629234,8.653945519699313,6.109690390351521,9.068299709301643,5.628640353667289,5.088421204184907,6.492751954662269,7.637559783502725,11.820693472513264,9.098151808470051,12.40614559987056,7.960487084439383,8.157198643519529,9.868714041738352
positions_without_return_per_day,0.2036379769299024,0.2036379769299024,0.2036379769299024,0.2036379769299024,0.2036379769299024,0.2036379769299024,0.2036379769299024,0.08118899733806566,0.1559449866903283,0.10359361135758652,0.17945874001774623,0.08806566104702751,0.16259982253771074,0.20319432120674358
gross_return_annualised_return,-0.001214208886921654,0.010896963701838437,0.005348142443096618,0.005397111517675926,-0.0029687934219721586,0.0005874175692056122,0.008745824474309794,0.01208921963001724,0.012850804136755678,0.010443315838616804,0.011200958019187456,-0.00013983817054776624,0.0011228652126212004,0.015412961680691582
