fold,train_start,train_end,train_days,purged_days,validation_start,validation_end,validation_days
1,2006-02-01,2013-12-02,1973,20,2014-01-02,2014-12-31,252
2,2006-02-01,2014-12-02,2225,20,2015-01-02,2015-12-31,252
3,2006-02-01,2015-12-02,2477,20,2016-01-04,2016-12-30,252
4,2006-02-01,2016-12-01,2729,20,2017-01-03,2017-12-29,251
5,2006-02-01,2017-11-30,2980,20,2018-01-02,2018-12-31,251
6,2006-02-01,2018-11-29,3231,20,2019-01-02,2019-12-31,252
7,2006-02-01,2019-12-02,3483,20,2020-01-02,2020-12-31,253
8,2006-02-01,2020-12-02,3736,20,2021-01-04,2021-12-31,252
9,2006-02-01,2021-12-02,3988,20,2022-01-03,2022-12-30,251
10,2006-02-01,2022-12-01,4239,20,2023-01-03,2023-11-30,230
