fold,model,train_rows,predict_rows,validation_rows,train_start,train_end,validation_start,validation_end,chosen_alpha,fit_seconds
1,ols,3013245,410265,410265,2006-02-01,2013-12-02,2014-01-02,2014-12-31,,0.48794126510620117
1,ridge,3013245,410265,410265,2006-02-01,2013-12-02,2014-01-02,2014-12-31,10000.0,1.8671088218688965
1,gbm,3013245,410265,410265,2006-02-01,2013-12-02,2014-01-02,2014-12-31,,9.629550695419312
2,ols,3421302,418994,418994,2006-02-01,2014-12-02,2015-01-02,2015-12-31,,0.505133867263794
2,ridge,3421302,418994,418994,2006-02-01,2014-12-02,2015-01-02,2015-12-31,10000.0,2.084350109100342
2,gbm,3421302,418994,418994,2006-02-01,2014-12-02,2015-01-02,2015-12-31,,10.548119068145752
3,ols,3838002,405866,405866,2006-02-01,2015-12-02,2016-01-04,2016-12-30,,0.5520327091217041
3,ridge,3838002,405866,405866,2006-02-01,2015-12-02,2016-01-04,2016-12-30,10000.0,2.3358685970306396
3,gbm,3838002,405866,405866,2006-02-01,2015-12-02,2016-01-04,2016-12-30,,11.672135353088379
4,ols,4240068,415588,415588,2006-02-01,2016-12-01,2017-01-03,2017-12-29,,0.6343348026275635
4,ridge,4240068,415588,415588,2006-02-01,2016-12-01,2017-01-03,2017-12-29,10000.0,2.6810555458068848
4,gbm,4240068,415588,415588,2006-02-01,2016-12-01,2017-01-03,2017-12-29,,12.679262638092041
5,ols,4653710,431290,431290,2006-02-01,2017-11-30,2018-01-02,2018-12-31,,0.67938232421875
5,ridge,4653710,431290,431290,2006-02-01,2017-11-30,2018-01-02,2018-12-31,100.0,2.852654457092285
5,gbm,4653710,431290,431290,2006-02-01,2017-11-30,2018-01-02,2018-12-31,,13.80720067024231
6,ols,5083881,416451,416451,2006-02-01,2018-11-29,2019-01-02,2019-12-31,,0.8049447536468506
6,ridge,5083881,416451,416451,2006-02-01,2018-11-29,2019-01-02,2019-12-31,10000.0,3.0952212810516357
6,gbm,5083881,416451,416451,2006-02-01,2018-11-29,2019-01-02,2019-12-31,,15.403862237930298
7,ols,5498369,430384,430384,2006-02-01,2019-12-02,2020-01-02,2020-12-31,,0.8672151565551758
7,ridge,5498369,430384,430384,2006-02-01,2019-12-02,2020-01-02,2020-12-31,10000.0,3.3686935901641846
7,gbm,5498369,430384,430384,2006-02-01,2019-12-02,2020-01-02,2020-12-31,,16.131252765655518
8,ols,5924071,486382,486382,2006-02-01,2020-12-02,2021-01-04,2021-12-31,,0.8592994213104248
8,ridge,5924071,486382,486382,2006-02-01,2020-12-02,2021-01-04,2021-12-31,10000.0,3.746145009994507
8,gbm,5924071,486382,486382,2006-02-01,2020-12-02,2021-01-04,2021-12-31,,16.989381313323975
9,ols,6406951,463511,463511,2006-02-01,2021-12-02,2022-01-03,2022-12-30,,0.9352402687072754
9,ridge,6406951,463511,463511,2006-02-01,2021-12-02,2022-01-03,2022-12-30,10000.0,3.8051798343658447
9,gbm,6406951,463511,463511,2006-02-01,2021-12-02,2022-01-03,2022-12-30,,18.207921981811523
10,ols,6870617,414494,414494,2006-02-01,2022-12-01,2023-01-03,2023-11-30,,0.9907259941101074
10,ridge,6870617,414494,414494,2006-02-01,2022-12-01,2023-01-03,2023-11-30,10000.0,4.049852609634399
10,gbm,6870617,414494,414494,2006-02-01,2022-12-01,2023-01-03,2023-11-30,,19.789973497390747
