,ols,ols__decile,ridge,ridge__decile,gbm,gbm__decile,composite,composite__decile
days,2515,2515,2515,2515,2515,2515,2515,2515
first_date,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
mean_positions,1810.603578528827,1810.6071570576541,1810.603578528827,1810.6071570576541,1810.6055666003977,1810.3825049701788,1810.6071570576541,1809.4568588469185
mean_gross_exposure,0.8275946686439695,0.9786245881684139,0.8277678009737514,0.9785969984930626,0.7250232830479015,0.8548102494924887,0.8996456543609423,0.9844337275742103
mean_net_exposure,-0.0016428551897396618,-0.003015640641596763,-0.001644714722696743,-0.003020600363037102,0.001365104914793167,0.002114482616571993,-0.0023617028473753767,-0.0041881560117073705
max_abs_net_exposure,0.006074824770509216,0.013113505126022863,0.00607973344146817,0.013113505126022905,0.005569847722086219,0.011775705854458881,0.010658700122815728,0.020238514796553288
largest_position,0.0012821306119461038,0.0032198847437079686,0.0012821306119461038,0.0032198847437079686,0.0012884690979836917,0.003219678493501718,0.002173775040312541,0.0032221685579615334
cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
cap_binds,False,False,False,False,False,False,False,False
mean_daily_turnover,0.02597079518588414,0.03996030760579027,0.025970582817814745,0.03996148400432834,0.028278163858133688,0.04128200674024061,0.025452136113812553,0.03897030659700389
annual_turnover_multiple,6.544640386842803,10.069997516659148,6.544586870089316,10.070293969090741,7.126097292249689,10.403065698540633,6.413938300680764,9.82051726244498
positions_without_return_per_day,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20715705765407555
breakeven_bp,0.6881955276401143,-0.3407816856380027,0.7104339501302028,-0.34048055491822465,4.287070275682353,8.742663067081397,18.10362615400804,16.71088541267896
gross_return_annualised_return,0.0009007984488476169,-0.0006863341456195212,0.0009298993404175626,-0.0006857478557571335,0.00611001597664483,0.018190099653410507,0.023223108234079633,0.03282190773319074
gross_return_annualised_volatility,0.07255404537856153,0.11023002581409364,0.07258943899258685,0.11025680085048482,0.03427169860617977,0.061838503064868926,0.08279035009910539,0.11456289797528077
gross_return_sharpe,0.012415550975105067,-0.006226381065872607,0.012810394367595651,-0.006219551542104427,0.1782816792028829,0.2941549156571432,0.2805050130393225,0.2864968354787318
gross_return_hit_rate,0.48986083499005967,0.49105367793240556,0.48986083499005967,0.49105367793240556,0.4906560636182903,0.512127236580517,0.531610337972167,0.5292246520874752
gross_return_max_drawdown,-0.2770555349967123,-0.37401587653676716,-0.2771072140433861,-0.37387293397761123,-0.13092039869531724,-0.1451754959356869,-0.21743888279406676,-0.31370824865894076
gross_return_market_beta,-0.22214422335416736,-0.32964380914085506,-0.22226006707143203,-0.3298728503360218,-0.07341612435323441,-0.13582941474825458,-0.18857610513508208,-0.2704739233388408
net_return_1bp_annualised_return,-0.00040812962852094923,-0.0027003336489513606,-0.00037901803360030034,-0.0026998066495752798,0.00468479651819489,0.016109486513702382,0.021940320573943486,0.030857804280701742
net_return_1bp_annualised_volatility,0.07255423627030819,0.1102302443883601,0.0725896301499122,0.1102570243118511,0.03427217642427562,0.061839134382793426,0.08279071333886927,0.11456318324607963
net_return_1bp_sharpe,-0.0056251660757673854,-0.024497211849024134,-0.0052213798695151335,-0.024486482076091075,0.13669387260963567,0.2605063391408791,0.2650094399373023,0.26935184067310475
net_return_1bp_hit_rate,0.48986083499005967,0.4906560636182903,0.48986083499005967,0.49025844930417495,0.48986083499005967,0.510934393638171,0.530417495029821,0.5288270377733598
net_return_1bp_max_drawdown,-0.2779782914866875,-0.38010068122378793,-0.2780298087822507,-0.37995945811521814,-0.13213166458432735,-0.146926024858688,-0.21901767031476504,-0.3158119443370062
net_return_1bp_market_beta,-0.2221446560465301,-0.3296450155044183,-0.2222604976163038,-0.32987409786780975,-0.0734170078652111,-0.1358301120358926,-0.18857719157304118,-0.2704748277362914
net_return_5bp_annualised_return,-0.005643841937995189,-0.010756331662278679,-0.005614687529671742,-0.010756041824847873,-0.0010160813156048596,0.007787033954869873,0.01680916993339889,0.023001390470745765
net_return_5bp_annualised_volatility,0.07255502389223663,0.11023115285830473,0.07259041884572048,0.11025795232147244,0.034274109453446805,0.06184168299022939,0.08279218259443626,0.11456434219307668
net_return_5bp_sharpe,-0.07778705918941994,-0.09757978015620748,-0.0773475014878324,-0.09755343354724323,-0.029645739358595546,0.12591885567053826,0.2030284672616964,0.2007726839820827
net_return_5bp_hit_rate,0.4882703777335984,0.4886679920477137,0.4882703777335984,0.48906560636182905,0.4870775347912525,0.504572564612326,0.5284294234592445,0.5256461232604374
net_return_5bp_max_drawdown,-0.28165760877774115,-0.4038546171675552,-0.28170848233778867,-0.40372007502574503,-0.13695994534358846,-0.15389252596372194,-0.2253011244770774,-0.32416261864996265
net_return_5bp_market_beta,-0.222146386815981,-0.32964984095867167,-0.2222622197957909,-0.3298790879949613,-0.0734205419131179,-0.1358329011864446,-0.1885815373248773,-0.2704784453260943
net_return_10bp_annualised_return,-0.012188482324837996,-0.020826329178937824,-0.012159274399761064,-0.02082633579393861,-0.00814217860785455,-0.0026160317436707604,0.010395231632718108,0.013180873208300777
net_return_10bp_annualised_volatility,0.07255606254177872,0.11023236533310386,0.072591458863632,0.11025918920120788,0.03427657468575092,0.061844921249504636,0.08279405582941236,0.11456583106935635
net_return_10bp_sharpe,-0.1679870971198266,-0.18893116478090738,-0.16750282457614046,-0.18888526158063262,-0.23754353177067392,-0.04229986376919696,0.12555528930888818,0.1150506489174882
net_return_10bp_hit_rate,0.48389662027833,0.4882703777335984,0.48389662027833,0.48747514910536777,0.48469184890656064,0.4970178926441352,0.5268389662027833,0.5232604373757456
net_return_10bp_max_drawdown,-0.2987705834429112,-0.4322721367997875,-0.2988089682613143,-0.4321455193523991,-0.1489783106158089,-0.18541831908728978,-0.23308460175727175,-0.3344581765738709
net_return_10bp_market_beta,-0.22214855027779443,-0.3296558727764884,-0.22226437252014994,-0.3298853256539009,-0.07342495947300139,-0.13583638762463457,-0.1885869695146725,-0.27048296731334787
net_return_20bp_annualised_return,-0.025277763098523587,-0.04096632421225612,-0.025248448139939702,-0.040966923732120096,-0.02239437319235393,-0.023422163140752027,-0.002432644968643408,-0.006460161316589184
net_return_20bp_annualised_volatility,0.07255832023798404,0.11023504656299253,0.07259371938329527,0.11026191917522697,0.034281668258281044,0.061851572732985464,0.08279792450718068,0.11456894279035101
net_return_20bp_sharpe,-0.3483785596967384,-0.37162704139510117,-0.347804856321354,-0.3715419071113386,-0.653246307140971,-0.3786833884057565,-0.02938050661441926,-0.05638667128499732
net_return_20bp_hit_rate,0.48031809145129223,0.48389662027833,0.48071570576540756,0.4842942345924453,0.4747514910536779,0.4827037773359841,0.521272365805169,0.5172962226640159
net_return_20bp_max_drawdown,-0.341355074682512,-0.4851108580992325,-0.34138959581335604,-0.4849987664176577,-0.22142026204960075,-0.2840152237369138,-0.24841840248400016,-0.35774597517024664
net_return_20bp_market_beta,-0.22215287720142124,-0.3296679364121217,-0.22226867796886762,-0.3298978009717798,-0.07343379459276834,-0.13584336050101473,-0.18859783389426274,-0.2704920112878549
gross_return_naive_tstat,0.0392224503267981,-0.019670002770041214,0.04046981545621358,-0.019648427355684634,0.5632165918962814,0.9292762432275502,0.8861543045824897,0.9050833040661179
gross_return_hac_tstat,0.040240100976074854,-0.02001107211412506,0.04152454421761731,-0.01999561892061646,0.5699971504659626,0.9889094383978685,0.9582182055146301,0.9597276029309051
exposure_mom_120_20,0.00643439682656,0.0015206004512869425,0.006521244202890646,0.0016174450423155576,-0.05125777038805996,-0.00030541108570879505,0.23143328773547048,0.3029229217023993
exposure_rev_5,0.01204125800934508,0.019526661772630814,0.012033572198287008,0.019532347163132183,0.005966378274711014,0.005049962250850444,0.0045497584382562335,0.008349563746191578
exposure_rvol_20,-0.200445671342571,-0.2840023732683534,-0.20056203375981946,-0.28412653420721473,-0.08654477596623285,-0.11887722822776307,-0.14821739443598395,-0.20820183259313865
exposure_vs_20,0.0327030711315751,0.04793558341827036,0.032738675152565025,0.04797847210618291,0.018640904281012755,0.027541226310350903,0.026086041123488158,0.03673768057735174
exposure_rmom_120_20,0.006053765285071369,0.007342666502735249,0.005892728135926752,0.007027484855480561,-0.03484064874639522,-0.0037428897842519417,0.18730461422119452,0.25177663128998595
exposure_dd_252,0.12028982933724756,0.1770114079146436,0.12030903773928601,0.1769774736461261,0.016031003521971194,0.0660957948385074,0.20681881670964528,0.2692890840303314
