book,dropped,weighting,gross_sharpe,hac_t,net_sharpe_1bp,net_sharpe_5bp,net_sharpe_10bp,net_sharpe_20bp,breakeven_bp,annual_turnover,beta,max_drawdown,mean_rank_ic,rank_ic_hac_t
drop_mom_120_20__neutral,mom_120_20,rank,0.38440353416734846,1.1939752137814454,0.3449711824419304,0.1872451315972805,-0.009904442481587478,-0.40417418362005797,9.748803301202491,7.10106196589053,-0.04794698246240149,-0.11706279540516562,0.012437927903894114,2.091714613029337
drop_mom_120_20__neutral__decile,mom_120_20,decile,0.45851370399329827,1.376928198300502,0.41866339632798316,0.2592652523300724,0.06002499228484267,-0.33842778733830303,11.506390250499404,10.622998691377003,-0.06608715642366947,-0.1745164152527927,0.012437927903894114,2.091714613029337
drop_rev_5__neutral,rev_5,rank,0.224595775023329,0.7458425899356905,0.1985706670265632,0.09447359645322985,-0.03563988480606872,-0.29583879764988547,8.630396429046277,5.926400661286667,-0.05650157348285456,-0.1318930334940951,0.008049976323040019,1.1192827329451744
drop_rev_5__neutral__decile,rev_5,decile,0.33472850510865787,1.0851471605496836,0.3065273836936142,0.19372797908996328,0.052740376825659636,-0.22919458313814176,11.870511047514906,9.15854959855843,-0.08178327833519261,-0.1758859608813078,0.008049976323040019,1.1192827329451744
drop_rvol_20__neutral,rvol_20,rank,0.29767314854707216,1.0245211812031125,0.2667471385750944,0.14304596877586484,-0.01157365964640315,-0.3207877556577506,9.625728791313614,6.402327739273084,-0.023365458045323965,-0.10533283690827011,0.005397854129555284,0.8507779333088057
drop_rvol_20__neutral__decile,rvol_20,decile,0.43406989350710007,1.4567491607054337,0.39956222143943826,0.26153569712629154,0.08901226064285343,-0.2560000001326468,12.579842539085195,9.948406057831036,-0.025321635084577153,-0.14078674462236396,0.005397854129555284,0.8507779333088057
drop_vs_20__neutral,vs_20,rank,0.29798323053348924,0.989672249758655,0.27131952452009067,0.164666857792743,0.031356235661164626,-0.2352453754380652,11.176092910510661,5.892523179866942,-0.0449093152392479,-0.12082731578361527,0.009559105795901742,1.360743511383453
drop_vs_20__neutral__decile,vs_20,decile,0.4495429763853652,1.4367462709484349,0.4202468296123054,0.3030658409667255,0.15659795499539517,-0.13630838036267406,15.346177555676174,9.0703884253029,-0.06135244966627352,-0.1697621462637393,0.009559105795901742,1.360743511383453
drop_rmom_120_20__neutral,rmom_120_20,rank,0.42205269283346675,1.3553418649133195,0.3882979716133693,0.25328315153337355,0.08452410270486442,-0.2529603152069575,12.504405534555412,6.863756926529423,-0.04439653423221153,-0.10721616100259235,0.01433629379861935,2.1632565938695016
drop_rmom_120_20__neutral__decile,rmom_120_20,decile,0.4934706900310783,1.529770842070043,0.45773883469342563,0.31481576030618447,0.13617204614990652,-0.22107941524873248,13.81149538561947,10.441692894335217,-0.05704613736759726,-0.17051070894550802,0.01433629379861935,2.1632565938695016
drop_dd_252__neutral,dd_252,rank,0.44645438758869016,1.4620094957965704,0.40142548563655817,0.2213105767352319,-0.003830822318543817,-0.45410195515229723,9.914923496379835,7.284806251851385,-0.022215050329219683,-0.08892063433884079,0.008507119375823524,1.6352966917931908
drop_dd_252__neutral__decile,dd_252,decile,0.5817189379601932,1.8745595336878387,0.534978326802682,0.348017020439198,0.11431866226441921,-0.35306261867893074,12.44589476496642,10.894028742276568,-0.02871044856241592,-0.11770411445998086,0.008507119375823524,1.6352966917931908
