weighting,cost_bp,sharpe,mean_annual_return
rank,0,0.28050501303932274,0.023223108234079647
rank,1,0.26500943993730236,0.02194032057394349
rank,2,0.24951399789518558,0.020657532913807345
rank,3,0.2340186878263395,0.019374745253671194
rank,4,0.21852351064408554,0.018091957593535043
rank,5,0.20302846726169632,0.01680916993339888
rank,6,0.18753355859239684,0.015526382273262732
rank,7,0.17203878554936322,0.014243594613126584
rank,8,0.15654414904572306,0.012960806952990428
rank,9,0.14104964999455483,0.011678019292854272
rank,10,0.12555528930888832,0.01039523163271812
rank,11,0.11006106790170352,0.009112443972581975
rank,12,0.09456698668593064,0.007829656312445811
rank,13,0.07907304657445,0.006546868652309664
rank,14,0.0635792484800915,0.005264080992173516
rank,15,0.04808559331563433,0.003981293332037355
rank,16,0.03259208199380764,0.002698505671901215
rank,17,0.017098715427288483,0.0014157180117650562
rank,18,0.001605494528703237,0.00013293035162890133
rank,19,-0.013887579789373628,-0.0011498573085072562
rank,20,-0.02938050661441921,-0.0024326449686434045
rank,21,-0.044873285033963185,-0.0037154326287795495
rank,22,-0.060365914135587645,-0.004998220288915705
rank,23,-0.07585839300692684,-0.006281007949051859
rank,24,-0.09135072073566845,-0.0075637956091880055
rank,25,-0.10684289640955329,-0.00884658326932416
rank,26,-0.12233491911637569,-0.010129370929460315
rank,27,-0.1378267879439836,-0.011412158589596471
rank,28,-0.1533185019802785,-0.01269494624973262
rank,29,-0.1688100603132181,-0.013977733909868778
rank,30,-0.18430146203081202,-0.01526052157000492
decile,0,0.2864968354787319,0.032821907733190755
decile,1,0.2693518406731048,0.030857804280701753
decile,2,0.2522069273192012,0.028893700828212764
decile,3,0.2350620962184575,0.026929597375723757
decile,4,0.21791734817228775,0.02496549392323476
decile,5,0.20077268398208276,0.023001390470745776
decile,6,0.18362810444920782,0.021037287018256776
decile,7,0.16648361037500586,0.01907318356576779
decile,8,0.14933920256079408,0.017109080113278784
decile,9,0.1321948818078654,0.015144976660789783
decile,10,0.11505064891748823,0.013180873208300782
decile,11,0.09790650469090584,0.011216769755811797
decile,12,0.08076244992933691,0.009252666303322808
decile,13,0.06361848543397369,0.007288562850833805
decile,14,0.0464746120059841,0.005324459398344816
decile,15,0.02933083044650953,0.003360355945855816
decile,16,0.012187141556665919,0.0013962524933668076
decile,17,-0.004956453862456639,-0.0005678509591221702
decile,18,-0.02209995500979511,-0.002531954411611176
decile,19,-0.039243361084312145,-0.004496057864100177
decile,20,-0.05638667128499718,-0.006460161316589168
decile,21,-0.07352988481086667,-0.008424264769078154
decile,22,-0.09067300086096386,-0.010388368221567157
decile,23,-0.10781601863435922,-0.012352471674056145
decile,24,-0.12495893733015104,-0.014316575126545144
decile,25,-0.14210175614746445,-0.016280678579034147
decile,26,-0.1592444742854524,-0.018244782031523153
decile,27,-0.1763870909432965,-0.020208885484012142
decile,28,-0.19352960532020522,-0.022172988936501128
decile,29,-0.21067201661541704,-0.024137092388990124
decile,30,-0.2278143240281974,-0.026101195841479127
