,ols,ols__decile,ols__neutral,ols__neutral__decile,ridge,ridge__decile,ridge__neutral,ridge__neutral__decile,gbm,gbm__decile,gbm__neutral,gbm__neutral__decile,composite,composite__decile,composite__neutral,composite__neutral__decile
days,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
first_date,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
mean_rank_ic,0.022441550958538004,0.022441550958538004,0.010371363940904777,0.010371363940904777,0.02246990114727418,0.02246990114727418,0.010393076967990796,0.010393076967990796,0.012296269357281609,0.012296269357281609,0.0002762173969349316,0.0002762173969349316,0.02513470146108547,0.02513470146108547,0.009876246009799859,0.009876246009799859
rank_ic_hac_t,2.022366020663562,2.022366020663562,1.9159759093152011,1.9159759093152011,2.024419564939253,2.024419564939253,1.920215029530579,1.920215029530579,2.3429415575289316,2.3429415575289316,0.06534581403442685,0.06534581403442685,2.283897886661949,2.283897886661949,1.5001874216573747,1.5001874216573747
mean_gross_exposure,0.8275946686439695,0.9786245881684139,0.7440002193895069,0.9469004686127707,0.8277678009737514,0.9785969984930626,0.7440763080708606,0.9468871118043619,0.7250232830479015,0.8548102494924887,0.7304222081052756,0.8382087592412751,0.8996456543609423,0.9844337275742103,0.8547276542136335,0.9805629440574154
annual_turnover,6.544640386842803,10.069997516659148,7.2451374672849855,10.674678135734561,6.544586870089316,10.070293969090741,7.245895878191842,10.674405413901615,7.126097292249689,10.403065698540633,6.983135215667486,10.3087287805982,6.413938300680764,9.82051726244498,6.429249538151042,9.85960110446323
breakeven_bp,0.6881955276401089,-0.34078168563800065,1.7759083577951866,2.6660568292058624,0.7104339501302113,-0.34048055491821944,1.7920648727337276,2.6743593550257985,4.287070275682351,8.742663067081402,1.8479274988395011,5.963196868597697,18.103626154008047,16.710885412678948,10.914331298381175,13.86647359578259
positions_without_return_per_day,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20795228628230616,0.20715705765407555,0.20795228628230616,0.20795228628230616
gross_without_return_per_day,4.8658365592502e-05,4.609812236556016e-05,4.831250329347701e-05,6.27619481568978e-05,4.8710614551135146e-05,4.615707547403395e-05,4.832985684976001e-05,6.27619481568978e-05,4.956337488127506e-05,7.914896125929832e-05,5.412288409985651e-05,8.904362328115452e-05,6.48801777103153e-05,9.739197264166628e-05,6.240107771987946e-05,9.706865635732874e-05
