weighting,period,first_date,last_date,days,gross_sharpe,hac_t
rank,2014,2014-01-03,2014-12-31,251,0.7159178283757488,0.7858249720095163
rank,2015,2015-01-02,2015-12-31,252,1.1605680647080565,1.2758598989141692
rank,2016,2016-01-04,2016-12-30,252,-0.23676029361880072,-0.24269959372277863
rank,2017,2017-01-03,2017-12-29,251,0.7915463477313884,0.7137279185853141
rank,2018,2018-01-02,2018-12-31,251,1.8861827003648572,2.2295177552951726
rank,2019,2019-01-02,2019-12-31,252,-0.022997581050504246,-0.01986418261296866
rank,2020,2020-01-02,2020-12-31,253,-0.7595629707551076,-0.9088648317017426
rank,2021,2021-01-04,2021-12-31,252,0.7625546044248075,0.6916339222775383
rank,2022,2022-01-03,2022-12-30,251,0.6575557657962722,0.9126236921785726
rank,2023,2023-01-03,2023-12-29,250,-0.321918766119401,-0.2866022616800259
rank,pre_half,2014-01-03,2018-12-31,1257,0.7435441897465354,1.7490499870456204
rank,post_half,2019-01-02,2023-12-29,1258,0.06095888766542518,0.14847391857053013
decile,2014,2014-01-03,2014-12-31,251,0.5610114134944998,0.6241357981272885
decile,2015,2015-01-02,2015-12-31,252,1.2791697187317823,1.4144221221039286
decile,2016,2016-01-04,2016-12-30,252,-0.28039552211035274,-0.29710350987857564
decile,2017,2017-01-03,2017-12-29,251,0.7988677994416222,0.7211235154214821
decile,2018,2018-01-02,2018-12-31,251,2.017212483557548,2.3285891251838717
decile,2019,2019-01-02,2019-12-31,252,-0.04788560622870429,-0.04206297413338913
decile,2020,2020-01-02,2020-12-31,253,-0.9662753638362896,-1.1293410637222994
decile,2021,2021-01-04,2021-12-31,252,0.8253691458973345,0.728222283074449
decile,2022,2022-01-03,2022-12-30,251,0.6757150049428109,0.902034537718311
decile,2023,2023-01-03,2023-12-29,250,-0.18179344719744475,-0.16401657538979816
decile,pre_half,2014-01-03,2018-12-31,1257,0.748920577436968,1.7738042664458475
decile,post_half,2019-01-02,2023-12-29,1258,0.055142430940580106,0.13077244862176077
