decile,mean_forward_return_20d,sd_across_dates,observations
1,0.005926446654856784,0.10631167197028049,742954.0
2,0.007774407961887823,0.08269034266107085,742478.0
3,0.008808469153341091,0.07236117006151517,742021.0
4,0.009879359406458538,0.06599893456544595,741537.0
5,0.009243984873937145,0.06116835909481638,741049.0
6,0.008933209200681708,0.057400450072648705,740603.0
7,0.00869532485078443,0.05324736255496226,740185.0
8,0.00891021640250724,0.049723023482216785,739781.0
9,0.008474727219269403,0.04656386774264175,739368.0
10,0.00688366262581449,0.044339196991396705,738909.0
