,value
factor,dd_252
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1643.4971162377994
mean_complete_pairs_per_date,1635.733584738243
mean_coverage,0.9977226689982429
min_coverage,0.9939024390243902
mean_target_coverage,0.9952921944667814
min_target_coverage,0.9875776397515528
mean_ic_pearson,0.01631571137984033
sd_ic_pearson,0.1924027393022972
icir_pearson_daily,0.08479978735752608
ic_pearson_nw_tstat,1.5405532487592686
mean_ic_spearman,0.015317119214099152
sd_ic_spearman,0.19634778953608875
icir_spearman_daily,0.078010143380218
ic_spearman_nw_tstat,1.4242149743863515
share_ic_spearman_positive,0.5698757763975155
mean_rank_autocorr_1d,0.9833335749973247
mean_rank_autocorr_20d,0.8069196897563575
mean_ic_spearman_signed,0.015317119214099152
decile_spread_20d,0.0009572159709577057
decile_spread_signed,0.0009572159709577057
rebalances,225.4
mean_turnover,1.0729252476159759
mean_names_without_target,3.7894267453294006
gross_return_mean_period_return,0.0007874646142242935
gross_return_annualised_return,0.009922054139226099
gross_return_annualised_volatility,0.29564566485268984
gross_return_sharpe,0.035062776767934144
gross_return_hit_rate,0.5667895771878073
gross_return_max_drawdown,-0.8384531760021903
net_return_1bp_mean_period_return,0.000572879564701098
net_return_1bp_annualised_return,0.007218282515233834
net_return_1bp_annualised_volatility,0.29563726238600185
net_return_1bp_sharpe,0.025903497696286897
net_return_1bp_hit_rate,0.5647944936086529
net_return_1bp_max_drawdown,-0.8433055091620417
net_return_5bp_mean_period_return,-0.0002854606333916821
net_return_5bp_annualised_return,-0.0035968039807351944
net_return_5bp_annualised_volatility,0.2956042125788383
net_return_5bp_sharpe,-0.010738784282068843
net_return_5bp_hit_rate,0.557470993117011
net_return_5bp_max_drawdown,-0.8625007670931322
net_return_10bp_mean_period_return,-0.0013583858810076578
net_return_10bp_annualised_return,-0.01711566210069649
net_return_10bp_annualised_volatility,0.29556416079793146
net_return_10bp_sharpe,-0.05655287275947942
net_return_10bp_hit_rate,0.5488200589970502
net_return_10bp_max_drawdown,-0.8844178308541173
net_return_20bp_mean_period_return,-0.0035042363762396106
net_return_20bp_annualised_return,-0.04415337834061908
net_return_20bp_annualised_volatility,0.29548826093354263
net_return_20bp_sharpe,-0.14821604940588112
net_return_20bp_hit_rate,0.5295063913470992
net_return_20bp_max_drawdown,-0.9183928692942638
gross_return_sharpe_sd_across_offsets,0.05024065955316746
gross_return_sharpe_min_offset,-0.0464473804167246
gross_return_sharpe_max_offset,0.11980451764957382
