decile,mean_forward_return_20d,sd_across_dates,observations
1,0.0054994363768072945,0.09208729777027942,743883.0
2,0.008629892275874752,0.07151642399065342,743435.0
3,0.009910051032846605,0.06382099909121738,742968.0
4,0.009133755159154914,0.05941016392980695,742497.0
5,0.009335083189073244,0.0575294350586261,742038.0
6,0.008961535243134486,0.055948149916954425,741571.0
7,0.008342940223373578,0.05542314452693715,741118.0
8,0.007774046553624597,0.056168908185465695,740679.0
9,0.007789044465850154,0.059621120569057266,740265.0
10,0.008042616462801577,0.07122602456436222,739812.0
