,value
factor,mom_120_20
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1645.578083407276
mean_complete_pairs_per_date,1637.7945874001775
mean_coverage,0.9990155191640583
min_coverage,0.9957317073170732
mean_target_coverage,0.9952860185683725
min_target_coverage,0.9875776397515528
mean_ic_pearson,0.005316094912993353
sd_ic_pearson,0.1437629075106292
icir_pearson_daily,0.03697820950512081
ic_pearson_nw_tstat,0.6925569171017213
mean_ic_spearman,-0.0001664331666537496
sd_ic_spearman,0.14842057927636218
icir_spearman_daily,-0.0011213617913715833
ic_spearman_nw_tstat,-0.021298762335573335
share_ic_spearman_positive,0.5277284826974268
mean_rank_autocorr_1d,0.9865927469611858
mean_rank_autocorr_20d,0.7682796012401744
mean_ic_spearman_signed,-0.0001664331666537496
decile_spread_20d,0.002543180085994283
decile_spread_signed,0.002543180085994283
rebalances,225.4
mean_turnover,0.9610609354573416
mean_names_without_target,3.029725663716815
gross_return_mean_period_return,0.002389137388071785
gross_return_annualised_return,0.03010313108970449
gross_return_annualised_volatility,0.22906979652479326
gross_return_sharpe,0.13233095160762898
gross_return_hit_rate,0.5787354965585055
gross_return_max_drawdown,-0.6445714806979297
net_return_1bp_mean_period_return,0.0021969252009803163
net_return_1bp_annualised_return,0.02768125753235199
net_return_1bp_annualised_volatility,0.22907453317291476
net_return_1bp_sharpe,0.12173064778646576
net_return_1bp_hit_rate,0.5760727630285153
net_return_1bp_max_drawdown,-0.6475765053716966
net_return_5bp_mean_period_return,0.0014280764526144434
net_return_5bp_annualised_return,0.017993763302941987
net_return_5bp_annualised_volatility,0.22909392267120823
net_return_5bp_sharpe,0.0793339985336347
net_return_5bp_hit_rate,0.5696361848574238
net_return_5bp_max_drawdown,-0.662189728910344
net_return_10bp_mean_period_return,0.00046701551715710185
net_return_10bp_annualised_return,0.0058843955161794834
net_return_10bp_annualised_volatility,0.22911915581993963
net_return_10bp_sharpe,0.026348913432828407
net_return_10bp_hit_rate,0.558102261553589
net_return_10bp_max_drawdown,-0.6856052174455145
net_return_20bp_mean_period_return,-0.0014551063537575812
net_return_20bp_annualised_return,-0.018334340057345522
net_return_20bp_annualised_volatility,0.22917294131752794
net_return_20bp_sharpe,-0.07958263846245811
net_return_20bp_hit_rate,0.5385840707964602
net_return_20bp_max_drawdown,-0.7351712316168127
gross_return_sharpe_sd_across_offsets,0.04362750243349455
gross_return_sharpe_min_offset,0.04682453375627691
gross_return_sharpe_max_offset,0.20230381064537348
