decile,mean_forward_return_20d,sd_across_dates,observations
1,0.005842406098066115,0.07255494498470985,744582.0
2,0.0073570444316575796,0.061744052682976065,744157.0
3,0.008039621945186934,0.058233151856157475,743709.0
4,0.00837822082864538,0.05684625562864337,743233.0
5,0.008761852210793819,0.05636938961560059,742775.0
6,0.009112695540634205,0.057489080585097684,742315.0
7,0.00921421018520325,0.05890317065410317,741831.0
8,0.009426928245539083,0.06216218729000016,741392.0
9,0.009508772561461374,0.06805715129571577,740938.0
10,0.007824872047345175,0.0828023214088769,740496.0
