,value
factor,rev_5
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1647.1668145519077
mean_complete_pairs_per_date,1639.3580301685893
mean_coverage,1.0
min_coverage,1.0
mean_target_coverage,0.9952746473758634
min_target_coverage,0.9875853507138423
mean_ic_pearson,0.005934599450204063
sd_ic_pearson,0.10927412269750623
icir_pearson_daily,0.05430928479409789
ic_pearson_nw_tstat,1.7017215654677227
mean_ic_spearman,0.007430210518828654
sd_ic_spearman,0.1166279286798088
icir_spearman_daily,0.06370867255327504
ic_spearman_nw_tstat,2.039911240277636
share_ic_spearman_positive,0.5150842945874001
mean_rank_autocorr_1d,0.7579829457682735
mean_rank_autocorr_20d,-0.003116191533451705
mean_ic_spearman_signed,0.007430210518828654
decile_spread_20d,0.00198246594927906
decile_spread_signed,0.00198246594927906
rebalances,225.4
mean_turnover,1.7543476044057429
mean_names_without_target,0.8833303834808259
gross_return_mean_period_return,0.001996063958535303
gross_return_annualised_return,0.025150405877544822
gross_return_annualised_volatility,0.17180160222713753
gross_return_sharpe,0.14190149867402096
gross_return_hit_rate,0.5059744346116027
gross_return_max_drawdown,-0.46554116463845086
net_return_1bp_mean_period_return,0.0016451944376541547
net_return_1bp_annualised_return,0.020729449914442352
net_return_1bp_annualised_volatility,0.17180150698388133
net_return_1bp_sharpe,0.11602146688034769
net_return_1bp_hit_rate,0.5033136676499509
net_return_1bp_max_drawdown,-0.4752569214931325
net_return_5bp_mean_period_return,0.0002417163541295608
net_return_5bp_annualised_return,0.0030456260620324665
net_return_5bp_annualised_volatility,0.17180143833765732
net_return_5bp_sharpe,0.012501811137934568
net_return_5bp_hit_rate,0.4864611602753196
net_return_5bp_max_drawdown,-0.5261234485511751
net_return_10bp_mean_period_return,-0.0015126312502761817
net_return_10bp_annualised_return,-0.019059153753479885
net_return_10bp_annualised_volatility,0.171802055255609
net_return_10bp_sharpe,-0.11689563672960104
net_return_10bp_hit_rate,0.46671681415929206
net_return_10bp_max_drawdown,-0.6058404498024492
net_return_20bp_mean_period_return,-0.005021326459087667
net_return_20bp_annualised_return,-0.0632687133845046
net_return_20bp_annualised_volatility,0.1718056314100693
net_return_20bp_sharpe,-0.37567674094984504
net_return_20bp_hit_rate,0.4192310717797444
net_return_20bp_max_drawdown,-0.7696138826902048
gross_return_sharpe_sd_across_offsets,0.23274153692044036
gross_return_sharpe_min_offset,-0.3222469942827908
gross_return_sharpe_max_offset,0.5406684754750928
