year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1706.4,0.004495181430796717,0.0024426541544683763,0.025574316365114484
2007,251,1819.4382470119522,-0.010345839534169956,-0.00906018934165055,-0.10070241415349569
2008,253,1612.5335968379447,-0.0011811384114988042,0.006557193536711519,0.04277858039141949
2009,252,1335.2539682539682,0.005689497345967143,0.017532326623405963,0.12503040041588667
2010,252,1420.5039682539682,0.017367330098383576,0.021303912577777626,0.21366016525255205
2011,252,1490.0515873015872,0.017369293942054685,0.01966970864650076,0.1641610114072635
2012,250,1395.376,0.008211458435565675,-0.0013080786423047793,-0.013882711557349952
2013,252,1507.079365079365,-0.00977940165169911,0.0012817760365250181,0.0190045764659867
2014,252,1636.0873015873017,-0.0034477377481870073,0.003638363622852521,0.03712303847915953
2015,252,1667.6190476190477,0.00016821505357706915,-0.004226451047172824,-0.03782172070947738
2016,252,1609.813492063492,0.03801331195815455,0.03562356183352725,0.32048936030813346
2017,251,1653.6932270916334,0.016541969866245742,0.014877554596061634,0.18038178679196412
2018,251,1720.1513944223107,0.008515846241106963,0.007877443694653515,0.08848449759060689
2019,252,1654.392857142857,0.012527879566913813,0.018925167992559905,0.16880343108423437
2020,253,1704.5691699604743,-0.007226669827309414,-0.006849398126658582,-0.03984192492520074
2021,252,1938.626984126984,-0.003276697719920484,-0.001541310532943129,-0.010685401794837145
2022,251,1852.0,0.022141192147840938,0.018944717675377188,0.13500314275470246
2023,230,1799.1869565217391,-0.010233224359263906,-0.013839244914799799,-0.12265748216068542
