decile,mean_forward_return_20d,sd_across_dates,observations
1,0.006676162338422231,0.08356471175503281,737310.0
2,0.00881937042594256,0.06701710418796095,736885.0
3,0.009072730505342672,0.06099683664431042,736427.0
4,0.009080693727262364,0.05765994615010465,735974.0
5,0.009035408983363791,0.05655257794332653,735509.0
6,0.008674371667018699,0.056164964178502565,735054.0
7,0.008325143081966569,0.05701876635919144,734592.0
8,0.008118468091916865,0.05875636188806755,734168.0
9,0.008531786640850251,0.06213070643502247,733711.0
10,0.007311472013857253,0.07418704487794157,733272.0
