,value
factor,rmom_120_20
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1631.078527062999
mean_complete_pairs_per_date,1623.4074977817213
mean_coverage,0.9902656951353462
min_coverage,0.0
mean_target_coverage,0.9953129460784449
min_target_coverage,0.9875776397515528
mean_ic_pearson,0.0019826816342232607
sd_ic_pearson,0.10395480416396626
icir_pearson_daily,0.019072534936394173
ic_pearson_nw_tstat,0.3593652731288395
mean_ic_spearman,-0.0036573310789338783
sd_ic_spearman,0.10714738829958648
icir_spearman_daily,-0.03413364653096256
ic_spearman_nw_tstat,-0.6467707862761424
share_ic_spearman_positive,0.48513753327417924
mean_rank_autocorr_1d,0.9827896274134037
mean_rank_autocorr_20d,0.7086814415286261
mean_ic_spearman_signed,-0.0036573310789338783
decile_spread_20d,0.0006353096754350227
decile_spread_signed,0.0006353096754350227
rebalances,224.45
mean_turnover,1.0315859769371545
mean_names_without_target,3.103791666666667
gross_return_mean_period_return,0.000517735938978361
gross_return_annualised_return,0.006523472831127348
gross_return_annualised_volatility,0.15678508998314913
gross_return_sharpe,0.043242818156516136
gross_return_hit_rate,0.5210694444444444
gross_return_max_drawdown,-0.4594318949467134
net_return_1bp_mean_period_return,0.00031141874359092987
net_return_1bp_annualised_return,0.003923876169245716
net_return_1bp_annualised_volatility,0.1567813306929836
net_return_1bp_sharpe,0.02655920675310052
net_return_1bp_hit_rate,0.5190624999999999
net_return_1bp_max_drawdown,-0.46750860810411954
net_return_5bp_mean_period_return,-0.0005138500379587938
net_return_5bp_annualised_return,-0.006474510478280798
net_return_5bp_annualised_volatility,0.15676669633770662
net_return_5bp_sharpe,-0.040182654413471616
net_return_5bp_hit_rate,0.5085902777777778
net_return_5bp_max_drawdown,-0.504983701800553
net_return_10bp_mean_period_return,-0.0015454360148959483
net_return_10bp_annualised_return,-0.01947249378768895
net_return_10bp_annualised_volatility,0.15674930988475283
net_return_10bp_sharpe,-0.1236256921599858
net_return_10bp_hit_rate,0.49477976190476197
net_return_10bp_max_drawdown,-0.5581815286222483
net_return_20bp_mean_period_return,-0.0036086079687702574
net_return_20bp_annualised_return,-0.04546846040650525
net_return_20bp_annualised_volatility,0.15671755967601306
net_return_20bp_sharpe,-0.2905579653779731
net_return_20bp_hit_rate,0.4707202380952381
net_return_20bp_max_drawdown,-0.680597154178382
gross_return_sharpe_sd_across_offsets,0.08756568930845608
gross_return_sharpe_min_offset,-0.11704287907472093
gross_return_sharpe_max_offset,0.1805919903611125
