year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1574.62,-0.022781963187043907,-0.016237598483326583,-0.19302761799141582
2007,251,1811.8565737051792,0.050845919713050934,0.055472450497486656,0.6760008787747313
2008,253,1606.4861660079052,-0.0315357167329713,-0.04029481515511531,-0.34844778951480315
2009,252,1330.5833333333333,0.001145618545533493,0.0069344804638861255,0.05871592929884089
2010,252,1413.7380952380952,-0.04217158459277453,-0.049368251982472806,-0.6057411067489411
2011,252,1480.8333333333333,-0.0012016310260424376,-0.007097895984582306,-0.05455206174230067
2012,250,1387.24,-0.008823159355067622,-0.026022367478306968,-0.32427270120314294
2013,252,1498.452380952381,0.007509371938616151,-0.009217226554360873,-0.14405243262072465
2014,252,1622.234126984127,0.02275000014692638,0.021187521419342777,0.2596578890827128
2015,252,1654.654761904762,0.0034521068401975755,0.0025935679144959986,0.022253775285410574
2016,252,1601.218253968254,-0.0004281553723480479,-0.00029598648928726916,-0.002897075752504124
2017,251,1646.9442231075698,0.03178508188279403,0.014581134663133388,0.1301988628006104
2018,251,1709.5537848605577,0.02643605225827989,0.028089778249972337,0.3078538383094607
2019,252,1645.4801587301588,-0.002575092350349482,-0.003340883271982887,-0.033968688106151
2020,253,1695.7154150197628,0.02079050364666947,-0.0022678744967371176,-0.013660040760950825
2021,252,1922.9404761904761,-0.001962889839210613,-0.008009337834362359,-0.06300400399885009
2022,251,1838.03187250996,-0.02027870972473841,-0.02424214481502582,-0.23350336356839993
2023,230,1795.3130434782609,0.0008646702788800149,-0.009545201631339095,-0.13272860855341242
