date,n_eligible,n_factor,n_used,ic_pearson,ic_spearman,coverage,target_coverage,rank_autocorr_1d,rank_autocorr_20d
2006-01-04,1605,1605,1595,0.12981011214001612,0.19912182764940498,1.0,0.9937694704049844,0.9776060669765017,0.5931879476070362
2006-01-05,1617,1617,1608,0.11457868642665216,0.18428420226594955,1.0,0.9944341372912802,0.9753136036576806,0.584486028491377
2006-01-06,1633,1633,1624,0.0917953358653508,0.1670564649831652,1.0,0.994488671157379,0.9808437132048637,0.5806546020661657
2006-01-09,1634,1634,1626,0.017351266056422267,0.07871403531207076,1.0,0.9951040391676866,0.9761230801483907,0.577780385309548
2006-01-10,1633,1633,1625,-0.011050618129978415,0.057403363400818586,1.0,0.9951010410287814,0.9767846571309776,0.5992552536892718
2006-01-11,1637,1637,1629,-0.032365335206226316,0.009107903711842303,1.0,0.9951130116065975,0.98880571370236,0.6035172734098054
2006-01-12,1648,1648,1639,-0.06527250170878211,-0.01373932173572053,1.0,0.9945388349514563,0.9820322035089168,0.6089606910804951
2006-01-13,1653,1653,1643,-0.0992797892736514,-0.0538245322255942,1.0,0.9939503932244405,0.9841176602484935,0.6066305050211503
2006-01-17,1662,1662,1652,-0.096141991438672,-0.053109324192098836,1.0,0.9939831528279182,0.9787750150205354,0.6140821326430045
2006-01-18,1652,1652,1640,-0.08507327808325477,-0.035223689479361005,1.0,0.9927360774818402,0.9820077395446373,0.6281707935604584
2006-01-19,1645,1645,1632,-0.12212776978380381,-0.07315601455897386,1.0,0.99209726443769,0.9764869857431454,0.6204859904709986
2006-01-20,1633,1633,1620,-0.09873643504092586,-0.05402520306130616,1.0,0.9920391916717698,0.9853245143713301,0.6245175896596863
2006-01-23,1631,1631,1617,-0.07393376809229116,-0.0378953481483715,1.0,0.9914163090128756,0.9824077928735451,0.6132433167948336
2006-01-24,1638,1638,1625,-0.13246810499628203,-0.1008990937806308,1.0,0.9920634920634921,0.9774609999243842,0.606270947212829
2006-01-25,1640,1640,1626,-0.1098733905896705,-0.09589658894461384,1.0,0.9914634146341463,0.9851923504540522,0.6166177842630145
2006-01-26,1646,1646,1633,-0.14845648968673417,-0.1380864574638823,1.0,0.9921020656136087,0.9667892219224937,0.6169497764910171
2006-01-27,1665,1665,1652,-0.11354783904480338,-0.11900750573360436,1.0,0.9921921921921922,0.9850570615422001,0.599500463968222
2006-01-30,1684,1684,1672,-0.15181184125392655,-0.16031452552149472,1.0,0.9928741092636579,0.993434917313502,0.5791698510543825
2006-01-31,1701,1701,1690,-0.11425379899786148,-0.10389511198448896,1.0,0.993533215755438,0.9858608244011142,0.574698991027202
2006-02-01,1713,1713,1705,-0.08603780052559325,-0.0807619539489259,1.0,0.9953298307063632,0.9730299538921953,0.5796041880178165
