decile,mean_forward_return_20d,sd_across_dates,observations
1,0.007865710962972592,0.03634645967244145,744582.0
2,0.009048419746699303,0.04533505708561665,744157.0
3,0.00922562441432612,0.05092168276701385,743709.0
4,0.009281138872240883,0.055055599261699166,743233.0
5,0.00936356983652913,0.059773667498702596,742775.0
6,0.009294329292268968,0.06377629896695645,742315.0
7,0.008806387889095066,0.06872610890285794,741831.0
8,0.008323031533146404,0.07444532449799608,741392.0
9,0.007730329180021209,0.0841030722238492,740938.0
10,0.004524846898698423,0.09748563705498621,740496.0
