offset,rebalances,mean_turnover,mean_names_without_target,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,1.265039645610693,5.915929203539823,0.0037961868365672244,0.04783195414074703,0.2677673238475007,0.17863252862021495,0.5619469026548672,-0.6480101079588807,0.0035431789074450858,0.04464405423380808,0.26776751596523946,0.16672692381253448,0.5619469026548672,-0.6616503616815228,0.002531147190956531,0.03189245460605229,0.26776871074490644,0.11910448579795077,0.5486725663716814,-0.7111564070787105,0.0012661075453458369,0.015952955071357543,0.26777116340186363,0.05957682249531771,0.5486725663716814,-0.7630359775020421,-0.001263971745875547,-0.015926043998031894,0.26777926586456857,-0.05947452259461573,0.5309734513274337,-0.840639043519438
1,226,1.2644915755870474,5.84070796460177,0.002607899016474704,0.03285952760758127,0.2719487938156092,0.12082983397919089,0.5486725663716814,-0.6981081260975694,0.002355000701357293,0.02967300883710189,0.27194759786399747,0.10911296540277414,0.5486725663716814,-0.7098083611142905,0.0013434074408876558,0.016926933755184462,0.27194320783125076,0.06224437039695492,0.5486725663716814,-0.7522727732899022,7.891586530060902e-05,0.0009943399027876737,0.271938606315617,0.003656486720512293,0.5398230088495575,-0.7967721278794411,-0.002450067285873487,-0.030870847802005934,0.2719323568797357,-0.11352399602691937,0.5221238938053098,-0.863333288070161
2,226,1.2662289295048546,5.889380530973451,0.0028853532379156115,0.0363554507977367,0.2823779354036007,0.12874749135683755,0.5398230088495575,-0.7108887250172123,0.0026321074520146413,0.03316455389538448,0.28237560404463224,0.11744836813219353,0.5398230088495575,-0.7221013686287674,0.0016191243084107583,0.020400966285975555,0.28236668144106697,0.07224990633405684,0.5353982300884956,-0.762793388056411,0.0003528953789059029,0.004446481774214376,0.28235643462961624,0.015747761442189524,0.5353982300884956,-0.8054301535122012,-0.002179562480103809,-0.02746248724930799,0.28233896288781135,-0.09726779105659725,0.5,-0.8691924656943355
3,226,1.264678983788692,5.898230088495575,0.0033834367284501948,0.042631302778472456,0.27232732522653524,0.15654434509283874,0.5309734513274337,-0.7178587767065685,0.003130500931692457,0.03944431173932496,0.27233183707801356,0.14483914977603426,0.5221238938053098,-0.7288184065837888,0.0021187577446615024,0.02669634758273493,0.2723502760471513,0.09802210583444777,0.5221238938053098,-0.7685860321757046,0.0008540787608728115,0.010761392386997424,0.27237420562545617,0.03950958704876591,0.5088495575221239,-0.8102424003182283,-0.0016752792067045719,-0.021108518004477606,0.27242500001290415,-0.07748377719914747,0.4911504424778761,-0.8725097639207139
4,226,1.2727627853308663,5.938053097345133,0.0017966123374894636,0.022637315452367242,0.2851612695241438,0.07938425681069079,0.5088495575221239,-0.7879096309293016,0.0015420597804232906,0.01942995323333346,0.2851602254362412,0.06813696827322012,0.504424778761062,-0.7962088455122072,0.0005238495521585982,0.006600504357198337,0.2851564523452879,0.0231469577591952,0.5,-0.8263011687953546,-0.0007489132331722685,-0.009436306737970582,0.28515264334680523,-0.03309212436966282,0.49557522123893805,-0.8577809558432002,-0.003294438803834002,-0.041509928928308425,0.28514805004187094,-0.14557325193776754,0.4778761061946903,-0.904735092200713
5,226,1.2711286403844475,5.898230088495575,0.0015111781420065879,0.019040844589283006,0.28513988016619335,0.06677720625464624,0.5221238938053098,-0.7971598269412891,0.0012569524139296978,0.015837600415514193,0.2851412066821063,0.055543008321385715,0.5221238938053098,-0.8050910571826688,0.00024004950162213854,0.0030246237204389456,0.2851468775053308,0.010607248260617552,0.5132743362831859,-0.8338512218294045,-0.0010310791387623097,-0.012991597148405101,0.28515478670154654,-0.045559807354742334,0.5088495575221239,-0.8639415008530421,-0.0035733364195312026,-0.04502403888609315,0.28517334035298564,-0.1578830574778228,0.49557522123893805,-0.9088330311962828
6,226,1.2727737682929627,5.849557522123894,0.0011788001596364393,0.014852882011419134,0.292307523103016,0.05081252050493629,0.5309734513274337,-0.8510629823442641,0.0009242454059778459,0.011645492115320859,0.29230537602011586,0.03984015714620124,0.5309734513274337,-0.8569169250434454,-9.397360865652294e-05,-0.001184067469072189,0.29229721928811414,-0.00405090226980595,0.5265486725663717,-0.8781335366480685,-0.0013667473769494857,-0.01722101694956352,0.29228799453852605,-0.05891797566558501,0.5132743362831859,-0.90031052452071,-0.003912294913535411,-0.049294915910546175,0.29227278263203144,-0.16866064457533836,0.5,-0.9333455916337403
7,226,1.2699740193595783,5.893805309734513,0.0021786856991846634,0.02745143980972676,0.27960658378470676,0.09817880336774898,0.4911504424778761,-0.8053106463571236,0.001924690895312748,0.024251105280940623,0.2796083452443622,0.0867324087188689,0.4911504424778761,-0.8129186942578087,0.0009087116798250852,0.011449767165796073,0.2796157421252189,0.04094822086472007,0.4911504424778761,-0.8405085211704469,-0.0003612623395344939,-0.004551905478134623,0.27962577801809174,-0.01627856169197718,0.4823008849557522,-0.8693773704899462,-0.0029012103782536506,-0.03655525076599599,0.27964848207474036,-0.13071857388528949,0.47345132743362833,-0.9124540560116751
8,225,1.2688480844381005,5.786666666666667,0.0033655623907588744,0.042406086123561816,0.2546643590320951,0.16651755386868808,0.5111111111111111,-0.7158847888842992,0.003111792773871253,0.039208588950777785,0.25466250070573676,0.15396294641779013,0.5022222222222222,-0.7269549868061472,0.0020967143063207712,0.026418600259641718,0.2546554239867406,0.10374253902016743,0.5022222222222222,-0.7671115320343254,0.0008278662218826718,0.010431114395721664,0.2546473804620969,0.04096297545567836,0.48444444444444446,-0.8091518280650242,-0.001709829946993528,-0.021543857332118454,0.25463396830351986,-0.08460716170608668,0.47555555555555556,-0.871936196654159
9,225,1.2642395229005787,5.782222222222222,0.003958958645908009,0.04988287893844091,0.2436055586429548,0.2047690504942571,0.5377777777777778,-0.623127582609339,0.0037061107413278943,0.04669699534073147,0.24360189632088897,0.19169389091790576,0.5377777777777778,-0.6377017644750849,0.0026947191230074323,0.03395346094989365,0.24358761279933105,0.1393891116206501,0.52,-0.6906079972904151,0.0014304796001068517,0.01802404296134633,0.24357058149188768,0.07399926071099287,0.5066666666666667,-0.7460710930067024,-0.0010979994456943038,-0.013834793015748229,0.24353926324270914,-0.05680723851891017,0.48444444444444446,-0.8290842580335782
10,225,1.2644495544713739,5.773333333333333,0.0046887916198857385,0.0590787744105603,0.25658544897927427,0.23024990172117046,0.52,-0.630044158642069,0.004435901708991462,0.05589236153329242,0.25658063821428806,0.21783546070461046,0.52,-0.6441529446914034,0.0034243420654143627,0.04314671002422097,0.25656176845030043,0.16817279630101664,0.5155555555555555,-0.6954398502091742,0.002159892510942989,0.02721464563788166,0.25653902131444906,0.10608384447106663,0.5066666666666667,-0.7493397505064997,-0.0003690065979997597,-0.004649483134796972,0.25649632820524926,-0.018126899388113033,0.4888888888888889,-0.8303410917733515
11,225,1.2583085025372909,5.795555555555556,0.00494244748059042,0.06227483825543929,0.24925815963047696,0.24984072075217595,0.5555555555555556,-0.638851740233273,0.004690785780082963,0.05910390082904533,0.24925436688386077,0.2371228298543094,0.5511111111111111,-0.652450586984217,0.0036841389780531302,0.04642015112346944,0.24923956880935033,0.18624711696150217,0.5466666666666666,-0.7019443780380239,0.0024258304755158397,0.03056546399149958,0.24922191039140493,0.12264356670525592,0.5333333333333333,-0.7540762315875241,-9.078652955874295e-05,-0.001143910272440161,0.2491893915474711,-0.004590525565058992,0.5111111111111111,-0.8332017555239823
12,225,1.2603746460801282,5.831111111111111,0.004034486005429462,0.05083452366841122,0.2578278899633416,0.19716456460795984,0.5555555555555556,-0.7231629924710081,0.003782411076213437,0.0476583795602893,0.25782675598289573,0.18484652370001106,0.5555555555555556,-0.7339083255849991,0.002774111359349336,0.034953803127801636,0.2578226114556967,0.13557307068782046,0.5466666666666666,-0.7729012207055987,0.001513736713269206,0.019073082587191995,0.25781831146856726,0.07397877396120234,0.5288888888888889,-0.8137515558744681,-0.001007012578891049,-0.012688358494027219,0.2578126472405591,-0.049215423020686815,0.5155555555555555,-0.8748275503763556
13,225,1.262384006872251,5.8933333333333335,0.0030442866915870296,0.03835801231399657,0.26867671196290666,0.142766420036033,0.5422222222222223,-0.7547895782128561,0.0027918098902125787,0.03517680461667849,0.2686808665098761,0.13092411481926447,0.5422222222222223,-0.7641618380548529,0.0017819026847147798,0.022451973827406223,0.26869784922530926,0.08355844266017826,0.5333333333333333,-0.7982237228306821,0.000519518677842528,0.006545935340815853,0.2687198976759019,0.024359697206757593,0.5333333333333333,-0.8340070691821075,-0.0020052493359019735,-0.025266141632364864,0.26876672723539125,-0.09400769913842899,0.5155555555555555,-0.8877484662702173
14,225,1.265076912140335,5.871111111111111,0.002598522185494934,0.032741379537236166,0.2822326613475339,0.11600847109937888,0.5511111111111111,-0.7817908558932732,0.002345506803066867,0.029553385718642525,0.2822356700514899,0.10471173155842042,0.5466666666666666,-0.7902363329003644,0.0013334452733545984,0.01680141044426794,0.28224812788453885,0.059527092598258106,0.5422222222222223,-0.8208923384152498,6.836836121426333e-05,0.000861441351299718,0.28226465185816096,0.003051892419503507,0.5288888888888889,-0.8531752762707261,-0.002461785463066405,-0.0310184968346367,0.2823008713606325,-0.10987743921984333,0.52,-0.9015971330270419
