,value
factor,rvol_20
hypothesised_sign,-1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1647.1668145519077
mean_complete_pairs_per_date,1639.3580301685893
mean_coverage,1.0
min_coverage,1.0
mean_target_coverage,0.9952746473758634
min_target_coverage,0.9875853507138423
mean_ic_pearson,-0.02006825110892855
sd_ic_pearson,0.16821425380306881
icir_pearson_daily,-0.11930172773838048
ic_pearson_nw_tstat,-2.2300627045675245
mean_ic_spearman,-0.028615509306255546
sd_ic_spearman,0.18806648239607765
icir_spearman_daily,-0.15215634887023524
ic_spearman_nw_tstat,-2.8454177866231336
share_ic_spearman_positive,0.43456078083407274
mean_rank_autocorr_1d,0.9825527039860429
mean_rank_autocorr_20d,0.6561728163753651
mean_ic_spearman_signed,0.028615509306255546
decile_spread_20d,-0.003340864064274169
decile_spread_signed,0.003340864064274169
rebalances,225.4
mean_turnover,1.2658493975484457
mean_names_without_target,5.868639134709931
gross_return_mean_period_return,0.0031551025518801188
gross_return_annualised_return,0.039754292153689495
gross_return_annualised_volatility,0.27113108173686795
gross_return_sharpe,0.14873094842351736
gross_return_hit_rate,0.5399478859390363
gross_return_max_drawdown,-0.7302898204002519
net_return_1bp_mean_period_return,0.0029019326723704296
net_return_1bp_annualised_return,0.03656435167186741
net_return_1bp_annualised_volatility,0.2711320981634728
net_return_1bp_sharpe,0.13693985361825853
net_return_1bp_hit_rate,0.5379508357915437
net_return_1bp_max_drawdown,-0.7406979710084148
net_return_5bp_mean_period_return,0.0018892531543316733
net_return_5bp_annualised_return,0.023804589744579087
net_return_5bp_annualised_volatility,0.2711365587978536
net_return_5bp_sharpe,0.0897761156929156
net_return_5bp_hit_rate,0.5310698131760079
net_return_5bp_max_drawdown,-0.7784886420754211
net_return_10bp_mean_period_return,0.000623403756783227
net_return_10bp_annualised_return,0.00785488733546866
net_return_10bp_annualised_volatility,0.27114302313898464
net_return_10bp_sharpe,0.030823271455541527
net_return_10bp_hit_rate,0.5221927236971485
net_return_10bp_max_drawdown,-0.818127910897673
net_return_20bp_mean_period_return,-0.001908295038313665
net_return_20bp_annualised_return,-0.024044517482752173
net_return_20bp_annualised_volatility,0.27115891335585823
net_return_20bp_sharpe,-0.08707388379748751
net_return_20bp_hit_rate,0.5055575221238938
net_return_20bp_max_drawdown,-0.877523684557193
gross_return_sharpe_sd_across_offsets,0.0531593005062834
gross_return_sharpe_min_offset,0.05081252050493629
gross_return_sharpe_max_offset,0.24984072075217595
