,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
factor,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
hypothesised_sign,1,1,-1,1,1,1
first_date,2006-01-04,2006-01-04,2006-01-04,2006-01-04,2006-01-04,2006-01-04
last_date,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30
dates,4508,4508,4508,4508,4508,4508
mean_names_per_date,1645.578083407276,1647.1668145519077,1647.1668145519077,1647.1548358473824,1631.078527062999,1643.4971162377994
mean_complete_pairs_per_date,1637.7945874001775,1639.3580301685893,1639.3580301685893,1639.3462732919254,1623.4074977817213,1635.733584738243
mean_coverage,0.9990155191640583,1.0,1.0,0.9999928684545624,0.9902656951353462,0.9977226689982429
min_coverage,0.9957317073170732,1.0,1.0,0.9989065062875888,0.0,0.9939024390243902
mean_target_coverage,0.9952860185683725,0.9952746473758634,0.9952746473758634,0.9952747476212762,0.9953129460784449,0.9952921944667814
min_target_coverage,0.9875776397515528,0.9875853507138423,0.9875853507138423,0.9875853507138423,0.9875776397515528,0.9875776397515528
mean_ic_pearson,0.005316094912993353,0.005934599450204063,-0.02006825110892855,0.003804326349385923,0.0019826816342232607,0.01631571137984033
sd_ic_pearson,0.1437629075106292,0.10927412269750623,0.16821425380306881,0.04658076866792997,0.10395480416396626,0.1924027393022972
icir_pearson_daily,0.03697820950512081,0.05430928479409789,-0.11930172773838048,0.08167160951135471,0.019072534936394173,0.08479978735752608
ic_pearson_nw_tstat,0.6925569171017213,1.7017215654677227,-2.2300627045675245,2.6219985576511613,0.3593652731288395,1.5405532487592686
mean_ic_spearman,-0.0001664331666537496,0.007430210518828654,-0.028615509306255546,0.004329243917801171,-0.0036573310789338783,0.015317119214099152
sd_ic_spearman,0.14842057927636218,0.1166279286798088,0.18806648239607765,0.049391005424011536,0.10714738829958648,0.19634778953608875
icir_spearman_daily,-0.0011213617913715833,0.06370867255327504,-0.15215634887023524,0.08765247600520601,-0.03413364653096256,0.078010143380218
ic_spearman_nw_tstat,-0.021298762335573335,2.039911240277636,-2.8454177866231336,2.719502493557264,-0.6467707862761424,1.4242149743863515
share_ic_spearman_positive,0.5277284826974268,0.5150842945874001,0.43456078083407274,0.5361579414374446,0.48513753327417924,0.5698757763975155
mean_rank_autocorr_1d,0.9865927469611858,0.7579829457682735,0.9825527039860429,0.4797935504129092,0.9827896274134037,0.9833335749973247
mean_rank_autocorr_20d,0.7682796012401744,-0.003116191533451705,0.6561728163753651,-0.08634812943741875,0.7086814415286261,0.8069196897563575
mean_ic_spearman_signed,-0.0001664331666537496,0.007430210518828654,0.028615509306255546,0.004329243917801171,-0.0036573310789338783,0.015317119214099152
decile_spread_20d,0.002543180085994283,0.00198246594927906,-0.003340864064274169,0.0017608867391792227,0.0006353096754350227,0.0009572159709577057
decile_spread_signed,0.002543180085994283,0.00198246594927906,0.003340864064274169,0.0017608867391792227,0.0006353096754350227,0.0009572159709577057
rebalances,225.4,225.4,225.4,225.4,224.45,225.4
mean_turnover,0.9610609354573416,1.7543476044057429,1.2658493975484457,1.8510831666274903,1.0315859769371545,1.0729252476159759
mean_names_without_target,3.029725663716815,0.8833303834808259,5.868639134709931,3.4770383480825955,3.103791666666667,3.7894267453294006
gross_return_mean_period_return,0.002389137388071785,0.001996063958535303,0.0031551025518801188,0.0018084351550401053,0.000517735938978361,0.0007874646142242935
gross_return_annualised_return,0.03010313108970449,0.025150405877544822,0.039754292153689495,0.022786282953505328,0.006523472831127348,0.009922054139226099
gross_return_annualised_volatility,0.22906979652479326,0.17180160222713753,0.27113108173686795,0.07436813446052132,0.15678508998314913,0.29564566485268984
gross_return_sharpe,0.13233095160762898,0.14190149867402096,0.14873094842351736,0.3082384348728311,0.043242818156516136,0.035062776767934144
gross_return_hit_rate,0.5787354965585055,0.5059744346116027,0.5399478859390363,0.536386430678466,0.5210694444444444,0.5667895771878073
gross_return_max_drawdown,-0.6445714806979297,-0.46554116463845086,-0.7302898204002519,-0.25291958139351217,-0.4594318949467134,-0.8384531760021903
net_return_1bp_mean_period_return,0.0021969252009803163,0.0016451944376541547,0.0029019326723704296,0.001438218521714607,0.00031141874359092987,0.000572879564701098
net_return_1bp_annualised_return,0.02768125753235199,0.020729449914442352,0.03656435167186741,0.01812155337360405,0.003923876169245716,0.007218282515233834
net_return_1bp_annualised_volatility,0.22907453317291476,0.17180150698388133,0.2711320981634728,0.0743736661700031,0.1567813306929836,0.29563726238600185
net_return_1bp_sharpe,0.12173064778646576,0.11602146688034769,0.13693985361825853,0.2451485800045336,0.02655920675310052,0.025903497696286897
net_return_1bp_hit_rate,0.5760727630285153,0.5033136676499509,0.5379508357915437,0.5297315634218289,0.5190624999999999,0.5647944936086529
net_return_1bp_max_drawdown,-0.6475765053716966,-0.4752569214931325,-0.7406979710084148,-0.2716415566753649,-0.46750860810411954,-0.8433055091620417
net_return_5bp_mean_period_return,0.0014280764526144434,0.0002417163541295608,0.0018892531543316733,-4.26480115873851e-05,-0.0005138500379587938,-0.0002854606333916821
