decile,mean_forward_return_20d,sd_across_dates,observations
1,0.006348987245460885,0.06544407516927206,744580.0
2,0.008085715737007879,0.06341709866675146,744152.0
3,0.008620072836984089,0.06197878974162976,743702.0
4,0.00856526882961223,0.06180812474005557,743228.0
5,0.008865868485145761,0.061160880008697655,742772.0
6,0.0089325379745305,0.060792173977567594,742310.0
7,0.008779518416327922,0.06074804751029137,741828.0
8,0.008528802362493025,0.06128071361060977,741387.0
9,0.008601566108921366,0.06188564422928223,740927.0
10,0.008109873984640107,0.06367230401672236,740488.0
