offset,rebalances,mean_turnover,mean_names_without_target,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,1.855632623787985,3.47787610619469,0.0009411189324889295,0.011858098549360511,0.07107720269686534,0.1668340635172954,0.5132743362831859,-0.34489593901008586,0.0005699924077313317,0.0071819043374147795,0.07108091750309713,0.10103843042124282,0.504424778761062,-0.34924001381535064,-0.0009145136912990565,-0.01152287251036811,0.07109636478862266,-0.16207400398918967,0.4778761061946903,-0.4556909636206192,-0.0027701463150870413,-0.03490384357009672,0.07111699630244082,-0.49079468178971425,0.42920353982300885,-0.5886894948015635,-0.006481411562663012,-0.08166578568955395,0.07116266239304786,-1.147593175175135,0.336283185840708,-0.7929064078267953
1,226,1.8527445751196103,3.5530973451327434,0.001231630470819518,0.015518543932325926,0.06439704650352608,0.24098223093936774,0.5398230088495575,-0.2259029163938575,0.0008610815557955959,0.01084962760302451,0.06440187330213883,0.1684675778315316,0.5221238938053098,-0.25604495370807245,-0.0006211141043000922,-0.007826037714181161,0.0644218080676335,-0.12148118702233514,0.49557522123893805,-0.3964744168915325,-0.0024738586794197026,-0.03117061936068825,0.0644481374536922,-0.4836543085994568,0.4646017699115044,-0.5545063068488236,-0.006179347829658922,-0.07785978265370241,0.06450549189803835,-1.2070256401853774,0.3407079646017699,-0.7806318741033115
2,226,1.8522487097345695,3.415929203539823,0.002658166874512768,0.03349290261886088,0.07068132589815544,0.47385787113162997,0.5619469026548672,-0.2696530907926904,0.002287717132565854,0.02882523587032976,0.0706905004925806,0.4077667532337693,0.5619469026548672,-0.2920668346478813,0.0008059181647781992,0.010154568876205309,0.07072775130626816,0.14357262444600546,0.5353982300884956,-0.37512450833900557,-0.0010463305449563709,-0.013183764866450273,0.07077555615912198,-0.18627568021944918,0.4823008849557522,-0.5200935819068278,-0.004750827964425509,-0.05986043235176141,0.07087529295340811,-0.8445881471151362,0.36283185840707965,-0.7422867728850887
3,226,1.8476796235477657,3.2964601769911503,0.0028502322139187133,0.035912925895375786,0.06842059436108254,0.5248847401975065,0.5530973451327433,-0.2331329551627419,0.002480696289209159,0.031256773244035405,0.06842897587465721,0.4567768674675052,0.5530973451327433,-0.2431399638171784,0.0010025525903709464,0.012632162638673925,0.06846306657204344,0.1845106167627059,0.5176991150442478,-0.2819145747753994,-0.0008451270331768196,-0.010648600618027927,0.06850694879974033,-0.15543825560171917,0.4646017699115044,-0.3926578749045838,-0.004540486280272351,-0.05721012713143162,0.06859893239466969,-0.8339798468332577,0.38495575221238937,-0.7148247317931002
4,226,1.848386274017107,3.314159292035398,0.0015922962387440293,0.02006293260817477,0.0706537923150035,0.28396115694294244,0.5,-0.24734345907240085,0.0012226189839406082,0.015404999197651663,0.07065778371553104,0.21802267758174174,0.5,-0.26547836656927626,-0.00025609003527307753,-0.003226734444440777,0.07067431004211054,-0.0456563982374665,0.45132743362831856,-0.37967937401413365,-0.0021044763092901847,-0.026516401497056325,0.0706962288330709,-0.3750751904980292,0.40707964601769914,-0.5335494937264507,-0.005801248857324399,-0.07309573560228742,0.07074426431418691,-1.033239037975676,0.3274336283185841,-0.7703045735451185
5,226,1.853159871016841,3.5309734513274336,0.00045967114842891725,0.005791856470204357,0.07171762462499846,0.08075917880003938,0.5309734513274337,-0.31333217590345674,8.903917422554882e-05,0.0011218935952419151,0.07172710134300384,0.015641139461037807,0.5221238938053098,-0.3370017542283511,-0.0013934887225879238,-0.01755795790460784,0.0717655972323825,-0.24465703041185358,0.4911504424778761,-0.4385774239338991,-0.003246648593604765,-0.04090777227942004,0.07181504059626226,-0.569626807139188,0.43805309734513276,-0.6088713885448214,-0.006952968335638447,-0.08760740102904443,0.07191832736965582,-1.2181512589794772,0.3008849557522124,-0.8184965803399351
6,226,1.8514824525717888,3.398230088495575,0.0025777761384580145,0.03247997934457098,0.06967957755128662,0.4661334136342112,0.5442477876106194,-0.1727645151254753,0.0022074796479436567,0.027814243564090072,0.06968619461434496,0.39913563537252605,0.5353982300884956,-0.1888011640711349,0.0007262936858862256,0.009151300442166442,0.06971328167943783,0.1312705444601907,0.504424778761062,-0.2515267469236625,-0.0011251887666855636,-0.014177378460238102,0.0697485314755961,-0.20326418578717373,0.46017699115044247,-0.4082661836531092,-0.004828153671829141,-0.06083473626504717,0.0698236586055006,-0.8712625130224085,0.3893805309734513,-0.7248438052830072
7,226,1.8545888187250497,3.34070796460177,0.00027594981046688604,0.003476967611882764,0.06558210245291668,0.0530170196110895,0.5176991150442478,-0.288161091698397,-9.496795327812369e-05,-0.0011965962113043584,0.06558872302040193,-0.018243932130408258,0.5088495575221239,-0.31962263254742984,-0.0015786390082581636,-0.019890851504052863,0.06561579919761808,-0.30314119079989693,0.4646017699115044,-0.4701281375968933,-0.0034332278269832137,-0.04325867061998849,0.06565097932061487,-0.6589188930256364,0.42035398230088494,-0.6188083861681435,-0.007142405464433313,-0.08999430885185974,0.06572578007321246,-1.369239113656991,0.33185840707964603,-0.8112832904954252
8,225,1.8485252128969285,3.511111111111111,0.0018609755065774163,0.023448291382875443,0.07179108728673658,0.32661841837304956,0.56,-0.1493994674353022,0.0014912704639980308,0.018790007846375186,0.07179925344861486,0.2617019947125604,0.5511111111111111,-0.16578089923528938,1.2450293680488346e-05,0.00015687370037415315,0.07183246978778929,0.0021838828713198434,0.5155555555555555,-0.2657302923855118,-0.0018360749192164406,-0.02313454398212715,0.07187523007432713,-0.3218708859533864,0.48444444444444446,-0.44566664791670996,-0.005533125345010298,-0.06971737934712975,0.07196487410084824,-0.9687695590133466,0.38222222222222224,-0.7285286944280531
9,225,1.8484764660201345,3.417777777777778,0.0011941637480872467,0.015046463225899307,0.07662477374411247,0.19636551588585172,0.5555555555555556,-0.1873844395209746,0.0008244684548832197,0.010388302531528568,0.07662826360676027,0.13556750528550535,0.5466666666666666,-0.20174929211130244,-0.000654312717932888,-0.00824434024595439,0.07664277126872174,-0.10756839959568298,0.5111111111111111,-0.38072307348978573,-0.002502789183953023,-0.03153514371780809,0.0766621387293743,-0.41135225602211,0.4444444444444444,-0.5565886380314231,-0.006199742115993292,-0.07811675066151547,0.07670497923461995,-1.018405212294984,0.3466666666666667,-0.778548532112004
10,225,1.8497010304688202,3.5733333333333333,0.00046784735512934604,0.00589487667462976,0.0817081878285815,0.07214548298386976,0.5111111111111111,-0.4165106499898785,9.790714903558197e-05,0.0012336300778483327,0.08171681355803662,0.015096404572508064,0.49777777777777776,-0.4382201785728377,-0.0013818536753394742,-0.017411356309277374,0.08175181986877456,-0.21297821060406405,0.4622222222222222,-0.5199891836054154,-0.003231554705808295,-0.04071758929318452,0.08179670917246493,-0.4977900664357192,0.44,-0.658786519589067,-0.006930956766745934,-0.08733005526099877,0.08189025124218755,-1.0664279805751629,0.3422222222222222,-0.8279151644552996
11,225,1.8505160137081338,3.3866666666666667,0.001197131959474724,0.015083862689381522,0.08128280623082677,0.18557261232524866,0.52,-0.33959662936771595,0.0008270287567330972,0.010420562334837026,0.08128267752319628,0.12820151417703024,0.5111111111111111,-0.36549803288780647,-0.0006533840542334099,-0.008232639083340964,0.08128262982156924,-0.10128411324059232,0.47555555555555556,-0.4594167294841097,-0.002503900067941544,-0.03154914085606345,0.08128362123005096,-0.38813650743699374,0.4488888888888889,-0.6068734783018643,-0.006204932095357811,-0.07818214440150842,0.08128910727898712,-0.9617788535084353,0.38222222222222224,-0.8012051463020858
12,225,1.8512188326292682,3.471111111111111,0.0009523991916020728,0.012000229814186117,0.07435855864490175,0.16138330318495073,0.48,-0.21102829684414837,0.0005821554250762194,0.007335158355960365,0.07436056373338618,0.09864312463068443,0.47555555555555556,-0.23861578184423093,-0.0008988196410271952,-0.01132512747694266,0.07436917565996447,-0.15228254685414475,0.4444444444444444,-0.3955064423969995,-0.0027500384736564637,-0.03465048476807144,0.07438127121077075,-0.4658495909525931,0.4088888888888889,-0.5718578322489999,-0.006452476138915,-0.08130119935032899,0.07440989494739285,-1.0926127419990075,0.3377777777777778,-0.7869507758646258
13,225,1.8502430992261987,3.6,0.0028662610686045723,0.03611488946441761,0.07697791004150242,0.4691591320801822,0.5333333333333333,-0.14805247617347106,0.002496212448759333,0.03145227685436759,0.07698323820009449,0.40856006566802217,0.5288888888888889,-0.15069514718910149,0.0010160179693783733,0.012801826414167503,0.07700509585829182,0.16624648370967543,0.5022222222222222,-0.23922720924188323,-0.0008342251298478252,-0.010511236636082597,0.07703364335609386,-0.13644994807649963,0.4622222222222222,-0.4275162660653039,-0.004534711328300222,-0.0571373627365828,0.07709481727196989,-0.7411310482132344,0.37777777777777777,-0.7097945296517056
14,225,1.850360351022665,3.448888888888889,0.0034497328206487357,0.04346663354017407,0.07733552875364436,0.5620525810153687,0.5511111111111111,-0.17263639483298865,0.0030796607504442017,0.03880372545559694,0.07734373743350595,0.5017048146782062,0.5511111111111111,-0.20267790906679006,0.0015993724696260706,0.02015209311728849,0.07737708444475762,0.26044006777841083,0.5155555555555555,-0.3124201085538464,-0.00025098788139659356,-0.0031624473055970785,0.07741991961654965,-0.0408479797093597,0.4711111111111111,-0.4436512047009251,-0.003951708583441924,-0.04979152815136824,0.07750941985362869,-0.6423932503352004,0.38666666666666666,-0.7009060563179944
15,225,1.8483458353516482,3.6044444444444443,0.0025600964557233644,0.03225721534211439,0.08196954247683974,0.39352684384237696,0.5733333333333334,-0.24224768851674205,0.002190427288653034,0.02759938383702823,0.08198265329075023,0.336649068177233,0.5688888888888889,-0.27058481068394413,0.0007117506203717158,0.00896805781668362,0.08203554721270712,0.10931916859688466,0.5288888888888889,-0.413522033168374,-0.0011365952149799312,-0.014321099708747132,0.0821026769756458,-0.1744291445331949,0.4711111111111111,-0.5708312413979113,-0.004833286885683227,-0.06089941475960866,0.08224030051674394,-0.7405057420383536,0.36,-0.7766961372971077
16,225,1.8542057376001877,3.466666666666667,1.2108054400023186e-05,0.00015256148544029214,0.08341996176033731,0.001828836674351351,0.5066666666666667,-0.404285948579968,-0.00035873309312001476,-0.004520036973312186,0.08343097196003758,-0.054176966504444285,0.5066666666666667,-0.43997685872386794,-0.0018420976832001644,-0.02321043080832207,0.08347554736000075,-0.2780506572568327,0.4577777777777778,-0.5698088616635832,-0.0036963034208003526,-0.04657342310208444,0.08353246785017643,-0.5575487508117011,0.4177777777777778,-0.6929747935906887,-0.007404714896000729,-0.09329940768960919,0.08365030253812089,-1.115350511100555,0.35555555555555557,-0.8476763593714909
17,225,1.850453400246524,3.5644444444444443,0.003001346354493245,0.03781696406661488,0.07825388246779533,0.4832599083141736,0.5555555555555556,-0.22497130572948587,0.0026312556744439394,0.03315382149799363,0.07825286409904597,0.4236755022286506,0.5333333333333333,-0.22912369448867675,0.0011508929542467204,0.014501251223508677,0.07824935053862578,0.18532104258616827,0.48444444444444446,-0.2823573188840317,-0.0006995604459998036,-0.008814461619597525,0.07824621852831,-0.11265032081273546,0.4533333333333333,-0.45664997688493547,-0.004400467246492851,-0.055445887305809925,0.07824415486154183,-0.7086265728593409,0.38222222222222224,-0.7057279369312877
18,225,1.8507898088333679,3.5733333333333333,0.0020744755214330323,0.026138391570056208,0.07995875358311218,0.3268984369908539,0.5288888888888889,-0.21509931791905157,0.0017043175596663592,0.021474401251796126,0.07995304111652175,0.2685876728628724,0.5244444444444445,-0.2219104874600074,0.00022368571259966468,0.002818439978755775,0.07993071367618299,0.035261038581162925,0.5066666666666667,-0.34395947031660146,-0.0016271040962337032,-0.02050151161254466,0.079903980647767,-0.25657684944282677,0.48,-0.5162995146523033,-0.005328683713900439,-0.06714141479514553,0.07985444041238625,-0.8407975116776499,0.4088888888888889,-0.7517169460239388
19,225,1.8529045960252126,3.5955555555555554,0.003945323236790552,0.049711072783560954,0.07147242998820123,0.6955279510122622,0.5911111111111111,-0.2519928698014112,0.003574742317585509,0.04504175320157742,0.07147717556435615,0.6301557503628976,0.5911111111111111,-0.25660235783876717,0.002092418640765339,0.026364474873643275,0.07149671647585916,0.36875084861477847,0.5555555555555556,-0.2747754056344094,0.00023951404474012634,0.003017876963725592,0.0715223986124264,0.04219485115535907,0.5155555555555555,-0.2969063202978638,-0.0034662951473102993,-0.04367531885610977,0.07157794374155169,-0.6101784512532152,0.4266666666666667,-0.6146145692591649
