,value
factor,vs_20
hypothesised_sign,1
first_date,2006-01-04
last_date,2023-11-30
dates,4508
mean_names_per_date,1647.1548358473824
mean_complete_pairs_per_date,1639.3462732919254
mean_coverage,0.9999928684545624
min_coverage,0.9989065062875888
mean_target_coverage,0.9952747476212762
min_target_coverage,0.9875853507138423
mean_ic_pearson,0.003804326349385923
sd_ic_pearson,0.04658076866792997
icir_pearson_daily,0.08167160951135471
ic_pearson_nw_tstat,2.6219985576511613
mean_ic_spearman,0.004329243917801171
sd_ic_spearman,0.049391005424011536
icir_spearman_daily,0.08765247600520601
ic_spearman_nw_tstat,2.719502493557264
share_ic_spearman_positive,0.5361579414374446
mean_rank_autocorr_1d,0.4797935504129092
mean_rank_autocorr_20d,-0.08634812943741875
mean_ic_spearman_signed,0.004329243917801171
decile_spread_20d,0.0017608867391792227
decile_spread_signed,0.0017608867391792227
rebalances,225.4
mean_turnover,1.8510831666274903
mean_names_without_target,3.4770383480825955
gross_return_mean_period_return,0.0018084351550401053
gross_return_annualised_return,0.022786282953505328
gross_return_annualised_volatility,0.07436813446052132
gross_return_sharpe,0.3082384348728311
gross_return_hit_rate,0.536386430678466
gross_return_max_drawdown,-0.25291958139351217
net_return_1bp_mean_period_return,0.001438218521714607
net_return_1bp_annualised_return,0.01812155337360405
net_return_1bp_annualised_volatility,0.0743736661700031
net_return_1bp_sharpe,0.2451485800045336
net_return_1bp_hit_rate,0.5297315634218289
net_return_1bp_max_drawdown,-0.2716415566753649
net_return_5bp_mean_period_return,-4.26480115873851e-05
net_return_5bp_annualised_return,-0.000537364946001052
net_return_5bp_annualised_volatility,0.07439634504296808
net_return_5bp_sharpe,-0.007114870980237803
net_return_5bp_hit_rate,0.4949026548672566
net_return_5bp_max_drawdown,-0.37532761374598483
net_return_10bp_mean_period_return,-0.0018937311782148756
net_return_10bp_annualised_return,-0.023861012845507436
net_return_10bp_annualised_volatility,0.07442593474722484
net_return_10bp_sharpe,-0.3222177725846065
net_return_10bp_hit_rate,0.4532074729596854
net_return_10bp_max_drawdown,-0.5235022572116161
net_return_20bp_mean_period_return,-0.005595897511469855
net_return_20bp_annualised_return,-0.07050830864452018
net_return_20bp_annualised_volatility,0.07448924480008494
net_return_20bp_sharpe,-0.9516028083905972
net_return_20bp_hit_rate,0.36316125860373644
net_return_20bp_max_drawdown,-0.759292944214327
gross_return_sharpe_sd_across_offsets,0.1945233746649297
gross_return_sharpe_min_offset,0.001828836674351351
gross_return_sharpe_max_offset,0.6955279510122622
