year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1706.4,0.0058868113015608575,0.004534166803148427,0.10258725646148469
2007,251,1819.434262948207,0.0026170570066788522,0.006089315492899304,0.14772902635033333
2008,253,1612.5335968379447,0.007094834670324512,0.005206536234419056,0.09713946468272577
2009,252,1335.25,-0.003752301932869748,-0.004685120254824931,-0.09691454413214062
2010,252,1420.4722222222222,-0.0025231929208309953,-0.00424918678042191,-0.09349129466618601
2011,252,1490.0436507936508,0.015363534382805893,0.01864155628546535,0.45491090091079783
2012,250,1395.364,0.002364280460249922,0.0012501988018869526,0.03282974593902862
2013,252,1507.079365079365,-0.007480865118886946,-0.005670307821953426,-0.14712948128709663
2014,252,1636.0873015873017,-0.0036782701870979114,-0.006279597337781179,-0.13470814743255005
2015,252,1667.6150793650793,-0.00028091379220681,0.0017655078070731918,0.03719734685295565
2016,252,1609.7857142857142,-0.0074020963407734385,-0.007378382653451382,-0.16081770128475437
2017,251,1653.6932270916334,0.0006678104671574433,0.0009440938927462746,0.022196324618452976
2018,251,1720.1434262948208,0.013650669061783556,0.01312586475081476,0.29299502619835305
2019,252,1654.392857142857,0.005923409264754949,0.002349686077139289,0.053827560823727125
2020,253,1704.5691699604743,-0.008698847941616697,-0.0070756039115606306,-0.12434141183194596
2021,252,1938.6031746031747,0.017758169374091293,0.028160670085183782,0.4201664669375446
2022,251,1851.9721115537848,0.020040282017670396,0.0209794643674855,0.3449904083346695
2023,230,1799.121739130435,0.011749095720154685,0.010905108415631254,0.19767657020565715
