fold,model,train_rows,predict_rows,validation_rows,train_start,train_end,validation_start,validation_end,chosen_alpha,fit_seconds
1,ols,3012479,410265,410265,2006-02-01,2013-12-02,2014-01-02,2014-12-31,,0.530611515045166
1,ridge,3012479,410265,410265,2006-02-01,2013-12-02,2014-01-02,2014-12-31,10000.0,2.1410791873931885
1,gbm,3012479,410265,410265,2006-02-01,2013-12-02,2014-01-02,2014-12-31,,9.834031105041504
2,ols,3420471,418994,418994,2006-02-01,2014-12-02,2015-01-02,2015-12-31,,0.6920289993286133
2,ridge,3420471,418994,418994,2006-02-01,2014-12-02,2015-01-02,2015-12-31,10000.0,2.276240825653076
2,gbm,3420471,418994,418994,2006-02-01,2014-12-02,2015-01-02,2015-12-31,,10.59076714515686
3,ols,3837077,405866,405866,2006-02-01,2015-12-02,2016-01-04,2016-12-30,,0.7476544380187988
3,ridge,3837077,405866,405866,2006-02-01,2015-12-02,2016-01-04,2016-12-30,10000.0,2.2960848808288574
3,gbm,3837077,405866,405866,2006-02-01,2015-12-02,2016-01-04,2016-12-30,,11.701229095458984
4,ols,4239030,415588,415588,2006-02-01,2016-12-01,2017-01-03,2017-12-29,,0.5974521636962891
4,ridge,4239030,415588,415588,2006-02-01,2016-12-01,2017-01-03,2017-12-29,10000.0,2.8522024154663086
4,gbm,4239030,415588,415588,2006-02-01,2016-12-01,2017-01-03,2017-12-29,,12.841883897781372
5,ols,4652564,431290,431290,2006-02-01,2017-11-30,2018-01-02,2018-12-31,,0.671964168548584
5,ridge,4652564,431290,431290,2006-02-01,2017-11-30,2018-01-02,2018-12-31,0.01,2.8826091289520264
5,gbm,4652564,431290,431290,2006-02-01,2017-11-30,2018-01-02,2018-12-31,,14.075220108032227
6,ols,5082638,416451,416451,2006-02-01,2018-11-29,2019-01-02,2019-12-31,,0.7298328876495361
6,ridge,5082638,416451,416451,2006-02-01,2018-11-29,2019-01-02,2019-12-31,10000.0,3.001953363418579
6,gbm,5082638,416451,416451,2006-02-01,2018-11-29,2019-01-02,2019-12-31,,14.982436180114746
7,ols,5497036,430384,430384,2006-02-01,2019-12-02,2020-01-02,2020-12-31,,0.8001878261566162
7,ridge,5497036,430384,430384,2006-02-01,2019-12-02,2020-01-02,2020-12-31,10000.0,3.2403712272644043
7,gbm,5497036,430384,430384,2006-02-01,2019-12-02,2020-01-02,2020-12-31,,16.497032165527344
8,ols,5922675,486382,486382,2006-02-01,2020-12-02,2021-01-04,2021-12-31,,0.8599143028259277
8,ridge,5922675,486382,486382,2006-02-01,2020-12-02,2021-01-04,2021-12-31,10000.0,3.497112989425659
8,gbm,5922675,486382,486382,2006-02-01,2020-12-02,2021-01-04,2021-12-31,,17.09876537322998
9,ols,6405465,463511,463511,2006-02-01,2021-12-02,2022-01-03,2022-12-30,,0.9334559440612793
9,ridge,6405465,463511,463511,2006-02-01,2021-12-02,2022-01-03,2022-12-30,10000.0,3.7703640460968018
9,gbm,6405465,463511,463511,2006-02-01,2021-12-02,2022-01-03,2022-12-30,,18.419044494628906
10,ols,6869026,414494,414494,2006-02-01,2022-12-01,2023-01-03,2023-11-30,,1.0215787887573242
10,ridge,6869026,414494,414494,2006-02-01,2022-12-01,2023-01-03,2023-11-30,10000.0,4.140689134597778
10,gbm,6869026,414494,414494,2006-02-01,2022-12-01,2023-01-03,2023-11-30,,19.654772996902466
