,ols,ols__decile,ridge,ridge__decile,gbm,gbm__decile,composite,composite__decile
days,2515,2515,2515,2515,2515,2515,2515,2515
first_date,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
mean_positions,1817.7256461232605,1817.7284294234591,1817.7260437375746,1817.7284294234591,1817.7284294234591,1817.4811133200794,1817.7284294234591,1816.558648111332
mean_gross_exposure,0.8292794116501125,0.9821834270138193,0.8294552791977343,0.9821714461231175,0.7275435650129602,0.8577139715249701,0.9024343817674586,0.9890957805147431
mean_net_exposure,1.323177952280952e-17,7.344460014901075e-18,1.3326792707229323e-17,7.708530352280599e-18,1.3058571220472532e-17,-1.01789784790262e-18,-6.835809489037743e-18,3.302137232136792e-18
max_abs_net_exposure,1.244664094013359e-16,2.445960101127298e-16,1.231653667943533e-16,2.671474153004283e-16,1.1460016963171782e-16,2.255140518769849e-16,1.6306400674181987e-16,2.411265631607762e-16
largest_position,0.0012821306119461038,0.0032198847437079686,0.0012821306119461038,0.0032198847437079686,0.0012891332706743207,0.0032202395132895022,0.0021737759232168612,0.0032221685579615334
cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
cap_binds,False,False,False,False,False,False,False,False
mean_daily_turnover,0.02600142621569945,0.03998611039614048,0.026001253170130804,0.03998746834972269,0.028263313486219535,0.041256300834540474,0.02546530215797549,0.03898372923446382
annual_turnover_multiple,6.552359406356262,10.0764998198274,6.552315798872963,10.076842024130118,7.122354998527323,10.396587810304199,6.417256143809823,9.823899767084882
positions_without_return_per_day,7.716898608349901,7.717296222664016,7.717296222664016,7.717296222664016,7.717296222664016,7.707753479125248,7.717296222664016,7.68986083499006
breakeven_bp,0.35379970911232844,-0.6081636619197841,0.37624568639764605,-0.7074801475172057,4.514442093834305,9.007375442612721,17.724596323377067,16.341656160335912
gross_return_annualised_return,0.0004636445703936548,-0.0012256322059520555,0.0004930561110482197,-0.0014258331363478306,0.006430691842516583,0.018729193945900162,0.022748654930548097,0.03210775842946104
gross_return_annualised_volatility,0.07243493468611781,0.11009997929608144,0.07247057876397485,0.11012237697021038,0.03439929612608887,0.061625520674575295,0.08278771255836512,0.11456955711428671
gross_return_sharpe,0.006400841974977477,-0.011131993064740539,0.006803534889020619,-0.012947714856659315,0.18694254146786055,0.3039194434527062,0.27478298684131847,0.28024685822458534
gross_return_hit_rate,0.48986083499005967,0.49105367793240556,0.49025844930417495,0.4914512922465209,0.49582504970178926,0.5089463220675944,0.531610337972167,0.5292246520874752
gross_return_max_drawdown,-0.2772325982804925,-0.3746368794205672,-0.277292188400695,-0.3749057750643049,-0.1310438705959518,-0.15188086759471797,-0.21794368247905815,-0.3146736789240244
gross_return_market_beta,-0.22174379138617525,-0.32918723607839584,-0.2218609209742611,-0.3294846043398253,-0.07372995509809918,-0.13503123900313616,-0.18865765781140365,-0.27062998784056713
net_return_1bp_annualised_return,-0.000846827310877592,-0.0032409321699175433,-0.000817407048726374,-0.0034412015411738424,0.005006220842811121,0.016649876383839322,0.021465203701786117,0.030142978476044052
net_return_1bp_annualised_volatility,0.07243512817171735,0.11010021442712122,0.07247077253777029,0.11012261663355155,0.03439978381196766,0.0616260795142222,0.08278807592494165,0.11456985786795096
net_return_1bp_sharpe,-0.011690837474188939,-0.029436202161648092,-0.01127912702048758,-0.031248817421628505,0.14553059025532192,0.2701758170418228,0.25927892950727793,0.26309693524090566
net_return_1bp_hit_rate,0.48946322067594433,0.4906560636182903,0.48946322067594433,0.49105367793240556,0.49502982107355864,0.5077534791252485,0.530417495029821,0.5284294234592445
net_return_1bp_max_drawdown,-0.27815624028148833,-0.38071888728031844,-0.2782156530445796,-0.3809858692507023,-0.13225674738533744,-0.15361623027124238,-0.21952247564643224,-0.31677558221253
net_return_1bp_market_beta,-0.22174415190744265,-0.32918829466784816,-0.2218612795137677,-0.3294856448474232,-0.07373088418687712,-0.1350318407952136,-0.18865869690106038,-0.27063094365393686
net_return_5bp_annualised_return,-0.006088714835962601,-0.011302132025779463,-0.006059259687824751,-0.011502675160477944,-0.0006916631560107403,0.008332606135595963,0.016331398786738272,0.022283858662376164
net_return_5bp_annualised_volatility,0.07243592615441065,0.1101011889645122,0.07247157168358265,0.11012360932631415,0.034401756140419286,0.061628338056574146,0.08278954562518014,0.11457107860514762
net_return_5bp_sharpe,-0.08405656086985584,-0.10265222503112448,-0.08360877992656239,-0.10445239881662113,-0.020105460697632586,0.13520738021438647,0.197264022448882,0.19449811360486713
net_return_5bp_hit_rate,0.4878727634194831,0.48906560636182905,0.4878727634194831,0.48906560636182905,0.4906560636182903,0.5033797216699801,0.5284294234592445,0.525248508946322
net_return_5bp_max_drawdown,-0.28183907425973675,-0.40446159613366406,-0.2818977811339479,-0.40472104071923154,-0.1370914246691003,-0.16052240406713414,-0.22580593173577956,-0.32511910610170613
net_return_5bp_market_beta,-0.22174559399251262,-0.3291925290256575,-0.22186271367179408,-0.329489806877815,-0.07373460054198891,-0.13503424796352329,-0.1886628532596871,-0.2706347669074163
net_return_10bp_annualised_return,-0.012641074242318858,-0.021378631845606864,-0.012611575486697705,-0.021579517184608057,-0.007814018154538065,-0.0020639816747082406,0.009914142642928449,0.01245995889529128
net_return_10bp_annualised_volatility,0.0724369777219338,0.11010248366430422,0.0724726247282563,0.11012492677916343,0.0344042701101,0.06163121339318529,0.08279141927519824,0.11457264440128745
net_return_10bp_sharpe,-0.17451134268528656,-0.19417029601974298,-0.1740184729611509,-0.19595488338332395,-0.2271234974476066,-0.033489226660860454,0.1197484320201577,0.10875160436771127
net_return_10bp_hit_rate,0.4842942345924453,0.4882703777335984,0.4842942345924453,0.4870775347912525,0.48588469184890654,0.4974155069582505,0.5272365805168986,0.5232604373757456
net_return_10bp_max_drawdown,-0.29943606586003957,-0.43286501730915106,-0.29948668321422445,-0.433115300464313,-0.14908409245603493,-0.1906615045647213,-0.2335893655586343,-0.335405769420134
net_return_10bp_market_beta,-0.2217473965988501,-0.32919782197291936,-0.2218645063693271,-0.3294950094158046,-0.0737392459858786,-0.13503725692391053,-0.18866804870797055,-0.27063954597426537
net_return_20bp_annualised_return,-0.02574579305503139,-0.041531631485261664,-0.025716207084443634,-0.041733201232868285,-0.022058728151592707,-0.022857157295316642,-0.002920369644691197,-0.007187840638878488
net_return_20bp_annualised_volatility,0.0724392611440525,0.11010532814577742,0.07247491118216852,0.11012781696268605,0.03440945986795485,0.061637137897638625,0.08279528831376334,0.11457590890208673
net_return_20bp_sharpe,-0.35541214319998904,-0.3771991072972831,-0.3548290941648062,-0.3789524062481734,-0.6410658067938972,-0.3708341768444171,-0.035272171933553545,-0.06273431044759165
net_return_20bp_hit_rate,0.48031809145129223,0.4834990059642147,0.48031809145129223,0.48389662027833,0.4723658051689861,0.48389662027833,0.5216699801192843,0.5172962226640159
net_return_20bp_max_drawdown,-0.34203278831515527,-0.4856754701905167,-0.3420788440856287,-0.4859082747539324,-0.21896212406365845,-0.2886729131996578,-0.2489229303402355,-0.3594013106188273
net_return_20bp_market_beta,-0.22175100181152485,-0.3292084078674427,-0.22186809176439315,-0.32950541449178394,-0.07374853687365801,-0.13504327484468487,-0.18867843960453737,-0.2706491041079637
gross_return_naive_tstat,0.020221149018407842,-0.035167512573186614,0.021493311876881152,-0.04090362995803883,0.5905774589779335,0.9601237430440349,0.8680776289061649,0.8853387576592837
gross_return_hac_tstat,0.020743833757924116,-0.03578655045246862,0.02205112781357721,-0.04163328607299946,0.5995236891327801,1.0111469306919254,0.9395121223218681,0.9399905538738091
exposure_mom_120_20,0.0061656771799887605,0.0011777056159382236,0.006252030987450089,0.0012770763151028497,-0.05141124077588641,-0.0022915589375680527,0.2314332780074723,0.30292201334988683
exposure_rev_5,0.012081016398445261,0.019571812925342623,0.012073093201829446,0.019582027989058042,0.005955331450482893,0.005056602685567601,0.004549766972531251,0.008349464270074644
exposure_rvol_20,-0.20013389567399062,-0.28365257727058707,-0.20025069270343696,-0.28377613637393184,-0.08698915441130521,-0.1180633432896367,-0.14821740753721357,-0.20820008969786227
exposure_vs_20,0.03266684478013977,0.04788007829120327,0.032702533307907865,0.04792970177713186,0.01861533048450628,0.027292029690312806,0.02608604402806514,0.036737822902175726
exposure_rmom_120_20,0.005972086135936248,0.007284619287876869,0.005810339801560708,0.006963321107181549,-0.03546162855527718,-0.005746868458212582,0.1873046251709267,0.25177589622364754
exposure_dd_252,0.11991573517307572,0.17654158454688065,0.11993424897435133,0.17650215611051057,0.016496039701307974,0.06492548771857115,0.20681878081053542,0.2692872182140388
