dropped,weighting,gross_sharpe,hac_t,net_sharpe_1bp,net_sharpe_5bp,net_sharpe_10bp,net_sharpe_20bp,breakeven_bp,annual_turnover,beta
full,rank,0.2747829868413185,0.9395121223218682,0.25927892950727827,0.19726402244888191,0.11974843202015777,-0.03527217193355346,17.72459632337707,6.417256143809823,-0.1886576578114037
full,decile,0.28024685822458545,0.9399905538738089,0.26309693524090566,0.1944981136048671,0.10875160436771121,-0.06273431044759169,16.341656160335912,9.823899767084882,-0.27062998784056713
mom_120_20,rank,0.2552033061161646,0.8468181870111454,0.23841103421965884,0.17124339634013222,0.08728717276358172,-0.08061380300832921,15.198613555582197,6.9142861010361445,-0.21478159742822786
mom_120_20,decile,0.26891081047263926,0.8831859706409492,0.2505086286585677,0.17690091299358518,0.08489361385246279,-0.0991127270949068,14.613548022441092,10.322141780480793,-0.29479972716170294
rev_5,rank,0.22053500375275967,0.7631909005477041,0.20728263973679056,0.1542747591364547,0.0880185109391493,-0.04448161126591747,16.642758997399298,5.900085751666796,-0.2161733168986521
rev_5,decile,0.22828704439801834,0.7832060038724052,0.21382636383032716,0.15598485119972294,0.08368572550550675,-0.06090303408415056,15.787736037521594,9.12887741640703,-0.31651847849884884
rvol_20,rank,0.2855920882805309,1.0027803739126795,0.26673391129790264,0.1913021697490999,0.09701476700582455,-0.09155182566303825,15.144778922643649,6.6054528045367915,-0.10483457035273774
rvol_20,decile,0.3559052377433221,1.2357465896758622,0.33433673077537984,0.24806321541844314,0.14022257291396403,-0.07545391579717552,16.50148698091777,10.246944299342259,-0.14212306544840292
vs_20,rank,0.2574754316236415,0.8861629808457662,0.2438376490011491,0.18928764485860367,0.12110274108006182,-0.015257970176076921,18.881012481925683,5.888919945647804,-0.199030659077197
vs_20,decile,0.2596619186339616,0.8837674991450589,0.2450317013087479,0.18651149590920754,0.1133627796977872,-0.03292922149439874,17.749030985904977,9.033721052590138,-0.29858337767660625
rmom_120_20,rank,0.2805632777654121,0.9463411115701921,0.26532464457927485,0.20437158091722735,0.12818361181025414,-0.0241807763848998,18.412895120784995,6.7006182738686855,-0.2144896101864101
rmom_120_20,decile,0.3029934648567963,1.017151319958058,0.2859491239476724,0.21777303597855413,0.1325558532636195,-0.0378683937951134,17.777922551747928,10.245902930427667,-0.29791362096124885
dd_252,rank,0.329755190716082,1.131427179015602,0.30761810773937953,0.21907044780945883,0.10838750102703291,-0.11297222969576202,14.8963924077791,7.431774072588197,-0.13224846314242372
dd_252,decile,0.35877891649816007,1.211691018773749,0.3350187344461105,0.23997818567736454,0.12117802718560268,-0.1164197479698352,15.100112332417606,10.88338796569572,-0.1827925956097457
